Sample Name,MSG_grind_for100um_3rd,,
Measurement Date Time,2025/12/19 19:56:49,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.3368110592491816,,
Dx (50),123.9249330540139,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,0.9179551607205516
0.11308222859981587,0,0.003277936829256543,0.8741910362345661
0.12847975911886883,0.00045830828828850786,0.0039132482752340094,1
0.14597385201576613,0.0611936908465948,0.004657107503481888,0.8118913603690255
0.1658499799381348,0.08303047994535118,0.00554121540491368,0.7909847754985052
0.18843248613120703,0.1049318733092992,0.006592693308370272,0.6297813710106055
0.21408987714579308,0.12744447914595083,0.007840520001823451,0.5468999115135433
0.24324083621327308,0.15053748686655338,0.009319543887892858,0.4227173239354413
0.27636105541524886,0.17411949981742725,0.011080120902706178,0.3489222912904617
0.3139909981367784,0.19805193518016684,0.013179261471081677,0.2620636400149745
0.356744718472697,0.22213314074890178,0.01566630332363236,0.21281162184749153
0.4053198815041342,0.24610588546635737,0.0186254559373255,0.1635964343997169
0.4605091479584124,0.2696643013896156,0.0221543695669397,0.13408870486004643
0.5232131090298364,0.29246972951644024,0.02634398389147917,0.10653900774511305
0.5944549824347669,0.3141764496948647,0.03133650455887268,0.0867837371704936
0.675397309514597,0.3344713701985986,0.03726927281196032,0.0696140687762863
0.7673609258538154,0.3531312449963733,0.0443105909890591,0.05797001711878033
0.8718465149800815,0.3701004321985182,0.052699353249123664,0.046918656267005907
0.9905590968645671,0.385589526989492,0.06268218911264602,0.0376333993966392
1.1254358508315696,0.40018934569770526,0.07455788912105372,0.030426506659299548
1.2786777268980591,0.41498406543428423,0.08868904661518051,0.02431981919973528
1.4527853613842987,0.4316310103738621,0.10550581874234258,0.019356531301048693
1.6505998828747652,0.4523545458710396,0.12553682755785492,0.015329001697800326
1.8753492744104643,0.479785940847993,0.14940901734613643,0.012173713954069706
2.130701048461599,0.5165871044961845,0.17762146379472155,0.009734073145205429
2.420822094242961,0.5648467469445233,0.21164730494728437,0.007659167373287335
2.7504466739743543,0.6253420887737642,0.2525217576591168,0.006001207972104234
3.124953677664736,0.6968806289186729,0.3012522236207536,0.004695091408432698
3.550454397081473,0.7759897951151427,0.3598763858367056,0.003654386582197123
4.033892251220623,0.8571800047077964,0.4307794014302606,0.0027965166951966617
4.583156090621484,0.934005728038418,0.5171495956291441,0.0021453483697859914
5.207208929451393,1.0011300779627614,0.6240039982499064,0.0016171852683152328
5.91623420604064,1.056755350954374,0.7564250726194758,0.0011978172236907158
6.721801958580707,1.1033056382581936,0.924615881604425,0.0008783802547817496
7.637057627679228,1.1455712367392792,1.103327507116431,0.0006401803732826659
8.676936566695368,1.188507709308693,1.3122986003347201,0.0004952035594429213
9.858407760284809,1.2348949045309254,1.5607405038510644,0.0003781776487997058
11.200750728209842,1.2841047854511238,1.8564931514763163,0.0002915414634636117
12.72587013299487,1.333762612153393,2.2078558930646555,0.00022679760538768003
14.45865322526771,1.382116292119285,2.5989430095798616,0.00017210536130793597
16.427375959662296,1.4291594124569507,3.0881404469425093,0.00013586610744383527
18.664164408375882,1.4766260506105766,3.663490578476414,0.00010328821265721708
21.205519001833704,1.5281058053653886,4.329116198992359,7.986441136700075E-05
24.092910151141346,1.587427818146022,5.265369814103447,6.852996902143336E-05
27.3734549718295,1.6565447768086443,6.241146298105407,3.495203415527322E-05
31.100686151825478,1.7342873116446142,7.665212436137851,1.0037029691988415E-05
35.33542551021658,1.8158515931276646,9.941660953074798,7.950865836917626E-09
40.14677650173894,1.8929609035493016,0,0
45.613251862909266,1.9552364124338055,,
51.82405480098948,1.9934260155764392,,
58.88053463252163,2.003154177403509,,
66.8978406248788,1.9870078047006885,,
76.00680102860035,1.9543375133010201,,
86.35605796299512,1.9193382310197222,,
98.11449299256871,1.8992602839041908,,
111.47398297539121,1.9129064148198083,,
126.6525311539754,1.9780806358751448,,
143.89782458252938,2.107948278675316,,
163.49127594150298,2.307613567154526,,
185.7526156946912,2.5721582767841795,,
211.0451095247746,2.8870630407928317,,
239.78148618661447,3.2295272012491765,,
272.43067251038207,3.568170857490614,,
309.5254454578579,3.8620636011009566,,
351.67112609992296,4.065175280565597,,
399.5554573855738,4.137696864044898,,
453.9598268901783,4.056573362292127,,
515.7720176783681,3.8182574254788335,,
586.0006953530946,3.434755833187765,,
665.7918676938581,2.925232469232199,,
756.4475854762908,2.3087891144201222,,
859.4471896373824,1.600723907543653,,
976.4714515024996,0.8008557391855362,,
1109.4299999999967,0,,
