Sample Name,Citricacid_grind_for50um,,
Measurement Date Time,2025/12/18 18:37:23,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.40634355318303145,,
Dx (50),46.069932009211314,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0.0007904274137112832,0.003277936829256543,0.5485352666205175
0.12847975911886883,0.10245051803901992,0.0039132482752340094,0.6296294923977591
0.14597385201576613,0.15407442829042328,0.004657107503481888,0.39240670508072356
0.1658499799381348,0.20437347699477865,0.00554121540491368,0.3917098572706904
0.18843248613120703,0.2536657414086411,0.006592693308370272,0.2568743109973442
0.21408987714579308,0.30182360130724906,0.007840520001823451,0.22643146982210943
0.24324083621327308,0.348624749606927,0.009319543887892858,0.15703151230555343
0.27636105541524886,0.39389420376095186,0.011080120902706178,0.13258701425548022
0.3139909981367784,0.43747021238745387,0.013179261471081677,0.09859422024864277
0.356744718472697,0.4792212836707894,0.01566630332363236,0.08401106926777052
0.4053198815041342,0.5190516739263136,0.0186254559373255,0.06706327354098643
0.4605091479584124,0.5569137407243181,0.0221543695669397,0.05664675646841805
0.5232131090298364,0.5928233146859601,0.02634398389147917,0.046666860335699695
0.5944549824347669,0.626880711246022,0.03133650455887268,0.039574886094518334
0.675397309514597,0.6592984138018716,0.03726927281196032,0.03290476207369006
0.7673609258538154,0.6904368193056856,0.0443105909890591,0.028579708580433807
0.8718465149800815,0.7208486055072418,0.052699353249123664,0.023843070519288367
0.9905590968645671,0.751330495034054,0.06268218911264602,0.020034056922311142
1.1254358508315696,0.7829774229651161,0.07455788912105372,0.01673538658685742
1.2786777268980591,0.8172273887361357,0.08868904661518051,0.013952810537923908
1.4527853613842987,0.8558746876895835,0.10550581874234258,0.011512965619204752
1.6505998828747652,0.9010150075006962,0.12553682755785492,0.009500216204291338
1.8753492744104643,0.9548712714426397,0.14940901734613643,0.00778327098739908
2.130701048461599,1.0194427106654835,0.17762146379472155,0.00645544364301657
2.420822094242961,1.0959366085390183,0.21164730494728437,0.00526957438626131
2.7504466739743543,1.1840003426995516,0.2525217576591168,0.004290884456642751
3.124953677664736,1.280882086014362,0.3012522236207536,0.0035007309172684718
3.550454397081473,1.380812964762658,0.3598763858367056,0.002822730481661107
4.033892251220623,1.4751212906335844,0.4307794014302606,0.0022449620875301447
4.583156090621484,1.5537858332679129,0.5171495956291441,0.0017841343157099492
5.207208929451393,1.608816789198091,0.6240039982499064,0.0013949720970179273
5.91623420604064,1.638123408912147,0.7564250726194758,0.0010677120052616038
6.721801958580707,1.6465342972653971,0.924615881604425,0.000808657682660855
7.637057627679228,1.6430118340899007,1.103327507116431,0.0006043407162901428
8.676936566695368,1.6371955024315632,1.3122986003347201,0.0004769483383259083
9.858407760284809,1.6355481336362168,1.5607405038510644,0.0003692156115299734
11.200750728209842,1.6391530570962978,1.8564931514763163,0.0002875118252232664
12.72587013299487,1.6462509360355497,2.2078558930646555,0.00022528515955252948
14.45865322526771,1.655744719949034,2.5989430095798616,0.00017300224053021942
16.427375959662296,1.668151531891418,3.0881404469425093,0.00013672150045039894
18.664164408375882,1.6846474734346373,3.663490578476414,0.0001055415725434395
21.205519001833704,1.707067543405124,4.329116198992359,8.229557118704212E-05
24.092910151141346,1.735739472873128,5.265369814103447,7.115929270315238E-05
27.3734549718295,1.7676717385446281,6.241146298105407,3.684174037448947E-05
31.100686151825478,1.7971231317896113,7.665212436137851,1.0702019773227205E-05
35.33542551021658,1.8172324597213176,9.941660953074798,6.2150678921119104E-09
40.14677650173894,1.8214994100364237,0,0
45.613251862909266,1.8049347225949717,,
51.82405480098948,1.7657513502769717,,
58.88053463252163,1.7071553446160195,,
66.8978406248788,1.6372900017393093,,
76.00680102860035,1.5669090978624425,,
86.35605796299512,1.506347580843375,,
98.11449299256871,1.4640283339654943,,
111.47398297539121,1.4459738971921325,,
126.6525311539754,1.4551456189579781,,
143.89782458252938,1.4915334716120157,,
163.49127594150298,1.5537779614041796,,
185.7526156946912,1.6416605911270068,,
211.0451095247746,1.7595846265500228,,
239.78148618661447,1.917371253289744,,
272.43067251038207,2.1251634030465993,,
309.5254454578579,2.3832008764645707,,
351.67112609992296,2.6721661034281112,,
399.5554573855738,2.951523351385987,,
453.9598268901783,3.1654072233782102,,
515.7720176783681,3.251953676896534,,
586.0006953530946,3.1582233865216267,,
665.7918676938581,2.8551526450716977,,
756.4475854762908,2.3459737232888074,,
859.4471896373824,1.662486928140126,,
976.4714515024996,0.8384286213196646,,
1109.4299999999967,0,,
