reagent,window_size,rmse,nlpd,n_samples,cv_method,rmse_tol
Citricacid,3,111.65341603600673,5.3077227874175925,21,group,0.0
MSG,3,373.2658479447436,7.6333322497841865,21,group,0.0
NaCl,5,8.795296177974965,3.7117602688777356,18,group,0.0
all,5,568.8041961823932,9.965349678344163,54,group,0.0
