Sample Name,Citricacid_grind3min,,
Measurement Date Time,2025/12/18 12:16:08,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.613152733339338,,
Dx (50),215.0545697221423,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.6786681501877991
0.12847975911886883,0.0005866824914706659,0.0039132482752340094,0.6615230753026279
0.14597385201576613,0.07805277111519429,0.004657107503481888,0.47350875751784277
0.1658499799381348,0.10481523176841544,0.00554121540491368,0.407616184280888
0.18843248613120703,0.13082115709127087,0.006592693308370272,0.2772782019288117
0.21408987714579308,0.15664562215341216,0.007840520001823451,0.2207685866406702
0.24324083621327308,0.18218944768295348,0.009319543887892858,0.15260718995768344
0.27636105541524886,0.20731226771380384,0.011080120902706178,0.11947550232507831
0.3139909981367784,0.23187317958118614,0.013179261471081677,0.08786434151153671
0.356744718472697,0.2557058739752909,0.01566630332363236,0.07204690126788682
0.4053198815041342,0.27863151523855634,0.0186254559373255,0.05628566015842858
0.4605091479584124,0.30046571014113055,0.0221543695669397,0.04583025504936133
0.5232131090298364,0.32103360683052107,0.02634398389147917,0.0365087776825843
0.5944549824347669,0.34019156807142226,0.03133650455887268,0.029952994814272826
0.675397309514597,0.35785848765479056,0.03726927281196032,0.024081546768146993
0.7673609258538154,0.3740584016766584,0.0443105909890591,0.020162314118901514
0.8718465149800815,0.3889753407338645,0.052699353249123664,0.01632832713521292
0.9905590968645671,0.4030186940130802,0.06268218911264602,0.01330665839227939
1.1254358508315696,0.41689238954842356,0.07455788912105372,0.010825593003054966
1.2786777268980591,0.4316530698981884,0.08868904661518051,0.00878627955837675
1.4527853613842987,0.44873153635537655,0.10550581874234258,0.007092793807893622
1.6505998828747652,0.4698810479422022,0.12553682755785492,0.005729687964408384
1.8753492744104643,0.49701312201185477,0.14940901734613643,0.004593061724470576
2.130701048461599,0.5318977011539312,0.17762146379472155,0.0037275904312633534
2.420822094242961,0.5757473916968543,0.21164730494728437,0.002980013955688535
2.7504466739743543,0.6287613771331211,0.2525217576591168,0.002372713702327553
3.124953677664736,0.6897329183140819,0.3012522236207536,0.0018914840766748157
3.550454397081473,0.7558122202600117,0.3598763858367056,0.001488814618906185
4.033892251220623,0.8225779130288107,0.4307794014302606,0.0011564235051534626
4.583156090621484,0.8847977391238651,0.5171495956291441,0.0008983700534830978
5.207208929451393,0.938151799275726,0.6240039982499064,0.0006873712687615331
5.91623420604064,0.9810740954961847,0.7564250726194758,0.0005165506777964041
6.721801958580707,1.0151066400818198,0.924615881604425,0.0003850626797267683
7.637057627679228,1.0436214257685936,1.103327507116431,0.00028523306487001607
8.676936566695368,1.0702173188429036,1.3122986003347201,0.00022316495239011114
9.858407760284809,1.096962561996353,1.5607405038510644,0.00017215471431357172
11.200750728209842,1.1235305064402183,1.8564931514763163,0.00013359332918704933
12.72587013299487,1.1487621320390424,2.2078558930646555,0.0001047881322381656
14.45865322526771,1.1725417822706632,2.5989430095798616,8.072121703472595E-05
16.427375959662296,1.1961997284620125,3.0881404469425093,6.363375327091001E-05
18.664164408375882,1.2217702281740586,3.663490578476414,4.935068034784334E-05
21.205519001833704,1.2515730393445281,4.329116198992359,3.8307547302055704E-05
24.092910151141346,1.2866797445507423,5.265369814103447,3.315443291948558E-05
27.3734549718295,1.3257457434964017,6.241146298105407,1.7076637739511445E-05
31.100686151825478,1.3654287681490587,7.665212436137851,4.9536643413562365E-06
35.33542551021658,1.4017035722615319,9.941660953074798,3.8905241493157186E-09
40.14677650173894,1.431188845433212,0,0
45.613251862909266,1.4520902817235388,,
51.82405480098948,1.4650784582707814,,
58.88053463252163,1.4737389733708923,,
66.8978406248788,1.4835130987210974,,
76.00680102860035,1.4991390728233611,,
86.35605796299512,1.5220022551532253,,
98.11449299256871,1.5491742913563797,,
111.47398297539121,1.5742558008694658,,
126.6525311539754,1.5898085503613544,,
143.89782458252938,1.5920465905769206,,
163.49127594150298,1.587316482208486,,
185.7526156946912,1.5979376924421516,,
211.0451095247746,1.665156451763366,,
239.78148618661447,1.8448999893258318,,
272.43067251038207,2.193313033932661,,
309.5254454578579,2.7437612570333627,,
351.67112609992296,3.4833006342239514,,
399.5554573855738,4.339143289973023,,
453.9598268901783,5.180334789875744,,
515.7720176783681,5.835541893859215,,
586.0006953530946,6.127844372678624,,
665.7918676938581,5.915883959125111,,
756.4475854762908,5.130761111063151,,
859.4471896373824,3.7900350882224103,,
976.4714515024996,1.9630942717335955,,
1109.4299999999967,0,,
