Sample Name,Citricacid_grind_for20um,,
Measurement Date Time,2025/12/18 19:29:38,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.32785796090664737,,
Dx (50),21.272009219441358,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0.0005882032886170535,0.0026667704722456043,1
0.11308222859981587,0.08430912980814045,0.003277936829256543,0.46910150085698976
0.12847975911886883,0.16861861513501197,0.0039132482752340094,0.5389612094010262
0.14597385201576613,0.2513040960942652,0.004657107503481888,0.3026267641994979
0.1658499799381348,0.3317425614955636,0.00554121540491368,0.30926331097000037
0.18843248613120703,0.40952815835594847,0.006592693308370272,0.19156846451811405
0.21408987714579308,0.4840450024749907,0.007840520001823451,0.1750798459456068
0.24324083621327308,0.5548116472336917,0.009319543887892858,0.1183537854600918
0.27636105541524886,0.6213965278633191,0.011080120902706178,0.10092153443754968
0.3139909981367784,0.6834555361087529,0.013179261471081677,0.07296403764713644
0.356744718472697,0.7407383251116815,0.01566630332363236,0.06222667352793386
0.4053198815041342,0.7931067470256759,0.0186254559373255,0.05009640446602303
0.4605091479584124,0.8405541626026727,0.0221543695669397,0.042765202075507214
0.5232131090298364,0.8832296690327919,0.02634398389147917,0.035651671102860515
0.5944549824347669,0.9214670478981866,0.03133650455887268,0.030552540304218417
0.675397309514597,0.9558191582740685,0.03726927281196032,0.025832968453971494
0.7673609258538154,0.9870974598425768,0.0443105909890591,0.022956236931819952
0.8718465149800815,1.0164148686733938,0.052699353249123664,0.019416476279998214
0.9905590968645671,1.0452271268278572,0.06268218911264602,0.016653310195385417
1.1254358508315696,1.0753627602921707,0.07455788912105372,0.014145223404937513
1.2786777268980591,1.1090239290166384,0.08868904661518051,0.012020557403278502
1.4527853613842987,1.1487303691545687,0.10550581874234258,0.0100797707937763
1.6505998828747652,1.1971685935400629,0.12553682755785492,0.008476241011437975
1.8753492744104643,1.2569043897050953,0.14940901734613643,0.007065302521988764
2.130701048461599,1.329927120581182,0.17762146379472155,0.005948689448768595
2.420822094242961,1.4170254558051454,0.21164730494728437,0.004928594523334619
2.7504466739743543,1.5170395344984122,0.2525217576591168,0.004070976006483834
3.124953677664736,1.6260816178261663,0.3012522236207536,0.0033654782581905365
3.550454397081473,1.7369095944946196,0.3598763858367056,0.002749666527512321
4.033892251220623,1.8389451484085804,0.4307794014302606,0.0022129940475886373
4.583156090621484,1.9199675873032476,0.5171495956291441,0.0017804830480317691
5.207208929451393,1.9702857829894178,0.6240039982499064,0.0014097312329229084
5.91623420604064,1.9876345055675557,0.7564250726194758,0.001093691102580584
6.721801958580707,1.9783708694139577,0.924615881604425,0.0008403406081644129
7.637057627679228,1.953876648359703,1.103327507116431,0.0006365936666414304
8.676936566695368,1.9261516143872015,1.3122986003347201,0.0005087871530033393
9.858407760284809,1.9029251632606616,1.5607405038510644,0.0003993407465713702
11.200750728209842,1.8849353519249519,1.8564931514763163,0.0003148299837446576
12.72587013299487,1.869431208431692,2.2078558930646555,0.0002499557908075908
14.45865322526771,1.8547131277218085,2.5989430095798616,0.00019462382559441284
16.427375959662296,1.8412480211800784,3.0881404469425093,0.00015573873407472981
18.664164408375882,1.8303480102818241,3.663490578476414,0.00012195372821854122
21.205519001833704,1.8242097533789234,4.329116198992359,9.60950801293549E-05
24.092910151141346,1.8233379193994423,5.265369814103447,8.306808541294444E-05
27.3734549718295,1.8244991642035941,6.241146298105407,4.3318680645219495E-05
31.100686151825478,1.82166238323871,7.665212436137851,1.2622734576541756E-05
35.33542551021658,1.8080898492817923,9.941660953074798,7.192492190412358E-09
40.14677650173894,1.7780079508116984,0,0
45.613251862909266,1.7277075707783354,,
51.82405480098948,1.6573079386710745,,
58.88053463252163,1.5726475078060105,,
66.8978406248788,1.4849091004415271,,
76.00680102860035,1.4074080655266528,,
86.35605796299512,1.3510984974720373,,
98.11449299256871,1.3216283359442969,,
111.47398297539121,1.3181470974334815,,
126.6525311539754,1.3333859695165842,,
143.89782458252938,1.3560963129149002,,
163.49127594150298,1.375971283017222,,
185.7526156946912,1.389424337602378,,
211.0451095247746,1.4053990921581772,,
239.78148618661447,1.445781662897133,,
272.43067251038207,1.5363379380220579,,
309.5254454578579,1.6901694972159618,,
351.67112609992296,1.8923842111683626,,
399.5554573855738,2.0986371401272237,,
453.9598268901783,2.2486415608759955,,
515.7720176783681,2.2855183071044394,,
586.0006953530946,2.1761701266711384,,
665.7918676938581,1.9206205768200988,,
756.4475854762908,1.5437718675403573,,
859.4471896373824,1.077529885545161,,
976.4714515024996,0.5394325329015714,,
1109.4299999999967,0,,
