Sample Name,Ajinomoto_grind3min,,
Measurement Date Time,2025/10/03 11:50:34,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,0,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.6044368069292229,,
Dx (50),337.5531795929945,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,0.7938469190843911
0.11308222859981587,0,0.003277936829256543,1
0.12847975911886883,0,0.0039132482752340094,0.8304232921952294
0.14597385201576613,0,0.004657107503481888,0.704074990992944
0.1658499799381348,0,0.00554121540491368,0.7317165513062069
0.18843248613120703,0,0.006592693308370272,0.550227156683009
0.21408987714579308,0.0005788562910444197,0.007840520001823451,0.4408824474676887
0.24324083621327308,0.06305197319916162,0.009319543887892858,0.3130508898148046
0.27636105541524886,0.07380534824115488,0.011080120902706178,0.24409888101150023
0.3139909981367784,0.0840213325222326,0.013179261471081677,0.16547300029857648
0.356744718472697,0.09416281475483329,0.01566630332363236,0.12894431532152137
0.4053198815041342,0.10412522001069996,0.0186254559373255,0.09416764876752154
0.4605091479584124,0.11366406423161057,0.0221543695669397,0.07724310934599209
0.5232131090298364,0.1225910542928611,0.02634398389147917,0.057139015790069296
0.5944549824347669,0.13071546271066337,0.03133650455887268,0.04585001769751424
0.675397309514597,0.13789906873437952,0.03726927281196032,0.03442562447176197
0.7673609258538154,0.14409372845378032,0.0443105909890591,0.029693923575975133
0.8718465149800815,0.14939787920039072,0.052699353249123664,0.02294946222767666
0.9905590968645671,0.15411776972277846,0.06268218911264602,0.018366869726743312
1.1254358508315696,0.15882543307521302,0.07455788912105372,0.013967157619634976
1.2786777268980591,0.16439201003766768,0.08868904661518051,0.010636995356506284
1.4527853613842987,0.17196476332625088,0.10550581874234258,0.008240590304888745
1.6505998828747652,0.1828495746133143,0.12553682755785492,0.006253017058653484
1.8753492744104643,0.19827259582918488,0.14940901734613643,0.004927381271047717
2.130701048461599,0.21904144801822012,0.17762146379472155,0.003762115528634409
2.420822094242961,0.24521159569475826,0.21164730494728437,0.002959950487165703
2.7504466739743543,0.2759427968147645,0.2525217576591168,0.002199368669104846
3.124953677664736,0.3096951650387214,0.3012522236207536,0.00165309967204691
3.550454397081473,0.34469191076537076,0.3598763858367056,0.0012543701674129575
4.033892251220623,0.3793650762971694,0.4307794014302606,0.0009275881140529232
4.583156090621484,0.4127019921503736,0.5171495956291441,0.0006922441540538623
5.207208929451393,0.4447652544581784,0.6240039982499064,0.0005150200989202015
5.91623420604064,0.4772236526705953,0.7564250726194758,0.0003741685241206498
6.721801958580707,0.513145821634887,0.924615881604425,0.00027001741439765194
7.637057627679228,0.5557555014108919,1.103327507116431,0.00019267683222792752
8.676936566695368,0.6066622439461478,1.3122986003347201,0.00014854888414228898
9.858407760284809,0.6643657336284017,1.5607405038510644,0.00011145835701304714
11.200750728209842,0.7239955450502435,1.8564931514763163,8.52895656074824E-05
12.72587013299487,0.7790727235977819,2.2078558930646555,6.502684004988115E-05
14.45865322526771,0.8245658844574155,2.5989430095798616,5.01406223536622E-05
16.427375959662296,0.8593068311205521,3.0881404469425093,3.931075295720382E-05
18.664164408375882,0.8871827534086307,3.663490578476414,3.015137478448098E-05
21.205519001833704,0.917189311540751,4.329116198992359,2.3062481541748524E-05
24.092910151141346,0.9609928538829866,5.265369814103447,1.9098436818967136E-05
27.3734549718295,1.0289482595043271,6.241146298105407,9.905509310384342E-06
31.100686151825478,1.1257713585732372,7.665212436137851,2.6630381180273496E-06
35.33542551021658,1.2468320504456862,9.941660953074798,1.8964157644352975E-08
40.14677650173894,1.3769690450891865,0,0
45.613251862909266,1.4938460119067507,,
51.82405480098948,1.575496606232349,,
58.88053463252163,1.608458675869155,,
66.8978406248788,1.5926326539176472,,
76.00680102860035,1.5422177193041833,,
86.35605796299512,1.4826855665802015,,
98.11449299256871,1.443591449410068,,
111.47398297539121,1.4496042755419154,,
126.6525311539754,1.5155185458418288,,
143.89782458252938,1.6466544223750361,,
163.49127594150298,1.8458216217395673,,
185.7526156946912,2.124127619763783,,
211.0451095247746,2.5051362883128547,,
239.78148618661447,3.0170995068255877,,
272.43067251038207,3.6741452063476245,,
309.5254454578579,4.453108549808185,,
351.67112609992296,5.280503253030425,,
399.5554573855738,6.043186136102939,,
453.9598268901783,6.61528929000022,,
515.7720176783681,6.881159805669455,,
586.0006953530946,6.75418873890618,,
665.7918676938581,6.184628602213323,,
756.4475854762908,5.162106556974763,,
859.4471896373824,3.7185621062323975,,
976.4714515024996,1.8998446879885904,,
1109.4299999999967,0,,
