Sample Name,Ajinomoto_grind25min,,
Measurement Date Time,2025/10/03 14:09:32,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,0,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.9179445752748752,,
Dx (50),47.10801025338381,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0.0006534599519625199,0.003277936829256543,0.5456014223800413
0.12847975911886883,0.08477362292564004,0.0039132482752340094,0.8228037212824497
0.14597385201576613,0.12892083421505904,0.004657107503481888,0.4409187050219216
0.1658499799381348,0.17349654473394438,0.00554121540491368,0.5778229170498922
0.18843248613120703,0.21901933496168374,0.006592693308370272,0.35395717396235893
0.21408987714579308,0.26550530060075783,0.007840520001823451,0.35484349003763566
0.24324083621327308,0.31273212757532776,0.009319543887892858,0.25386892537756134
0.27636105541524886,0.36034951080286826,0.011080120902706178,0.23071090363544314
0.3139909981367784,0.4078406819423972,0.013179261471081677,0.17268880001614234
0.356744718472697,0.45453262304018205,0.01566630332363236,0.14654880443616974
0.4053198815041342,0.49960404652798873,0.0186254559373255,0.12069070255292917
0.4605091479584124,0.5421111022851886,0.0221543695669397,0.10174358263212697
0.5232131090298364,0.5810329790732536,0.02634398389147917,0.08478649030366485
0.5944549824347669,0.615346527863875,0.03133650455887268,0.07135361804949288
0.675397309514597,0.6441387063795219,0.03726927281196032,0.059249289777356225
0.7673609258538154,0.6667658126606106,0.0443105909890591,0.052417894596551856
0.8718465149800815,0.6830649483533993,0.052699353249123664,0.04322495687584538
0.9905590968645671,0.6936137994468021,0.06268218911264602,0.036573872564685646
1.1254358508315696,0.7000156703711342,0.07455788912105372,0.029783736649080107
1.2786777268980591,0.7051541767070386,0.08868904661518051,0.02453387702877228
1.4527853613842987,0.7133160105808436,0.10550581874234258,0.020095910181750384
1.6505998828747652,0.7300313571091444,0.12553682755785492,0.016555964661049066
1.8753492744104643,0.7614615172160093,0.14940901734613643,0.013474857371947296
2.130701048461599,0.8132298876730193,0.17762146379472155,0.01111005045514559
2.420822094242961,0.888807951708861,0.21164730494728437,0.009059198119629444
2.7504466739743543,0.9879194348323175,0.2525217576591168,0.007305411490245001
3.124953677664736,1.105710149080151,0.3012522236207536,0.005795958780230937
3.550454397081473,1.2332835073996673,0.3598763858367056,0.004644949255265356
4.033892251220623,1.359529315702778,0.4307794014302606,0.0035963084952519526
4.583156090621484,1.4736408528205978,0.5171495956291441,0.002808962725441999
5.207208929451393,1.5678884046751165,0.6240039982499064,0.0021503054050188834
5.91623420604064,1.6399714479510337,0.7564250726194758,0.001613127655840673
6.721801958580707,1.6931602733752946,0.924615881604425,0.0011984386306511268
7.637057627679228,1.7337373615850176,1.103327507116431,0.0008867884724234194
8.676936566695368,1.7679368682728374,1.3122986003347201,0.0006980681857137559
9.858407760284809,1.79841709973552,1.5607405038510644,0.0005396064202636118
11.200750728209842,1.8224729120860772,1.8564931514763163,0.00042287286786638414
12.72587013299487,1.8349665163875066,2.2078558930646555,0.00033624831836402447
14.45865322526771,1.8331207787305885,2.5989430095798616,0.00026395327355842953
16.427375959662296,1.8191904556591183,3.0881404469425093,0.00021022743950926343
18.664164408375882,1.8005514509888982,3.663490578476414,0.00016319987724429033
21.205519001833704,1.789208412251476,4.329116198992359,0.00012810414824756917
24.092910151141346,1.7975411163787243,5.265369814103447,0.00011154248288517372
27.3734549718295,1.8331051288788913,6.241146298105407,5.859759951816638E-05
31.100686151825478,1.8951522563084424,7.665212436137851,1.5946736261109147E-05
35.33542551021658,1.9730715747273493,9.941660953074798,1.2827776482463687E-08
40.14677650173894,2.0471169866292627,0,0
45.613251862909266,2.093022202461782,,
51.82405480098948,2.090654042670373,,
58.88053463252163,2.031597116203514,,
66.8978406248788,1.9222174704024226,,
76.00680102860035,1.7839919358393104,,
86.35605796299512,1.6494519155633967,,
98.11449299256871,1.553917901020938,,
111.47398297539121,1.5240319071840815,,
126.6525311539754,1.5665396970421313,,
143.89782458252938,1.664272214902283,,
163.49127594150298,1.782509720297213,,
185.7526156946912,1.882975539372822,,
211.0451095247746,1.9405500080396507,,
239.78148618661447,1.9543370579001191,,
272.43067251038207,1.9485548810232842,,
309.5254454578579,1.9626885164934436,,
351.67112609992296,2.034354100555518,,
399.5554573855738,2.1860365760792746,,
453.9598268901783,2.4156255093785575,,
515.7720176783681,2.682254741873564,,
586.0006953530946,2.901100601073935,,
665.7918676938581,2.95439114398026,,
756.4475854762908,2.721464741984093,,
859.4471896373824,2.121793874765274,,
976.4714515024996,1.141233897247531,,
1109.4299999999967,0,,
