Sample Name,NaCl_grind15min_2nd,,
Measurement Date Time,2025/12/16 17:48:16,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,No,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.37276277019514226,,
Dx (50),143.7103282162174,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.6639336586525337
0.12847975911886883,0,0.0039132482752340094,0.636320701483382
0.14597385201576613,0,0.004657107503481888,0.5219259502695384
0.1658499799381348,0,0.00554121540491368,0.5088917993549081
0.18843248613120703,0,0.006592693308370272,0.43261656622750855
0.21408987714579308,0,0.007840520001823451,0.40040545194801186
0.24324083621327308,0,0.009319543887892858,0.349194069238782
0.27636105541524886,0,0.011080120902706178,0.3081189559859016
0.3139909981367784,0,0.013179261471081677,0.25255800143160834
0.356744718472697,0,0.01566630332363236,0.210890627627936
0.4053198815041342,0,0.0186254559373255,0.16230862271859178
0.4605091479584124,0,0.0221543695669397,0.1282376499970363
0.5232131090298364,0,0.02634398389147917,0.09723219509408043
0.5944549824347669,0,0.03133650455887268,0.07522502213002387
0.675397309514597,0,0.03726927281196032,0.05661459038771308
0.7673609258538154,0,0.0443105909890591,0.04441627461793701
0.8718465149800815,0,0.052699353249123664,0.03409021015009507
0.9905590968645671,0.0008676229105239735,0.06268218911264602,0.026145599266122817
1.1254358508315696,0.06958646450964291,0.07455788912105372,0.020169296926056537
1.2786777268980591,0.09006377820542937,0.08868904661518051,0.015362917269736062
1.4527853613842987,0.11049964195782494,0.10550581874234258,0.011685979645486438
1.6505998828747652,0.13203639911153298,0.12553682755785492,0.00881543324399087
1.8753492744104643,0.15503214469779564,0.14940901734613643,0.006645964823692059
2.130701048461599,0.18037339160110788,0.17762146379472155,0.005027559045867359
2.420822094242961,0.20959436388718178,0.21164730494728437,0.003754045392639812
2.7504466739743543,0.24392420981599716,0.2525217576591168,0.0027757227059047648
3.124953677664736,0.284055154894155,0.3012522236207536,0.002060660720501256
3.550454397081473,0.3303260517585138,0.3598763858367056,0.0015037328785035874
4.033892251220623,0.3825219420526773,0.4307794014302606,0.0010876704372111282
4.583156090621484,0.44012201202270385,0.5171495956291441,0.0007818016540412624
5.207208929451393,0.5021774425351393,0.6240039982499064,0.000556384783601042
5.91623420604064,0.5678574301548514,0.7564250726194758,0.000387308259513015
6.721801958580707,0.636408907470198,0.924615881604425,0.00026843525714547215
7.637057627679228,0.7074312440750266,1.103327507116431,0.0001875910178220523
8.676936566695368,0.7809568155794473,1.3122986003347201,0.00013969960928935
9.858407760284809,0.8575124665732856,1.5607405038510644,0.00010314805429113716
11.200750728209842,0.9381949051649308,1.8564931514763163,7.76280735876119E-05
12.72587013299487,1.0247213503660486,2.2078558930646555,5.939212626213686E-05
14.45865322526771,1.1192916969118034,2.5989430095798616,4.53050841406114E-05
16.427375959662296,1.2240655804042078,3.0881404469425093,3.50263746263322E-05
18.664164408375882,1.3403894091389752,3.663490578476414,2.7821897891078346E-05
21.205519001833704,1.4679106072376893,4.329116198992359,2.1401832409944983E-05
24.092910151141346,1.6037939382653548,5.265369814103447,1.954461958887527E-05
27.3734549718295,1.742625032738518,6.241146298105407,1.007599732446553E-05
31.100686151825478,1.877334298103726,7.665212436137851,2.99341583809902E-06
35.33542551021658,2.00108352936196,9.941660953074798,1.2678746660773253E-09
40.14677650173894,2.109924900368984,0,0
45.613251862909266,2.205577361959861,,
51.82405480098948,2.2975658374480368,,
58.88053463252163,2.4037885357091007,,
66.8978406248788,2.5483628160701457,,
76.00680102860035,2.756326511187858,,
86.35605796299512,3.046351515396566,,
98.11449299256871,3.4232223425335775,,
111.47398297539121,3.8719233184868997,,
126.6525311539754,4.355477642364946,,
143.89782458252938,4.8173983682193935,,
163.49127594150298,5.18986296681895,,
185.7526156946912,5.406586601586689,,
211.0451095247746,5.417993623535196,,
239.78148618661447,5.204523072773441,,
272.43067251038207,4.783243699860961,,
309.5254454578579,4.205001502304242,,
351.67112609992296,3.543923086419042,,
399.5554573855738,2.881856930757351,,
453.9598268901783,2.289000825582562,,
515.7720176783681,1.8056496274912774,,
586.0006953530946,1.4341783682405094,,
665.7918676938581,1.1441144662101976,,
756.4475854762908,0.8880670226864567,,
859.4471896373824,0.6223317025172292,,
976.4714515024996,0.3165762924184321,,
1109.4299999999967,0,,
