Sample Name,MSG_grind3min,,
Measurement Date Time,2025/12/19 11:14:55,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.38346748328688135,,
Dx (50),303.9422222635587,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.8706037697047205
0.12847975911886883,0,0.0039132482752340094,0.8401819468133397
0.14597385201576613,0,0.004657107503481888,0.6991638867078483
0.1658499799381348,0,0.00554121540491368,0.62479489595966
0.18843248613120703,0,0.006592693308370272,0.4940879689322808
0.21408987714579308,0.000600985843909773,0.007840520001823451,0.4082587970723103
0.24324083621327308,0.06536891793577954,0.009319543887892858,0.3041142606475616
0.27636105541524886,0.07615512360980081,0.011080120902706178,0.234175113003001
0.3139909981367784,0.08638288891667809,0.013179261471081677,0.16401627394273216
0.356744718472697,0.09660008286731683,0.01566630332363236,0.12284693364414934
0.4053198815041342,0.1067805522553571,0.0186254559373255,0.0875925269769031
0.4605091479584124,0.11675498274236945,0.0221543695669397,0.06695915680288578
0.5232131090298364,0.12641040227606015,0.02634398389147917,0.05057096481078373
0.5944549824347669,0.13561434553500074,0.03133650455887268,0.039476032166329646
0.675397309514597,0.14425441733998756,0.03726927281196032,0.030341247482144933
0.7673609258538154,0.15225427940043323,0.0443105909890591,0.024216753489604628
0.8718465149800815,0.1596061218046867,0.052699353249123664,0.018747283401363446
0.9905590968645671,0.16640912802571628,0.06268218911264602,0.014576292163096345
1.1254358508315696,0.17291496642132653,0.07455788912105372,0.011350131461386895
1.2786777268980591,0.1795736900476661,0.08868904661518051,0.008804975106604466
1.4527853613842987,0.1870686239569539,0.10550581874234258,0.006795081122504785
1.6505998828747652,0.19632156164115644,0.12553682755785492,0.005253168427659171
1.8753492744104643,0.2084445877454031,0.14940901734613643,0.004049295521204886
2.130701048461599,0.22461747640040697,0.17762146379472155,0.0031515995394321397
2.420822094242961,0.24588668928280288,0.21164730494728437,0.0024213428534544308
2.7504466739743543,0.2729135930855233,0.2525217576591168,0.001856342915714783
3.124953677664736,0.305730214614488,0.3012522236207536,0.001425026790948655
3.550454397081473,0.34356866362530125,0.3598763858367056,0.0010816768687002037
4.033892251220623,0.38483132083936455,0.4307794014302606,0.000810277628401711
4.583156090621484,0.4273246663530159,0.5171495956291441,0.0006074662381770843
5.207208929451393,0.4689067790567085,0.6240039982499064,0.00044879047332898806
5.91623420604064,0.5083505005881337,0.7564250726194758,0.0003254892738307932
6.721801958580707,0.545685803326263,0.924615881604425,0.00023511790086875152
7.637057627679228,0.5817606697393805,1.103327507116431,0.00017047460319439728
8.676936566695368,0.6176964921277541,1.3122986003347201,0.00013099142185907491
9.858407760284809,0.6541751872193338,1.5607405038510644,9.931042028029449E-05
11.200750728209842,0.6909770567588156,1.8564931514763163,7.611498283395384E-05
12.72587013299487,0.7275511732627962,2.2078558930646555,5.899135021827198E-05
14.45865322526771,0.7638837878629499,2.5989430095798616,4.4850551328937086E-05
16.427375959662296,0.8009075428559402,3.0881404469425093,3.521434632380677E-05
18.664164408375882,0.8404648839020066,3.663490578476414,2.6839093436073984E-05
21.205519001833704,0.8852859159205302,4.329116198992359,2.0699272127821463E-05
24.092910151141346,0.9381827765585999,5.265369814103447,1.7834631115750608E-05
27.3734549718295,1.0010810959471765,6.241146298105407,9.131107116113306E-06
31.100686151825478,1.0744481363852447,7.665212436137851,2.6338305295744897E-06
35.33542551021658,1.156869924228996,9.941660953074798,3.0950388631185292E-09
40.14677650173894,1.2445792640776077,0,0
45.613251862909266,1.3312050925911976,,
51.82405480098948,1.4084587281263197,,
58.88053463252163,1.4680131050252463,,
66.8978406248788,1.504101164454685,,
76.00680102860035,1.516374447589314,,
86.35605796299512,1.5127351136198612,,
98.11449299256871,1.5117529224838506,,
111.47398297539121,1.5432340966345777,,
126.6525311539754,1.6453049946302798,,
143.89782458252938,1.857627340459075,,
163.49127594150298,2.2116232913663225,,
185.7526156946912,2.7198390993968147,,
211.0451095247746,3.367999330858183,,
239.78148618661447,4.111970503946573,,
272.43067251038207,4.880437984417881,,
309.5254454578579,5.583716954146439,,
351.67112609992296,6.129015066990043,,
399.5554573855738,6.439529528406133,,
453.9598268901783,6.469099012180536,,
515.7720176783681,6.205329352572193,,
586.0006953530946,5.663398195511874,,
665.7918676938581,4.873964124479755,,
756.4475854762908,3.8732717805584116,,
859.4471896373824,2.695043890752359,,
976.4714515024996,1.3496867312013023,,
1109.4299999999967,0,,
