reagent,trial,grind_min,selected_file,total_samples_in_file,samples_exported,sampling_rate_hz,excerpt_csv
NaCl,1st,25,data/ae/exp2/NaCl/1st/20251216_144933NaCl_grind25min.csv,1200000,120000,2000000.0,results/SI/AE_raw/FigS1/excerpts/fig_s1_nacl_raw_excerpt.csv
Citricacid,1st,25,data/ae/exp2/Citricacid/1st/20251218_132614Citricacid_grind25min.csv,1200000,120000,2000000.0,results/SI/AE_raw/FigS1/excerpts/fig_s1_citricacid_raw_excerpt.csv
MSG,1st,25,data/ae/exp2/MSG/1st/20260217_150353MSG_grind25min.csv,1200000,120000,2000000.0,results/SI/AE_raw/FigS1/excerpts/fig_s1_msg_raw_excerpt.csv
