Material,Target_Size,AE2P_GPR_Prediction,Common_Measured_Mean,AE2P_Estimation_Error,AE2P_Estimation_Error_Percent,AE2P_Est_Error_In_GPR_Range,P2AE_Total_Deviation,P2AE_Total_Deviation_Percent,num_AE2P_mu_GPR,num_AE2P_sigma_GPR,num_Common_mu_trial,num_Common_sigma_trial
Citricacid,20,501.59 ± 38.57,175.87 ± 294.37,-325.7173679195751,-5164.201039128472,False,-155.86816203014982,-779.340810150749,501.58552994972496,38.56978976401749,175.86816203014976,294.3653738356358
Citricacid,50,502.51 ± 102.15,515.77 ± 0.00,13.264599182813564,2.5717950428022784,True,-465.77201767836806,-931.5440353567361,502.50741849555453,102.15049106809253,515.7720176783681,0.0
Citricacid,100,477.11 ± 153.55,586.00 ± 0.00,108.88697180285216,18.581372456775387,True,-486.0006953530945,-486.0006953530945,477.1137235502424,153.5463791406501,586.0006953530946,0.0
MSG,50,460.90 ± 35.84,453.96 ± 0.00,-6.94513549653027,-1.529900904251255,True,-403.95982689017836,-807.9196537803567,460.9049623867086,35.83713681254044,453.95982689017836,6.961868572213853e-14
MSG,100,460.90 ± 35.84,417.69 ± 31.41,-43.214715166266615,-10.74626064015042,False,-317.69024722044196,-317.69024722044196,460.9049623867086,35.83713681254044,417.69024722044196,31.410377378575284
MSG,200,460.90 ± 35.84,453.96 ± 0.00,-6.94513549653027,-1.529900904251255,True,-253.9598268901783,-126.97991344508914,460.9049623867086,35.83713681254044,453.95982689017836,6.961868572213853e-14
NaCl,150,204.39 ± 14.57,185.75 ± 0.00,-18.639850047388023,-10.034771234675405,False,-35.7526156946912,-23.835077129794133,204.39246574207922,14.5733587698862,185.75261569469117,3.4809342861069267e-14
NaCl,200,264.32 ± 15.30,239.78 ± 0.00,-24.539938795925707,-10.234292557861217,False,-39.78148618661447,-19.890743093307236,264.3214249825401,15.304571268467187,239.78148618661444,3.4809342861069267e-14
NaCl,250,272.49 ± 15.29,272.43 ± 0.00,-0.06338636208249682,-0.02326696972055568,True,-22.430672510382067,-8.972269004152826,272.49405887246456,15.285603771243919,272.43067251038207,0.0
