Sample Name,Citricacid_grind3min_3rd,,
Measurement Date Time,2025/12/18 15:55:31,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.5525854552012602,,
Dx (50),217.24256599827507,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.7431483907719983
0.12847975911886883,0.0005686118997738948,0.0039132482752340094,0.7311544781018994
0.14597385201576613,0.07574777982756406,0.004657107503481888,0.5422745978082587
0.1658499799381348,0.10210492864279325,0.00554121540491368,0.4642758035243895
0.18843248613120703,0.12801889269099498,0.006592693308370272,0.32251773436260295
0.21408987714579308,0.1540845157580123,0.007840520001823451,0.25607029409769155
0.24324083621327308,0.18021788532459487,0.009319543887892858,0.17338957971601332
0.27636105541524886,0.20627965636609824,0.011080120902706178,0.13447563131948084
0.3139909981367784,0.2321059871686204,0.013179261471081677,0.10071210052635934
0.356744718472697,0.25748582580245327,0.01566630332363236,0.08149664276368009
0.4053198815041342,0.28217208815413763,0.0186254559373255,0.06416505251653276
0.4605091479584124,0.30588900482111336,0.0221543695669397,0.05160541374277317
0.5232131090298364,0.3283485874711676,0.02634398389147917,0.041652571952463684
0.5944549824347669,0.34927569900235245,0.03133650455887268,0.03447605343167222
0.675397309514597,0.36844542209945974,0.03726927281196032,0.027559918875805892
0.7673609258538154,0.38573523144882316,0.0443105909890591,0.023019213097479327
0.8718465149800815,0.40119363331724545,0.052699353249123664,0.01886796729555289
0.9905590968645671,0.4151238267358237,0.06268218911264602,0.015361967474259676
1.1254358508315696,0.4281748995869794,0.07455788912105372,0.01260381899087169
1.2786777268980591,0.4414229376899641,0.08868904661518051,0.010251087467363551
1.4527853613842987,0.45641040037675573,0.10550581874234258,0.008234285118692695
1.6505998828747652,0.475097665555829,0.12553682755785492,0.006634578243501095
1.8753492744104643,0.49967526021729824,0.14940901734613643,0.005355036579636994
2.130701048461599,0.5322047445757114,0.17762146379472155,0.004322308101187944
2.420822094242961,0.5741141499954123,0.21164730494728437,0.0034588916752466593
2.7504466739743543,0.6256589578789855,0.2525217576591168,0.0027447729805903233
3.124953677664736,0.685515964071584,0.3012522236207536,0.0021821392251608128
3.550454397081473,0.7506490056467996,0.3598763858367056,0.0017155500483809808
4.033892251220623,0.816550109042165,0.4307794014302606,0.0013314456890060743
4.583156090621484,0.8780875051913988,0.5171495956291441,0.0010339712237624375
5.207208929451393,0.9311778798730561,0.6240039982499064,0.0007915454221375843
5.91623420604064,0.9745744759381783,0.7564250726194758,0.0005951514038547644
6.721801958580707,1.0101383120200733,0.924615881604425,0.0004448641072658872
7.637057627679228,1.0413642782410584,1.103327507116431,0.0003302341200595599
8.676936566695368,1.07176455528057,1.3122986003347201,0.0002589907684528481
9.858407760284809,1.1031525292790008,1.5607405038510644,0.00020016555950962733
11.200750728209842,1.1348053652290062,1.8564931514763163,0.0001558042867677124
12.72587013299487,1.1650711730789993,2.2078558930646555,0.0001225678083565717
14.45865322526771,1.1933095276999452,2.5989430095798616,9.446043927238329E-05
16.427375959662296,1.220406420598895,3.0881404469425093,7.469864648409637E-05
18.664164408375882,1.2481650494699004,3.663490578476414,5.7703390754583814E-05
21.205519001833704,1.2789844666406864,4.329116198992359,4.4815866215453075E-05
24.092910151141346,1.3142253137420532,5.265369814103447,3.870918586478474E-05
27.3734549718295,1.3527726142545262,6.241146298105407,1.9851734413777964E-05
31.100686151825478,1.3911451877297836,7.665212436137851,5.723878263329208E-06
35.33542551021658,1.424614722497573,9.941660953074798,2.3645864733567545E-09
40.14677650173894,1.448704180706514,0,0
45.613251862909266,1.4607607412668564,,
51.82405480098948,1.4616501929359131,,
58.88053463252163,1.4566812853085551,,
66.8978406248788,1.4542290046366375,,
76.00680102860035,1.4619877983400542,,
86.35605796299512,1.4825631738700338,,
98.11449299256871,1.5111066649898461,,
111.47398297539121,1.536744378804805,,
126.6525311539754,1.5480564791620992,,
143.89782458252938,1.5406258348957564,,
163.49127594150298,1.5241199447049212,,
185.7526156946912,1.526920637757641,,
211.0451095247746,1.5964790426546642,,
239.78148618661447,1.7921820131502173,,
272.43067251038207,2.1687164855765317,,
309.5254454578579,2.7535575643666306,,
351.67112609992296,3.526609552436753,,
399.5554573855738,4.408948874111516,,
453.9598268901783,5.26378603527003,,
515.7720176783681,5.914370570793409,,
586.0006953530946,6.1819870122960054,,
665.7918676938581,5.931644142207716,,
756.4475854762908,5.109277509009999,,
859.4471896373824,3.74970708724328,,
976.4714515024996,1.9328340948092517,,
1109.4299999999967,0,,
