Sample Name,Ajinomoto_grind10min_2nd,,
Measurement Date Time,2025/12/19 14:50:25,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.4675318782269761,,
Dx (50),123.86583165573494,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0.0004292689051623749,0.003277936829256543,0.6267668120797217
0.12847975911886883,0.06254212701131819,0.0039132482752340094,0.6758784277320097
0.14597385201576613,0.09417134497996711,0.004657107503481888,0.4877351712789652
0.1658499799381348,0.12496127974538071,0.00554121540491368,0.4587549492777425
0.18843248613120703,0.15526868020088835,0.006592693308370272,0.3397202455773604
0.21408987714579308,0.18487197463394722,0.007840520001823451,0.2958629644886562
0.24324083621327308,0.2135969833659941,0.009319543887892858,0.21905996425261287
0.27636105541524886,0.24123557712907395,0.011080120902706178,0.1778434244862846
0.3139909981367784,0.2675699552370132,0.013179261471081677,0.13199882536340715
0.356744718472697,0.2923705630508089,0.01566630332363236,0.1067596729696344
0.4053198815041342,0.31540504422076476,0.0186254559373255,0.08326366979817562
0.4605091479584124,0.33644948326081514,0.0221543695669397,0.06808849914587829
0.5232131090298364,0.3553065504107855,0.02634398389147917,0.054944702712318945
0.5944549824347669,0.37183201743557337,0.03133650455887268,0.04503025324870646
0.675397309514597,0.3859724415143644,0.03726927281196032,0.036491224274321575
0.7673609258538154,0.39781650190779017,0.0443105909890591,0.03057878559305596
0.8718465149800815,0.4076616660378063,0.052699353249123664,0.02471872540287434
0.9905590968645671,0.4160953466278814,0.06268218911264602,0.02013538449602966
1.1254358508315696,0.42408455892158514,0.07455788912105372,0.016350708105616292
1.2786777268980591,0.4330591763240763,0.08868904661518051,0.013247934773308273
1.4527853613842987,0.4449609107411234,0.10550581874234258,0.010630916767869486
1.6505998828747652,0.4622152480957826,0.12553682755785492,0.008578510227460307
1.8753492744104643,0.48757373717348784,0.14940901734613643,0.006867143289733072
2.130701048461599,0.5237820996332694,0.17762146379472155,0.005549534808917599
2.420822094242961,0.5730692524613001,0.21164730494728437,0.0044075971173015895
2.7504466739743543,0.6365217269441503,0.2525217576591168,0.003498483684514234
3.124953677664736,0.7134737027060307,0.3012522236207536,0.0027658703681205277
3.550454397081473,0.8010682327542789,0.3598763858367056,0.0021587488690111554
4.033892251220623,0.8941873469385033,0.4307794014302606,0.0016558221592634067
4.583156090621484,0.9861256348397855,0.5171495956291441,0.0012668312991663102
5.207208929451393,1.0703850381979834,0.6240039982499064,0.0009535566668505254
5.91623420604064,1.1429642943021765,0.7564250726194758,0.0007039877941057825
6.721801958580707,1.2032370169677868,0.924615881604425,0.000516685554570482
7.637057627679228,1.2528745981791172,1.103327507116431,0.0003792068336977449
8.676936566695368,1.2945536194967175,1.3122986003347201,0.00029528433604343677
9.858407760284809,1.3303139620145323,1.5607405038510644,0.00022746660201664073
11.200750728209842,1.3605283441060827,1.8564931514763163,0.0001772645020715536
12.72587013299487,1.3852673858254825,2.2078558930646555,0.0001399900058836001
14.45865322526771,1.40598518285719,2.5989430095798616,0.00010839894457494033
16.427375959662296,1.4257647148118835,3.0881404469425093,8.678709687559542E-05
18.664164408375882,1.44842634949352,3.663490578476414,6.76646351083515E-05
21.205519001833704,1.4780335019235906,4.329116198992359,5.323003807399085E-05
24.092910151141346,1.5172488037431755,5.265369814103447,4.620531612746255E-05
27.3734549718295,1.5660643823537121,6.241146298105407,2.4047379567759763E-05
31.100686151825478,1.6220354960874381,7.665212436137851,7.008263744771139E-06
35.33542551021658,1.6810955677678905,9.941660953074798,4.78713479493534E-09
40.14677650173894,1.7380730730074205,0,0
45.613251862909266,1.7869325342000124,,
51.82405480098948,1.821663411793132,,
58.88053463252163,1.8379446908633454,,
66.8978406248788,1.834587485725244,,
76.00680102860035,1.814126449487425,,
86.35605796299512,1.7826389473568582,,
98.11449299256871,1.749934264400494,,
111.47398297539121,1.7298304355757352,,
126.6525311539754,1.73927334597969,,
143.89782458252938,1.7964588917458926,,
163.49127594150298,1.917875887716491,,
185.7526156946912,2.1144414487102097,,
211.0451095247746,2.388917033219812,,
239.78148618661447,2.733825265896847,,
272.43067251038207,3.1285423206656304,,
309.5254454578579,3.5366649107719326,,
351.67112609992296,3.90739772817129,,
399.5554573855738,4.184560529060619,,
453.9598268901783,4.318424720186982,,
515.7720176783681,4.272469483159654,,
586.0006953530946,4.0259157555057214,,
665.7918676938581,3.5721892159939443,,
756.4475854762908,2.916701721052732,,
859.4471896373824,2.0739452184579363,,
976.4714515024996,1.0536219782308223,,
1109.4299999999967,0,,
