Sample Name,Ajinomoto_grind3min=2nd,,
Measurement Date Time,2025/12/19 14:15:49,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.4703253197859443,,
Dx (50),299.83648316633935,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.798995544928344
0.12847975911886883,0,0.0039132482752340094,0.7882505704827749
0.14597385201576613,0,0.004657107503481888,0.6355406281229065
0.1658499799381348,0,0.00554121540491368,0.5752766037617545
0.18843248613120703,0.0005424408392425714,0.006592693308370272,0.44265368532660954
0.21408987714579308,0.06156313701538982,0.007840520001823451,0.3681794057021582
0.24324083621327308,0.07327810506757632,0.009319543887892858,0.27052074103105256
0.27636105541524886,0.08459479836204459,0.011080120902706178,0.2093988552545809
0.3139909981367784,0.09602074393642024,0.013179261471081677,0.14734000179983658
0.356744718472697,0.10752315469004137,0.01566630332363236,0.11181960384474267
0.4053198815041342,0.11894555672472823,0.0186254559373255,0.0811945576908016
0.4605091479584124,0.13016653326370053,0.0221543695669397,0.06337021877802722
0.5232131090298364,0.14103680127635887,0.02634398389147917,0.04840733763715431
0.5944549824347669,0.15141079478812536,0.03133650455887268,0.03810116166764845
0.675397309514597,0.16115965809368538,0.03726927281196032,0.02938149194157503
0.7673609258538154,0.1701990694361175,0.0443105909890591,0.023615512121703517
0.8718465149800815,0.17852439517257768,0.052699353249123664,0.01840129620144427
0.9905590968645671,0.18625563710416704,0.06268218911264602,0.01435406256919423
1.1254358508315696,0.19368885312200712,0.07455788912105372,0.011224812828930548
1.2786777268980591,0.20134678871725553,0.08868904661518051,0.008729388624142898
1.4527853613842987,0.2100140822090033,0.10550581874234258,0.006765384979462098
1.6505998828747652,0.22073409367495112,0.12553682755785492,0.005238992648700194
1.8753492744104643,0.23473870796086915,0.14940901734613643,0.004047345744744345
2.130701048461599,0.2532871375129373,0.17762146379472155,0.00316213646256515
2.420822094242961,0.277413740055112,0.21164730494728437,0.002435741302251198
2.7504466739743543,0.30762874252954164,0.2525217576591168,0.0018707730535491031
3.124953677664736,0.3436582170966789,0.3012522236207536,0.0014401771136865462
3.550454397081473,0.38431452814572653,0.3598763858367056,0.0010979091943301054
4.033892251220623,0.42756226511221307,0.4307794014302606,0.0008266238261781087
4.583156090621484,0.47087246753731193,0.5171495956291441,0.0006235919873542423
5.207208929451393,0.5119980688137886,0.6240039982499064,0.0004630151983161865
5.91623420604064,0.549960513371567,0.7564250726194758,0.00033837767279484474
6.721801958580707,0.5854020089642873,0.924615881604425,0.00024558613507403155
7.637057627679228,0.6199507861357132,1.103327507116431,0.0001782467094688331
8.676936566695368,0.655411169976837,1.3122986003347201,0.0001371724388707331
9.858407760284809,0.6928221434256887,1.5607405038510644,0.0001041612500614263
11.200750728209842,0.7319319583789419,1.8564931514763163,7.988022411905781E-05
12.72587013299487,0.7719018260687278,2.2078558930646555,6.183015616088531E-05
14.45865322526771,0.8123444557776143,2.5989430095798616,4.703993504885681E-05
16.427375959662296,0.8537797460582794,3.0881404469425093,3.692976453326111E-05
18.664164408375882,0.8975885078855423,3.663490578476414,2.8089991332216594E-05
21.205519001833704,0.9460526385071812,4.329116198992359,2.1673807437056043E-05
24.092910151141346,1.0015894363153564,5.265369814103447,1.8633209128630817E-05
27.3734549718295,1.0657914273909572,6.241146298105407,9.521278555775872E-06
31.100686151825478,1.1388844276262926,7.665212436137851,2.7364063457862425E-06
35.33542551021658,1.219424707225123,9.941660953074798,2.4287084620945844E-09
40.14677650173894,1.3040211232728183,0,0
45.613251862909266,1.387261856910822,,
51.82405480098948,1.4624581518749586,,
58.88053463252163,1.523196683137467,,
66.8978406248788,1.5650650185780037,,
76.00680102860035,1.5872847099493512,,
86.35605796299512,1.594496850567463,,
98.11449299256871,1.5989003011817857,,
111.47398297539121,1.6215998711722648,,
126.6525311539754,1.6915736878952572,,
143.89782458252938,1.8417950234060072,,
163.49127594150298,2.102881155197146,,
185.7526156946912,2.4951455683921324,,
211.0451095247746,3.021152724631719,,
239.78148618661447,3.6600657684059072,,
272.43067251038207,4.364787041704545,,
309.5254454578579,5.063907637342034,,
351.67112609992296,5.671518977223123,,
399.5554573855738,6.104009219434651,,
453.9598268901783,6.295708930781174,,
515.7720176783681,6.205700963458213,,
586.0006953530946,5.817160158324725,,
665.7918676938581,5.131494688993598,,
756.4475854762908,4.1647741457428396,,
859.4471896373824,2.9446019621939428,,
976.4714515024996,1.4893201800815064,,
1109.4299999999967,0,,
