Sample Name,Ajinomoto_grind5min_3rd,,
Measurement Date Time,2025/12/19 16:56:53,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.43677830801611317,,
Dx (50),215.10296362929492,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.7277022285920118
0.12847975911886883,0,0.0039132482752340094,0.7162263113631254
0.14597385201576613,0.0006324139911188275,0.004657107503481888,0.5529680628991116
0.1658499799381348,0.07883838214952886,0.00554121540491368,0.5087645507680832
0.18843248613120703,0.09888306206002802,0.006592693308370272,0.3856737132807536
0.21408987714579308,0.1178522488538262,0.007840520001823451,0.3259867435239036
0.24324083621327308,0.1363115339482298,0.009319543887892858,0.2448187522900983
0.27636105541524886,0.15417849166728848,0.011080120902706178,0.195351857897594
0.3139909981367784,0.17127937661267256,0.013179261471081677,0.14265667609856872
0.356744718472697,0.18748088992428658,0.01566630332363236,0.11282880273023226
0.4053198815041342,0.2026325945125944,0.0186254559373255,0.08491009495899679
0.4605091479584124,0.21659199305415489,0.0221543695669397,0.06803182597064343
0.5232131090298364,0.22923167546370005,0.02634398389147917,0.05351619312539097
0.5944549824347669,0.24045829090174875,0.03133650455887268,0.04307104110989762
0.675397309514597,0.25023719564283886,0.03726927281196032,0.03425520520541294
0.7673609258538154,0.2586265438942128,0.0443105909890591,0.028173500684084817
0.8718465149800815,0.26582114764835074,0.052699353249123664,0.022467926073554988
0.9905590968645671,0.2722053981119861,0.06268218911264602,0.01792642569663954
1.1254358508315696,0.27841072681287926,0.07455788912105372,0.01431238774615975
1.2786777268980591,0.2853670831231012,0.08868904661518051,0.011342652047745427
1.4527853613842987,0.29432937659094227,0.10550581874234258,0.008937217818066959
1.6505998828747652,0.3068507278778285,0.12553682755785492,0.007028620607513543
1.8753492744104643,0.3246699590769131,0.14940901734613643,0.005505741713930527
2.130701048461599,0.3494900437962114,0.17762146379472155,0.004346184695455716
2.420822094242961,0.382655392922965,0.21164730494728437,0.0033689783009731573
2.7504466739743543,0.42478359807820265,0.2525217576591168,0.002602992675993415
3.124953677664736,0.47544238408667816,0.3012522236207536,0.0020067903183940334
3.550454397081473,0.5329586293586708,0.3598763858367056,0.0015346127788548511
4.033892251220623,0.5944576655954164,0.4307794014302606,0.001155329657087896
4.583156090621484,0.6563592047927012,0.5171495956291441,0.0008718654438515655
5.207208929451393,0.7155708048903078,0.6240039982499064,0.0006489335393799689
5.91623420604064,0.7709161680740433,0.7564250726194758,0.0004759527335629492
6.721801958580707,0.8234720801053665,0.924615881604425,0.00034708214065133413
7.637057627679228,0.8754618611570013,1.103327507116431,0.00025322758640512126
8.676936566695368,0.9289772056019707,1.3122986003347201,0.0001964060164844318
9.858407760284809,0.9846533057435956,1.5607405038510644,0.0001506823683226792
11.200750728209842,1.0410485347048386,1.8564931514763163,0.00011707443021143956
12.72587013299487,1.0959028608664383,2.2078558930646555,9.199027231678316E-05
14.45865322526771,1.14782917127342,2.5989430095798616,7.096238698695278E-05
16.427375959662296,1.1970488434126985,3.0881404469425093,5.663983697380257E-05
18.664164408375882,1.2452359375085749,3.663490578476414,4.4017226099695385E-05
21.205519001833704,1.2953930318031368,4.329116198992359,3.4511885761606276E-05
24.092910151141346,1.3506006389969514,5.265369814103447,3.0039226910053052E-05
27.3734549718295,1.4126019740308315,6.241146298105407,1.5638097896690305E-05
31.100686151825478,1.4810957062447017,7.665212436137851,4.576457792749293E-06
35.33542551021658,1.5534559053887236,9.941660953074798,2.8714258830363705E-09
40.14677650173894,1.6246527355670146,0,0
45.613251862909266,1.6877225344448163,,
51.82405480098948,1.7354712425366898,,
58.88053463252163,1.7629609210528727,,
66.8978406248788,1.7694927505045328,,
76.00680102860035,1.7594695925216115,,
86.35605796299512,1.7422514528968094,,
98.11449299256871,1.731938360869563,,
111.47398297539121,1.7467629387985113,,
126.6525311539754,1.8069909758718197,,
143.89782458252938,1.9316141077706845,,
163.49127594150298,2.134659729435924,,
185.7526156946912,2.421860405403713,,
211.0451095247746,2.7890987426622758,,
239.78148618661447,3.2219870520497196,,
272.43067251038207,3.6949898034478466,,
309.5254454578579,4.170219369764602,,
351.67112609992296,4.599232348104913,,
399.5554573855738,4.929706323509308,,
453.9598268901783,5.112469056245516,,
515.7720176783681,5.104043440295726,,
586.0006953530946,4.867751306859432,,
665.7918676938581,4.375507843159923,,
756.4475854762908,3.614329866101812,,
859.4471896373824,2.5919850802104776,,
976.4714515024996,1.3230342937223298,,
1109.4299999999967,0,,
