Sample Name,NaCl_grindspeed0_5,,
Measurement Date Time,2025/11/19 15:54:38,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,No,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.2996747968589768,,
Dx (50),99.26770703491954,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,0.5108509510554725
0.11308222859981587,0,0.003277936829256543,0.7219487443806045
0.12847975911886883,0,0.0039132482752340094,0.9460622914016957
0.14597385201576613,0,0.004657107503481888,0.9597158621337976
0.1658499799381348,0,0.00554121540491368,1
0.18843248613120703,0,0.006592693308370272,0.9546022699668225
0.21408987714579308,0,0.007840520001823451,0.9465921959539159
0.24324083621327308,0,0.009319543887892858,0.8644350191094389
0.27636105541524886,0,0.011080120902706178,0.7916101504025191
0.3139909981367784,0,0.013179261471081677,0.6766577918541664
0.356744718472697,0,0.01566630332363236,0.5843669063295089
0.4053198815041342,0,0.0186254559373255,0.4699324866146888
0.4605091479584124,0,0.0221543695669397,0.38617045918256354
0.5232131090298364,0,0.02634398389147917,0.3027771104905706
0.5944549824347669,0,0.03133650455887268,0.241219219619527
0.675397309514597,0,0.03726927281196032,0.18481574958106742
0.7673609258538154,0,0.0443105909890591,0.1479324121852242
0.8718465149800815,0,0.052699353249123664,0.11327700392739795
0.9905590968645671,0.000810048436667998,0.06268218911264602,0.08662090270169644
1.1254358508315696,0.06582676405399533,0.07455788912105372,0.06616882366888617
1.2786777268980591,0.0884188756924621,0.08868904661518051,0.04995153133210784
1.4527853613842987,0.11147000810181407,0.10550581874234258,0.0376303618797473
1.6505998828747652,0.13597153289448966,0.12553682755785492,0.02808481325505666
1.8753492744104643,0.16216741207949742,0.14940901734613643,0.021034861229240507
2.130701048461599,0.19102865909576083,0.17762146379472155,0.01572822051208578
2.420822094242961,0.22434677632062416,0.21164730494728437,0.011611557213503829
2.7504466739743543,0.2636182810215594,0.2525217576591168,0.00850384348870403
3.124953677664736,0.30977539272207855,0.3012522236207536,0.006244198591213474
3.550454397081473,0.3634728175322004,0.3598763858367056,0.004511861622133195
4.033892251220623,0.4248937977397882,0.4307794014302606,0.0032133222551711297
4.583156090621484,0.49390041331032286,0.5171495956291441,0.002289975574974682
5.207208929451393,0.5698801766894062,0.6240039982499064,0.0016046092816904163
5.91623420604064,0.652204562797166,0.7564250726194758,0.001106111533448773
6.721801958580707,0.7401150920313571,0.924615881604425,0.0007577438447769672
7.637057627679228,0.8329568903215616,1.103327507116431,0.0005213321253636468
8.676936566695368,0.9302457081718956,1.3122986003347201,0.00038313873826983816
9.858407760284809,1.0318299488131402,1.5607405038510644,0.00028301953422493336
11.200750728209842,1.138186038474669,1.8564931514763163,0.0002105412125222952
12.72587013299487,1.2507833962654669,2.2078558930646555,0.00016022989200548503
14.45865322526771,1.3722377676693576,2.5989430095798616,0.00012533806821733213
16.427375959662296,1.5060169942641206,3.0881404469425093,9.670159720139894E-05
18.664164408375882,1.6557186612862118,3.663490578476414,7.605803831267657E-05
21.205519001833704,1.8239858716599766,4.329116198992359,5.882049549782461E-05
24.092910151141346,2.011220146672681,5.265369814103447,5.285604467001317E-05
27.3734549718295,2.214694335461065,6.241146298105407,2.7481961517751073E-05
31.100686151825478,2.4285379570400316,7.665212436137851,8.037583988282745E-06
35.33542551021658,2.644704429895274,9.941660953074798,1.968902003942689E-08
40.14677650173894,2.8547932594345973,0,0
45.613251862909266,3.052470275634839,,
51.82405480098948,3.2362157584166553,,
58.88053463252163,3.4115262874697265,,
66.8978406248788,3.5910707462076132,,
76.00680102860035,3.791715966061858,,
86.35605796299512,4.028776267408361,,
98.11449299256871,4.308793565516034,,
111.47398297539121,4.622594987068602,,
126.6525311539754,4.941011717820231,,
143.89782458252938,5.21442571865272,,
163.49127594150298,5.378488132700028,,
185.7526156946912,5.3665406461815905,,
211.0451095247746,5.126733372225502,,
239.78148618661447,4.639204030797458,,
272.43067251038207,3.9271355783194934,,
309.5254454578579,3.0570929116677945,,
351.67112609992296,2.131316913655411,,
399.5554573855738,1.2692998851269124,,
453.9598268901783,0.41021632729707846,,
515.7720176783681,0.0015588958228534011,,
586.0006953530946,0,,
665.7918676938581,0,,
756.4475854762908,0,,
859.4471896373824,0,,
976.4714515024996,0,,
1109.4299999999967,0,,
