Sample Name,Ajinomoto_grind_for200um_2nd,,
Measurement Date Time,2025/12/19 19:07:47,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.4354264279976344,,
Dx (50),203.29037689684492,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.7054662686675534
0.12847975911886883,0,0.0039132482752340094,0.6862622284959959
0.14597385201576613,0.0005739962195822517,0.004657107503481888,0.5368847307587724
0.1658499799381348,0.07177417470816441,0.00554121540491368,0.49759126211202953
0.18843248613120703,0.09088174952377061,0.006592693308370272,0.38284485063698603
0.21408987714579308,0.1095203691228673,0.007840520001823451,0.32739997309424423
0.24324083621327308,0.12825966337558453,0.009319543887892858,0.24412418013910916
0.27636105541524886,0.1470459013096841,0.011080120902706178,0.19816215325477646
0.3139909981367784,0.1657291768534268,0.013179261471081677,0.14458722620768064
0.356744718472697,0.1841667038085062,0.01566630332363236,0.11411057219132324
0.4053198815041342,0.20217479640951352,0.0186254559373255,0.08563249753713685
0.4605091479584124,0.21954971074652185,0.0221543695669397,0.0682617638884416
0.5232131090298364,0.23607546131693136,0.02634398389147917,0.05341184658611759
0.5944549824347669,0.25154384694836285,0.03133650455887268,0.04313444761677981
0.675397309514597,0.26578272946646897,0.03726927281196032,0.0339541220319718
0.7673609258538154,0.278696984567548,0.0443105909890591,0.027987751557491825
0.8718465149800815,0.2903238481062682,0.052699353249123664,0.022283886507761815
0.9905590968645671,0.3009033239548149,0.06268218911264602,0.017853697846008543
1.1254358508315696,0.31096024715744397,0.07455788912105372,0.01426821342774462
1.2786777268980591,0.32138735473084346,0.08868904661518051,0.011357089999797568
1.4527853613842987,0.33350717356509607,0.10550581874234258,0.00898770633249071
1.6505998828747652,0.3490755802243837,0.12553682755785492,0.007131085390490343
1.8753492744104643,0.3701764019016558,0.14940901734613643,0.00559657640724627
2.130701048461599,0.39895597326327525,0.17762146379472155,0.004442929235192096
2.420822094242961,0.4371766832694419,0.21164730494728437,0.0034813836999295863
2.7504466739743543,0.4856417243874418,0.2525217576591168,0.0027208201629213054
3.124953677664736,0.5436434646033659,0.3012522236207536,0.0021238295308071394
3.550454397081473,0.6086581426167283,0.3598763858367056,0.0016431923143111172
4.033892251220623,0.6765047092482108,0.4307794014302606,0.0012482676466224888
4.583156090621484,0.7421570878739301,0.5171495956291441,0.000952698040063671
5.207208929451393,0.8013165086629517,0.6240039982499064,0.0007153077132259881
5.91623420604064,0.8522208898445314,0.7564250726194758,0.0005263829185443421
6.721801958580707,0.8961416768722152,0.924615881604425,0.0003846461840948237
7.637057627679228,0.9360773107055795,1.103327507116431,0.00028000703300085376
8.676936566695368,0.9753190888891528,1.3122986003347201,0.00021646146625810858
9.858407760284809,1.0158739165072284,1.5607405038510644,0.0001651461596682592
11.200750728209842,1.0575846718134017,1.8564931514763163,0.00012751937672995025
12.72587013299487,1.099364369346148,2.2078558930646555,9.962267802020053E-05
14.45865322526771,1.140874500882319,2.5989430095798616,7.587240579479716E-05
16.427375959662296,1.183143271430204,3.0881404469425093,6.0085287533691143E-05
18.664164408375882,1.2281673860963984,3.663490578476414,4.596892339320829E-05
21.205519001833704,1.27856942698196,4.329116198992359,3.5759784086069185E-05
24.092910151141346,1.3360948365822125,5.265369814103447,3.0724736676355537E-05
27.3734549718295,1.400335535794003,6.241146298105407,1.5761832700197268E-05
31.100686151825478,1.4688151184517402,7.665212436137851,4.5730784859084234E-06
35.33542551021658,1.5377312521386592,9.941660953074798,5.567589052492915E-09
40.14677650173894,1.6024943969190595,0,0
45.613251862909266,1.658050706315393,,
51.82405480098948,1.6998030222943719,,
58.88053463252163,1.7250297165283683,,
66.8978406248788,1.7340543867736002,,
76.00680102860035,1.7311806074730498,,
86.35605796299512,1.7253379644653464,,
98.11449299256871,1.730541427961441,,
111.47398297539121,1.7651344840754533,,
126.6525311539754,1.8491236426459992,,
143.89782458252938,2.0005772166447073,,
163.49127594150298,2.2317573172821383,,
185.7526156946912,2.545291791252609,,
211.0451095247746,2.932228552106068,,
239.78148618661447,3.371661493437344,,
272.43067251038207,3.8309948976648798,,
309.5254454578579,4.267244623053912,,
351.67112609992296,4.631576396045631,,
399.5554573855738,4.877655632369695,,
453.9598268901783,4.967997246003009,,
515.7720176783681,4.873741478245009,,
586.0006953530946,4.573505190826253,,
665.7918676938581,4.053096216111541,,
756.4475854762908,3.30889204838212,,
859.4471896373824,2.351802734517932,,
976.4714515024996,1.1935893077678372,,
1109.4299999999967,0,,
