Material,Target_D50,Common_Measured_Mean,P2AE_Total_Deviation,P2AE_Total_Deviation_Percent,AE2P_GPR_Prediction,AE2P_Estimation_Error,AE2P_Estimation_Error_Percent,AE2P_Est_Error_In_GPR_Range,num_AE2P_mu_GPR,num_AE2P_sigma_GPR,num_Common_AE_Last_mV2_mu_trial,num_Common_mu_trial,num_Common_sigma_trial
Citricacid,20,17.41 ± 3.63,2.5933770750114635,12.966885375057316,19.61 ± 8.22,-2.201189041776012,-15.643776262943916,True,19.607811966764547,8.219261368820385,22.48,17.406622924988536,3.6277239762512203
Citricacid,50,38.28 ± 7.36,11.718528101232065,23.43705620246413,45.29 ± 8.45,-7.012918890544621,-20.371057919339464,True,45.29439078931256,8.446298451674977,108.68,38.28147189876794,7.358541039465956
Citricacid,100,98.34 ± 14.27,1.656855561558648,1.656855561558648,92.95 ± 8.52,5.389184782676101,4.43924000592227,True,92.95395965576525,8.520805978425967,288.35,98.34314443844134,14.26510361044303
MSG,50,52.42 ± 7.98,-2.415731327533711,-4.831462655067422,52.17 ± 32.81,0.24492099570764006,-1.2865308406230704,True,52.17081033182607,32.812938287872775,417.98,52.41573132753371,7.981175705748254
MSG,100,125.40 ± 28.43,-25.401685585187156,-25.401685585187156,89.02 ± 32.98,36.37844686574745,26.2617469581153,False,89.0232387194397,32.9842256002184,638.84,125.40168558518717,28.43264147780261
MSG,200,267.11 ± 54.62,-67.10923400851047,-33.554617004255235,196.39 ± 33.63,70.71588565073294,25.404658131768155,False,196.39334835777754,33.63025508929376,1119.9,267.10923400851044,54.619730775605504
NaCl,150,132.33 ± 8.05,17.673051575702562,11.78203438380171,138.97 ± 13.67,-6.6443657873044515,-5.274565395345771,True,138.97131421160188,13.668330334992314,34.99,132.32694842429746,8.053067666921905
NaCl,200,196.65 ± 7.46,3.347306657941582,1.673653328970791,204.44 ± 14.26,-7.783819691514594,-4.04059175825052,True,204.436513033573,14.259275639099322,71.84,196.65269334205843,7.460159937319247
NaCl,250,237.98 ± 14.22,12.024109208801425,4.809643683520569,238.63 ± 14.21,-0.6579570347739244,-0.4391871317066096,True,238.63384782597254,14.209348439017946,110.0,237.97589079119857,14.222939027578484
