direction,reagent,method,selection_criterion,metric,rmse_train,mae_train,r_squared,violation_rate,max_violation_derivative,mean_derivative,constraint_direction,degree,lambda_smooth,n_params,aic_selected,bic_selected,cv_best_degree,cv_best_lambda,cv_best_rmse,model_path
particle2ae,Citricacid,monotone_bernstein_bic,bic,Dmode,257.1752045053063,195.5136580561266,0.34826244217178437,0.0,0.0,0.8997818743001994,increasing,2,0.0,3,239.0898184530632,242.22338576623346,12,0.0,202.76873026184953,results/Dmode/monotone_bernstein_model_bic_particle2ae_Citricacid_exp2_Dmode.joblib
ae2particle,Citricacid,monotone_bernstein_bic,bic,Dmode,170.3439923977618,143.8445790600584,0.3752105798024772,0.0,0.0,0.37067706836903724,increasing,2,0.0,3,221.78843484472495,224.9220021578952,15,0.0,123.35715662908308,results/Dmode/monotone_bernstein_model_bic_ae2particle_Citricacid_exp2_Dmode.joblib
particle2ae,MSG,monotone_bernstein_bic,bic,Dmode,638.7653570424604,494.51604323809323,0.39516822719188827,0.0,0.0,3.314653846648806,increasing,2,0.0,3,277.30056170974825,280.4341290229185,3,0.0,643.5012940170451,results/Dmode/monotone_bernstein_model_bic_particle2ae_MSG_exp2_Dmode.joblib
ae2particle,MSG,monotone_bernstein_bic,bic,Dmode,115.34197782137085,89.14800738853,0.4431419073593247,0.0,0.0,0.11278959165134742,increasing,2,0.0,3,205.41186030314876,208.54542761631902,8,0.0,99.18285892650022,results/Dmode/monotone_bernstein_model_bic_ae2particle_MSG_exp2_Dmode.joblib
particle2ae,NaCl,monotone_bernstein_bic,bic,Dmode,20.68528550972781,14.571334249469906,0.8723304063884527,0.0,0.0,1.0300636072509937,increasing,2,0.0,3,133.2357493075443,136.36931662071456,2,0.0,21.79205921613142,results/Dmode/monotone_bernstein_model_bic_particle2ae_NaCl_exp2_Dmode.joblib
ae2particle,NaCl,monotone_bernstein_bic,bic,Dmode,16.505951449340767,12.560109001914146,0.9078866439639166,0.0,0.0,0.7776702341368622,increasing,2,0.0,3,123.75628241040589,126.88984972357616,11,0.0,18.30671979546518,results/Dmode/monotone_bernstein_model_bic_ae2particle_NaCl_exp2_Dmode.joblib
