d50,ae_power_mV2,grind_min,trial,reagent,Common_AE_Last_mV2
20.95238237727873,32.72457852392356,20.0,2nd,Citricacid,39.34273309279955
80.67906187356799,325.30473295532056,7.0,2nd,Citricacid,281.13350862064715
245.01706086702865,913.622851957277,3.0,2nd,Citricacid,555.3167846437195
31.326813797361346,75.07971483603745,15.0,2nd,Citricacid,35.61102167873778
53.00556037892698,131.734787918448,10.0,2nd,Citricacid,118.80934293389778
105.95044161853116,437.10516216630685,5.0,2nd,Citricacid,319.02641443196165
11.973751670542075,9.365517418630096,25.0,2nd,Citricacid,10.437327251589219
47.92528273510931,211.0044629096607,10.0,1st,Citricacid,163.5871298549698
215.0545697221423,1066.8746107772297,3.0,1st,Citricacid,806.2444986932576
27.00597941999335,65.6740475787897,15.0,1st,Citricacid,35.3279645941086
83.85883030461127,344.8849511123659,7.0,1st,Citricacid,307.02971182129716
96.31591325484057,440.4471545884482,5.0,1st,Citricacid,467.384843308341
21.28764287745452,34.22249629495883,20.0,1st,Citricacid,31.571217210449287
10.879752508521543,9.729279923608882,25.0,1st,Citricacid,7.145653582323817
11.463645143644198,13.524612482432852,25.0,3rd,Citricacid,13.03598657518888
53.38039672009373,156.17602781668467,10.0,3rd,Citricacid,167.85240778976691
17.915867690145802,19.998465492446638,20.0,3rd,Citricacid,12.732146488376914
88.22464810880143,272.22088472813465,7.0,3rd,Citricacid,213.58967501487297
100.38306343078706,415.60282517417005,5.0,3rd,Citricacid,372.83677196366835
29.078502752487978,82.17547618732412,15.0,3rd,Citricacid,51.15248124617853
217.24256599827507,958.6843014681198,3.0,3rd,Citricacid,466.1332796963348
317.41292771292296,192.13426431677559,3.0,2nd,NaCl,202.23162017917184
250.34739628377204,135.13165484661187,5.0,2nd,NaCl,103.38360922810219
199.1220481516194,99.41674745402393,10.0,2nd,NaCl,86.03040113263283
103.19010404436209,30.803632999111972,25.0,2nd,NaCl,27.780569494196282
143.7103282162174,49.640868413126185,15.0,2nd,NaCl,48.217905198755304
230.58208060076566,104.47757691003085,7.0,2nd,NaCl,83.24430609595058
121.0440279108103,36.36632489298246,20.0,2nd,NaCl,31.03542738517157
228.74296145947332,121.61144405794352,7.0,1st,NaCl,118.6367932541774
122.00630586726643,35.632483476247586,20.0,1st,NaCl,36.3055203568097
148.13398558016888,53.81750437524697,15.0,1st,NaCl,47.505195401294785
203.98940267906448,79.17157714351703,10.0,1st,NaCl,69.64973887116551
306.571141351922,163.38075042201757,3.0,1st,NaCl,184.6277503133185
259.1542252663572,154.01471914416487,5.0,1st,NaCl,127.37208928510564
121.73391737139079,31.939916912042552,25.0,1st,NaCl,31.114978607855445
170.13514220239023,52.65805361909085,15.0,3rd,NaCl,53.127556453088964
239.12283325123218,152.61166918259224,7.0,3rd,NaCl,127.38994342735982
117.59081421092277,25.218847114600877,25.0,3rd,NaCl,23.30819847453847
124.56660640116854,36.31387345908618,20.0,3rd,NaCl,38.719750986215374
260.8952998697897,151.66580164247893,5.0,3rd,NaCl,136.28062729195497
211.88622781228668,93.11159670173899,10.0,3rd,NaCl,72.81026321586842
297.40303957594193,216.13846793288405,3.0,3rd,NaCl,183.92585252119238
55.846606073833094,287.1041998273362,20.0,2nd,MSG,222.55128073544947
83.52710745822067,797.4193450889063,10.0,2nd,MSG,641.5094924542624
140.59348641070207,1422.1666744477263,7.0,2nd,MSG,1141.6796156848043
69.06709951224448,637.0536223491965,15.0,2nd,MSG,644.3513248218871
31.730412616621745,236.12320549555452,25.0,2nd,MSG,223.9882563342825
209.17052694898257,1502.0127988853385,5.0,2nd,MSG,1393.5899801698145
276.90775954114656,2674.699550201119,3.0,2nd,MSG,1821.4938214925737
316.5369270518859,2017.5805047835413,5.0,1st,MSG,1948.8194906460374
57.76734940011114,903.3074476713481,15.0,1st,MSG,646.4623115642348
36.91894237705781,239.98640049518053,25.0,1st,MSG,184.05327236989206
323.30416702765683,2925.968239588679,3.0,1st,MSG,2208.6658617882
94.73627381780474,1243.244419002741,10.0,1st,MSG,866.0417893856276
154.98392941357162,1595.4489664056614,7.0,1st,MSG,1274.4789069957083
44.38841659521163,463.92802967225055,20.0,1st,MSG,530.1059672716601
236.1443567349311,1500.1238132026028,5.0,3rd,MSG,1164.199206390372
41.68731438292307,383.9958434482035,25.0,3rd,MSG,373.1273373177848
321.84577061041256,2681.0896349252803,3.0,3rd,MSG,1805.0692150552732
67.88471303531155,472.50554374656247,15.0,3rd,MSG,438.0320966008991
48.632457112534865,356.47465127926597,20.0,3rd,MSG,319.8379743647212
172.46692995063407,1120.1925552109892,7.0,3rd,MSG,786.4556685892744
106.08318221465179,900.6284457132554,10.0,3rd,MSG,930.6601994658658
