Sample Name,MSG_grind3min_3rd,,
Measurement Date Time,2025/12/19 16:48:35,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.5042273043240189,,
Dx (50),316.2658300554356,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.7854823192792098
0.12847975911886883,0,0.0039132482752340094,0.7396594418266322
0.14597385201576613,0,0.004657107503481888,0.5923907306071552
0.1658499799381348,0,0.00554121540491368,0.5234901178082971
0.18843248613120703,0.0005862245634918079,0.006592693308370272,0.3955987102273597
0.21408987714579308,0.06632988222181141,0.007840520001823451,0.32612623326918655
0.24324083621327308,0.07815391679761835,0.009319543887892858,0.2376696561904424
0.27636105541524886,0.08925294563384306,0.011080120902706178,0.1823755160414397
0.3139909981367784,0.10017265728596367,0.013179261471081677,0.1279351133360742
0.356744718472697,0.11089970057561888,0.01566630332363236,0.09648998983653057
0.4053198815041342,0.12129177800593527,0.0186254559373255,0.0704335951378753
0.4605091479584124,0.13126155752616586,0.0221543695669397,0.054751291118766234
0.5232131090298364,0.14070242418740697,0.02634398389147917,0.04200139666951011
0.5944549824347669,0.14952111553937208,0.03133650455887268,0.033029534798575316
0.675397309514597,0.1576467017217421,0.03726927281196032,0.02561495214611797
0.7673609258538154,0.16505371287867154,0.0443105909890591,0.02056878390700707
0.8718465149800815,0.17179036923982594,0.052699353249123664,0.016072270216136348
0.9905590968645671,0.17801483186222433,0.06268218911264602,0.012549442383773816
1.1254358508315696,0.18403683665806114,0.07455788912105372,0.009833768227394112
1.2786777268980591,0.19035942955385576,0.08868904661518051,0.007651213238860504
1.4527853613842987,0.1977097496764122,0.10550581874234258,0.00593586185352222
1.6505998828747652,0.20704117069811634,0.12553682755785492,0.0045960336990792565
1.8753492744104643,0.21948383050926124,0.14940901734613643,0.0035586375907749744
2.130701048461599,0.23622212859226321,0.17762146379472155,0.0027765159243749934
2.420822094242961,0.2582926491847215,0.21164730494728437,0.0021345444656102907
2.7504466739743543,0.2863255954350281,0.2525217576591168,0.001633815716154847
3.124953677664736,0.32028537276002034,0.3012522236207536,0.0012518919768036412
3.550454397081473,0.35928343678214114,0.3598763858367056,0.0009510496881237667
4.033892251220623,0.4015531692139138,0.4307794014302606,0.000712075715021409
4.583156090621484,0.4447426290776013,0.5171495956291441,0.000534531848146033
5.207208929451393,0.48669382198522815,0.6240039982499064,0.0003953915186203121
5.91623420604064,0.5264541180087612,0.7564250726194758,0.0002882787810049104
6.721801958580707,0.5646107044924138,0.924615881604425,0.00020909030967225346
7.637057627679228,0.6026091380154481,1.103327507116431,0.00015158959747302268
8.676936566695368,0.6419285679658637,1.3122986003347201,0.00011706997237074321
9.858407760284809,0.6831789413031153,1.5607405038510644,8.917282769229658E-05
11.200750728209842,0.7256292929785442,1.8564931514763163,6.880781451862603E-05
12.72587013299487,0.7679794378082772,2.2078558930646555,5.354544583595758E-05
14.45865322526771,0.8094696063739164,2.5989430095798616,4.087611424804725E-05
16.427375959662296,0.8503807885447561,3.0881404469425093,3.235729437490357E-05
18.664164408375882,0.8920033544632258,3.663490578476414,2.481820849938354E-05
21.205519001833704,0.9367034764132676,4.329116198992359,1.9288598026301133E-05
24.092910151141346,0.987190230351823,5.265369814103447,1.669329885739458E-05
27.3734549718295,1.045562268427954,6.241146298105407,8.598093381264851E-06
31.100686151825478,1.1126847143326497,7.665212436137851,2.498527032198522E-06
35.33542551021658,1.187706449108319,9.941660953074798,1.708716905667347E-09
40.14677650173894,1.2675916737987478,0,0
45.613251862909266,1.3469866856855894,,
51.82405480098948,1.4190691670346354,,
58.88053463252163,1.4772438407193214,,
66.8978406248788,1.516917937500434,,
76.00680102860035,1.5370434887005828,,
86.35605796299512,1.541618602306201,,
98.11449299256871,1.541535471637161,,
111.47398297539121,1.5559956912341697,,
126.6525311539754,1.6120640016780392,,
143.89782458252938,1.7416614072671237,,
163.49127594150298,1.976143746413328,,
185.7526156946912,2.3391708831361626,,
211.0451095247746,2.83953951157698,,
239.78148618661447,3.465097947313751,,
272.43067251038207,4.1785314417289925,,
309.5254454578579,4.916900962970978,,
351.67112609992296,5.598280417100753,,
399.5554573855738,6.135444864105594,,
453.9598268901783,6.450109634182084,,
515.7720176783681,6.481196591735738,,
586.0006953530946,6.187867601488691,,
665.7918676938581,5.548915958576302,,
756.4475854762908,4.565148565216646,,
859.4471896373824,3.2600323353165663,,
976.4714515024996,1.6586303918034275,,
1109.4299999999967,0,,
