Sample Name,Citricacid_grind15min_3rd,,
Measurement Date Time,2025/12/18 16:52:18,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.3658579194016743,,
Dx (50),29.078502752487978,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0.0005507276780973462,0.0026667704722456043,1
0.11308222859981587,0.07891895135847807,0.003277936829256543,0.46381650606319624
0.12847975911886883,0.15750857582342237,0.0039132482752340094,0.5253252098524727
0.14597385201576613,0.23396174639869782,0.004657107503481888,0.296437503015541
0.1658499799381348,0.30746118868546446,0.00554121540491368,0.30259792810566605
0.18843248613120703,0.37744776164178506,0.006592693308370272,0.18665935706376224
0.21408987714579308,0.4432284088820726,0.007840520001823451,0.17070893163040163
0.24324083621327308,0.5043042256162853,0.009319543887892858,0.1155038749417789
0.27636105541524886,0.5602975355227078,0.011080120902706178,0.09791640640055653
0.3139909981367784,0.6109924651223486,0.013179261471081677,0.07077168735615233
0.356744718472697,0.6563450164400839,0.01566630332363236,0.06035550791643879
0.4053198815041342,0.6965022015813749,0.0186254559373255,0.0486521016188046
0.4605091479584124,0.7318183325202376,0.0221543695669397,0.04147133589646944
0.5232131090298364,0.7628703758975623,0.02634398389147917,0.034455674690104555
0.5944549824347669,0.7904697876853239,0.03133650455887268,0.029456485706807426
0.675397309514597,0.8156686466574019,0.03726927281196032,0.024773214697051328
0.7673609258538154,0.8397567902801955,0.0443105909890591,0.021887359386604466
0.8718465149800815,0.8642458962020481,0.052699353249123664,0.018373349276294092
0.9905590968645671,0.8908357458343747,0.06268218911264602,0.015671431001112148
1.1254358508315696,0.9213577272803732,0.07455788912105372,0.013230328068167787
1.2786777268980591,0.9576913822022703,0.08868904661518051,0.011181935036190091
1.4527853613842987,1.0016517960877032,0.10550581874234258,0.009322826127709424
1.6505998828747652,1.0548483846206143,0.12553682755785492,0.007801067957434604
1.8753492744104643,1.1185166028958378,0.14940901734613643,0.006468180911277171
2.130701048461599,1.1933173531358072,0.17762146379472155,0.005411936776031275
2.420822094242961,1.2790765374763389,0.21164730494728437,0.0044578700493695745
2.7504466739743543,1.3744015406461472,0.2525217576591168,0.003660445741544675
3.124953677664736,1.4761070734267037,0.3012522236207536,0.003007106751190663
3.550454397081473,1.578535048944154,0.3598763858367056,0.002440960424608594
4.033892251220623,1.6733068156309656,0.4307794014302606,0.0019524331403419951
4.583156090621484,1.7506029234404998,0.5171495956291441,0.0015610707441701724
5.207208929451393,1.8026826903394237,0.6240039982499064,0.0012292336025708055
5.91623420604064,1.8279809330318493,0.7564250726194758,0.0009482378000276599
6.721801958580707,1.8319867931193237,0.924615881604425,0.0007247379179573462
7.637057627679228,1.8241206396722802,1.103327507116431,0.0005465676927448965
8.676936566695368,1.813992993538001,1.3122986003347201,0.0004344722390987762
9.858407760284809,1.8073260939000733,1.5607405038510644,0.00033926379177506285
11.200750728209842,1.8037940521302431,1.8564931514763163,0.0002661342353437605
12.72587013299487,1.8002937434514976,2.2078558930646555,0.00021046247431692465
14.45865322526771,1.7950393706565961,2.5989430095798616,0.0001634075612016876
16.427375959662296,1.7885936514274405,3.0881404469425093,0.00013051054843790853
18.664164408375882,1.782689352919725,3.663490578476414,0.00010240891917386006
21.205519001833704,1.78012712459509,4.329116198992359,8.085156301937478E-05
24.092910151141346,1.7822881061179316,5.265369814103447,7.013275931388339E-05
27.3734549718295,1.7871449389554286,6.241146298105407,3.678361324174685E-05
31.100686151825478,1.7899895772764225,7.665212436137851,1.0758366025957454E-05
35.33542551021658,1.7851545007241896,9.941660953074798,5.9065464758454805E-09
40.14677650173894,1.7672974342641012,0,0
45.613251862909266,1.7321666754068659,,
51.82405480098948,1.6780651577475396,,
58.88053463252163,1.60775369344055,,
66.8978406248788,1.5287549141298413,,
76.00680102860035,1.4514255804260827,,
86.35605796299512,1.385902546383221,,
98.11449299256871,1.3401153752924984,,
111.47398297539121,1.318775502397628,,
126.6525311539754,1.3227371660381948,,
143.89782458252938,1.3496336742152124,,
163.49127594150298,1.3960756748053598,,
185.7526156946912,1.4606807119594833,,
211.0451095247746,1.5482367008908682,,
239.78148618661447,1.6706783944365213,,
272.43067251038207,1.841039587354203,,
309.5254454578579,2.061310342441672,,
351.67112609992296,2.3106817201467322,,
399.5554573855738,2.544798962910008,,
453.9598268901783,2.7063932129783694,,
515.7720176783681,2.7397462369587373,,
586.0006953530946,2.6082020213670347,,
665.7918676938581,2.305820296684331,,
756.4475854762908,1.8554783728371405,,
859.4471896373824,1.2943330953855394,,
976.4714515024996,0.6469939564867815,,
1109.4299999999967,0,,
