Sample Name,Citricacid_grind10min_3rd,,
Measurement Date Time,2025/12/18 16:31:24,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.39558547000935945,,
Dx (50),53.38039672009373,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0.0006222743747392426,0.003277936829256543,0.7041041060782861
0.12847975911886883,0.08066933788143615,0.0039132482752340094,0.8669289328863679
0.14597385201576613,0.12157693330399044,0.004657107503481888,0.6132685950029674
0.1658499799381348,0.16174137290437282,0.00554121540491368,0.5918886080115342
0.18843248613120703,0.20149639241448208,0.006592693308370272,0.4216338286715823
0.21408987714579308,0.24081760623936976,0.007840520001823451,0.37152286790230543
0.24324083621327308,0.27959573127200354,0.009319543887892858,0.26241850770785735
0.27636105541524886,0.3177484919954774,0.011080120902706178,0.21762867538477745
0.3139909981367784,0.3551930075475507,0.013179261471081677,0.1647752687958778
0.356744718472697,0.39185901460043904,0.01566630332363236,0.14083396945105592
0.4053198815041342,0.4276934050536485,0.0186254559373255,0.11436336550945567
0.4605091479584124,0.4626709191973952,0.0221543695669397,0.09637076386233663
0.5232131090298364,0.49680825730603617,0.02634398389147917,0.0791597890401357
0.5944549824347669,0.5301840631943127,0.03133650455887268,0.06714069852266558
0.675397309514597,0.5629659894589878,0.03726927281196032,0.05538442032632848
0.7673609258538154,0.5954462454046512,0.0443105909890591,0.04785538375532884
0.8718465149800815,0.6280860458392707,0.052699353249123664,0.03979686787445587
0.9905590968645671,0.6615672304868516,0.06268218911264602,0.03323735915105923
1.1254358508315696,0.6968449574078868,0.07455788912105372,0.027587713022865407
1.2786777268980591,0.7351878235129847,0.08868904661518051,0.022888688729364875
1.4527853613842987,0.7781804218071038,0.10550581874234258,0.01880562616336435
1.6505998828747652,0.827649346676651,0.12553682755785492,0.015399065303433246
1.8753492744104643,0.8854621827764593,0.14940901734613643,0.012507645566898463
2.130701048461599,0.9531516334398873,0.17762146379472155,0.010286446952027515
2.420822094242961,1.0313509724911185,0.21164730494728437,0.00833130135714389
2.7504466739743543,1.1191056732163016,0.2525217576591168,0.006729516876626687
3.124953677664736,1.2132393772791854,0.3012522236207536,0.005446908313963676
3.550454397081473,1.308061011350734,0.3598763858367056,0.004356926773464472
4.033892251220623,1.3957796595715202,0.4307794014302606,0.0034444921712023712
4.583156090621484,1.4680536334012793,0.5171495956291441,0.0027243774434391804
5.207208929451393,1.5188779722078571,0.6240039982499064,0.002118495024525692
5.91623420604064,1.547727748863636,0.7564250726194758,0.0016132462574029414
6.721801958580707,1.5601991828037853,0.924615881604425,0.0012144541114812689
7.637057627679228,1.565307137399266,1.103327507116431,0.0009010324263266933
8.676936566695368,1.5721693656389988,1.3122986003347201,0.00070553944081955
9.858407760284809,1.5864243637276232,1.5607405038510644,0.0005407261272415754
11.200750728209842,1.6083132712196289,1.8564931514763163,0.0004168398150641204
12.72587013299487,1.635111128690621,2.2078558930646555,0.0003231396212981411
14.45865322526771,1.6645657859062162,2.5989430095798616,0.00024607663276752335
16.427375959662296,1.6959434199430135,3.0881404469425093,0.00019239542244042798
18.664164408375882,1.72928122973682,3.663490578476414,0.0001469470612083416
21.205519001833704,1.765471658982662,4.329116198992359,0.00011362079786588985
24.092910151141346,1.8041974318731064,5.265369814103447,9.818180653387801E-05
27.3734549718295,1.8421525478495084,6.241146298105407,5.0322362419385515E-05
31.100686151825478,1.873635054533601,7.665212436137851,1.4504469901211235E-05
35.33542551021658,1.8924394383334189,9.941660953074798,9.159715862559176E-09
40.14677650173894,1.8936960729376366,0,0
45.613251862909266,1.875020882563092,,
51.82405480098948,1.8375882929771166,,
58.88053463252163,1.786830776369591,,
66.8978406248788,1.7313379372817437,,
76.00680102860035,1.6799979375258118,,
86.35605796299512,1.6392439959267122,,
98.11449299256871,1.6124059017227736,,
111.47398297539121,1.600221042212155,,
126.6525311539754,1.6011344359614696,,
143.89782458252938,1.6125194101903944,,
163.49127594150298,1.6338287921988695,,
185.7526156946912,1.6705191831279365,,
211.0451095247746,1.737543358341611,,
239.78148618661447,1.8579015442414715,,
272.43067251038207,2.0535315023105767,,
309.5254454578579,2.330809506995422,,
351.67112609992296,2.668144099473025,,
399.5554573855738,3.0140145159295457,,
453.9598268901783,3.295494043574479,,
515.7720176783681,3.4332176541480237,,
586.0006953530946,3.362961015404707,,
665.7918676938581,3.05384376894402,,
756.4475854762908,2.514357166797751,,
859.4471896373824,1.7836003639553724,,
976.4714515024996,0.9001581732434687,,
1109.4299999999967,0,,
