prev_grind_min,next_grind_min,delta_min,d50_prev,d50_next,d50_ratio,prev_file,next_file
3.0,5.0,2.0,299.83648316633935,182.1538624892955,0.6075106690343702,20251219_141549_MSG_grind3min_2nd.csv,20251219_142306_MSG_grind5min_2nd.csv
5.0,7.0,2.0,182.1538624892955,181.0902761659452,0.9941610553363215,20251219_142306_MSG_grind5min_2nd.csv,20251219_143641_MSG_grind7min_2nd.csv
7.0,10.0,3.0,181.0902761659452,123.86583165573494,0.6840004569998466,20251219_143641_MSG_grind7min_2nd.csv,20251219_145025_MSG_grind10min_2nd.csv
10.0,15.0,5.0,123.86583165573494,67.79486742377676,0.5473250089839274,20251219_145025_MSG_grind10min_2nd.csv,20251219_151149_MSG_grind15min_2nd.csv
15.0,20.0,5.0,67.79486742377676,47.78901135365783,0.7049060374280995,20251219_151149_MSG_grind15min_2nd.csv,20251219_153531_MSG_grind20min_2nd.csv
20.0,25.0,5.0,47.78901135365783,37.20952341936853,0.7786209081414794,20251219_153531_MSG_grind20min_2nd.csv,20251219_164226_MSG_grind25min_2nd.csv
