Sample Name,NaCl_grinding_5min_10N,,
Measurement Date Time,2025/11/13 14:38:02,,
Particle Name,NaCl,,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,5,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,9.030284012039228,,
Dx (50),58.3065479418902,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,0
0.11308222859981587,0,0.003277936829256543,0
0.12847975911886883,0,0.0039132482752340094,0
0.14597385201576613,0,0.004657107503481888,0
0.1658499799381348,0,0.00554121540491368,0
0.18843248613120703,0,0.006592693308370272,0
0.21408987714579308,0,0.007840520001823451,0.6186307154475021
0.24324083621327308,0,0.009319543887892858,0
0.27636105541524886,0,0.011080120902706178,0.5048357680733695
0.3139909981367784,0,0.013179261471081677,0
0.356744718472697,0,0.01566630332363236,0
0.4053198815041342,0,0.0186254559373255,0.016026947489547527
0.4605091479584124,0,0.0221543695669397,0.8839182990068104
0.5232131090298364,0,0.02634398389147917,0.682944911399691
0.5944549824347669,0,0.03133650455887268,0.7988175260604037
0.675397309514597,0,0.03726927281196032,1
0.7673609258538154,0,0.0443105909890591,0.6970089469515184
0.8718465149800815,0,0.052699353249123664,0.5108452151597458
0.9905590968645671,0,0.06268218911264602,0.315974213543536
1.1254358508315696,0,0.07455788912105372,0.1616898584667913
1.2786777268980591,0,0.08868904661518051,0.08031548929679823
1.4527853613842987,0,0.10550581874234258,0
1.6505998828747652,0,0.12553682755785492,0
1.8753492744104643,0,0.14940901734613643,0.08659503110085941
2.130701048461599,0,0.17762146379472155,0.0621599328169746
2.420822094242961,0,0.21164730494728437,0.038058476835519495
2.7504466739743543,0,0.2525217576591168,0.022206001431017877
3.124953677664736,0,0.3012522236207536,0.027300825701469855
3.550454397081473,0,0.3598763858367056,0.01559761768167214
4.033892251220623,0,0.4307794014302606,0.00980719818573924
4.583156090621484,0,0.5171495956291441,0.0017062099173421944
5.207208929451393,0.0016327626377863598,0.6240039982499064,0.005206512935461257
5.91623420604064,0.2757478619730555,0.7564250726194758,0.0018555417266034168
6.721801958580707,0.8092780241804511,0.924615881604425,0.0013560641574105658
7.637057627679228,1.5677961347130926,1.103327507116431,0.001095273561967189
8.676936566695368,2.4427887858830926,1.3122986003347201,0.0011054580270897626
9.858407760284809,3.266777888113511,1.5607405038510644,0.001756657299764092
11.200750728209842,3.8428845771360898,1.8564931514763163,0.0012509154549129005
12.72587013299487,4.0058702394589005,2.2078558930646555,0.0008996358757969215
14.45865322526771,3.682344926653858,2.5989430095798616,0.0005740497704987472
16.427375959662296,2.9346227852988136,3.0881404469425093,0.00038097608105056626
18.664164408375882,1.9610828575114958,3.663490578476414,0.000282860066583863
21.205519001833704,1.0189703321800714,4.329116198992359,0.0003780877624515855
24.092910151141346,0.3238846513182061,5.265369814103447,3.503087775714159E-05
27.3734549718295,0.0038113085256874513,6.241146298105407,1.512039542837997E-05
31.100686151825478,0.01364140230707278,7.665212436137851,1.4090015065960131E-05
35.33542551021658,1.1375457755351412,9.941660953074798,5.708422480958887E-06
40.14677650173894,3.8917185308372773,0,0
45.613251862909266,7.8598470515842145,,
51.82405480098948,11.870694558380244,,
58.88053463252163,14.438266268417372,,
66.8978406248788,14.34844832177022,,
76.00680102860035,11.441937623873443,,
86.35605796299512,6.7596803395233,,
98.11449299256871,2.0885108039763196,,
111.47398297539121,0.012216188211283452,,
126.6525311539754,0,,
143.89782458252938,0,,
163.49127594150298,0,,
185.7526156946912,0,,
211.0451095247746,0,,
239.78148618661447,0,,
272.43067251038207,0,,
309.5254454578579,0,,
351.67112609992296,0,,
399.5554573855738,0,,
453.9598268901783,0,,
515.7720176783681,0,,
586.0006953530946,0,,
665.7918676938581,0,,
756.4475854762908,0,,
859.4471896373824,0,,
976.4714515024996,0,,
1109.4299999999967,0,,
