Sample Name,NaCl_grinding_20min_20N,,
Measurement Date Time,2025/11/13 17:03:15,,
Particle Name,NaCl,,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,5,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,8.371620354493384,,
Dx (50),785.8612011750924,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.5003221147594707
0.12847975911886883,0,0.0039132482752340094,0.2897699152381086
0.14597385201576613,0,0.004657107503481888,0.16463183717790467
0.1658499799381348,0,0.00554121540491368,0.13303419502794522
0.18843248613120703,0,0.006592693308370272,0.055062214051890324
0.21408987714579308,0,0.007840520001823451,0.04478979366861667
0.24324083621327308,0,0.009319543887892858,0.011455309120289529
0.27636105541524886,0,0.011080120902706178,0.010921841843125455
0.3139909981367784,0,0.013179261471081677,0.004027771995003021
0.356744718472697,0,0.01566630332363236,0
0.4053198815041342,0,0.0186254559373255,0
0.4605091479584124,0,0.0221543695669397,0.0008005622482911128
0.5232131090298364,0,0.02634398389147917,0.000574952984968506
0.5944549824347669,0,0.03133650455887268,0.00043279582735538806
0.675397309514597,0,0.03726927281196032,0.000313562084075807
0.7673609258538154,0,0.0443105909890591,0
0.8718465149800815,0,0.052699353249123664,0.00043889731092494903
0.9905590968645671,0,0.06268218911264602,0.00014980612596130375
1.1254358508315696,0,0.07455788912105372,0.0002459862510183251
1.2786777268980591,0,0.08868904661518051,5.879184436810777E-05
1.4527853613842987,0,0.10550581874234258,5.132275189208073E-06
1.6505998828747652,0,0.12553682755785492,0
1.8753492744104643,0,0.14940901734613643,3.433736896998646E-05
2.130701048461599,0,0.17762146379472155,0
2.420822094242961,0,0.21164730494728437,2.099230376528165E-05
2.7504466739743543,0,0.2525217576591168,0
3.124953677664736,0,0.3012522236207536,1.038942355762986E-05
3.550454397081473,0,0.3598763858367056,0
4.033892251220623,0,0.4307794014302606,0
4.583156090621484,0,0.5171495956291441,0
5.207208929451393,0,0.6240039982499064,0
5.91623420604064,0,0.7564250726194758,2.5815538051056835E-06
6.721801958580707,0,0.924615881604425,4.209363541022517E-07
7.637057627679228,0,1.103327507116431,1.0271217314784463E-07
8.676936566695368,0,1.3122986003347201,0
9.858407760284809,0,1.5607405038510644,0
11.200750728209842,0,1.8564931514763163,4.5818048869862945E-07
12.72587013299487,0,2.2078558930646555,0
14.45865322526771,0,2.5989430095798616,2.47936094320001E-07
16.427375959662296,0,3.0881404469425093,1.111108541488806E-07
18.664164408375882,0,3.663490578476414,3.638487974207777E-07
21.205519001833704,0,4.329116198992359,2.587747979374388E-07
24.092910151141346,0,5.265369814103447,6.774929356082312E-08
27.3734549718295,0,6.241146298105407,3.786942960921539E-08
31.100686151825478,0,7.665212436137851,1.2656116726691975E-08
35.33542551021658,0,9.941660953074798,5.709139224397949E-09
40.14677650173894,0,0,0
45.613251862909266,0,,
51.82405480098948,0,,
58.88053463252163,0,,
66.8978406248788,0,,
76.00680102860035,0,,
86.35605796299512,0,,
98.11449299256871,0,,
111.47398297539121,0,,
126.6525311539754,0,,
143.89782458252938,0,,
163.49127594150298,0,,
185.7526156946912,0,,
211.0451095247746,0,,
239.78148618661447,0,,
272.43067251038207,0,,
309.5254454578579,0.001887125672044285,,
351.67112609992296,0.32514551912989154,,
399.5554573855738,1.414442867565844,,
453.9598268901783,3.7371054321887804,,
515.7720176783681,7.541668847834623,,
586.0006953530946,12.563052682827596,,
665.7918676938581,17.779510254637913,,
756.4475854762908,21.372132730462575,,
859.4471896373824,20.93791229044119,,
976.4714515024996,13.825855757961449,,
1109.4299999999967,0,,
