Sample Name,NaCl_grinding_25min_20N,,
Measurement Date Time,2025/11/13 16:30:48,,
Particle Name,NaCl,,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,5,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.7407135882100748,,
Dx (50),89.14133980218662,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.4583895637425874
0.12847975911886883,0,0.0039132482752340094,0.44758948809945437
0.14597385201576613,0,0.004657107503481888,0.2782908556602898
0.1658499799381348,0.0005142333548409272,0.00554121540491368,0.2432596848615157
0.18843248613120703,0.060812060783303847,0.006592693308370272,0.1622801328563508
0.21408987714579308,0.07317044105889836,0.007840520001823451,0.1562521732322093
0.24324083621327308,0.08460674042888502,0.009319543887892858,0.1330623592781997
0.27636105541524886,0.09553586911277037,0.011080120902706178,0.12092164241885402
0.3139909981367784,0.10586866426010849,0.013179261471081677,0.10327774168690534
0.356744718472697,0.11541318142352142,0.01566630332363236,0.09396528912220778
0.4053198815041342,0.1240262422555175,0.0186254559373255,0.07857877264851457
0.4605091479584124,0.13156222220839087,0.0221543695669397,0.0664677756677321
0.5232131090298364,0.1379119437397106,0.02634398389147917,0.05499163065736044
0.5944549824347669,0.143027621346134,0.03133650455887268,0.04461184342043254
0.675397309514597,0.14696540097461241,0.03726927281196032,0.035717485271487055
0.7673609258538154,0.14993867180744358,0.0443105909890591,0.028533776437292612
0.8718465149800815,0.15238357788338353,0.052699353249123664,0.02250720684255744
0.9905590968645671,0.15503087271107385,0.06268218911264602,0.01766812743763723
1.1254358508315696,0.15897148126888183,0.07455788912105372,0.013752108507417364
1.2786777268980591,0.1656921001961884,0.08868904661518051,0.010631048206749377
1.4527853613842987,0.17704559390787145,0.10550581874234258,0.008025963093539755
1.6505998828747652,0.19511599418679193,0.12553682755785492,0.0062295923070369765
1.8753492744104643,0.22195388866217458,0.14940901734613643,0.004789187535100693
2.130701048461599,0.25921025926546015,0.17762146379472155,0.003646737506597828
2.420822094242961,0.30778032811431055,0.21164730494728437,0.0027035602345028007
2.7504466739743543,0.36762241722996736,0.2525217576591168,0.002027092568562557
3.124953677664736,0.4378280729748787,0.3012522236207536,0.001506819229710254
3.550454397081473,0.5167830844321837,0.3598763858367056,0.0011107698845897877
4.033892251220623,0.6022144381215808,0.4307794014302606,0.0007987162387770317
4.583156090621484,0.6914047395124792,0.5171495956291441,0.0005699755432365048
5.207208929451393,0.7820544389374025,0.6240039982499064,0.0004042668268575693
5.91623420604064,0.8732277297225544,0.7564250726194758,0.0002776286158163408
6.721801958580707,0.9656097532680405,0.924615881604425,0.00019071424238405855
7.637057627679228,1.061048433723565,1.103327507116431,0.00012948814821712475
8.676936566695368,1.1611408515036672,1.3122986003347201,9.409765599817888E-05
9.858407760284809,1.265965336191325,1.5607405038510644,6.887678049285961E-05
11.200750728209842,1.3740542787667973,1.8564931514763163,5.050612825767916E-05
12.72587013299487,1.4837861061436328,2.2078558930646555,3.770432236434069E-05
14.45865322526771,1.5946479961975584,2.5989430095798616,2.890761670731784E-05
16.427375959662296,1.7072187766983156,3.0881404469425093,2.2223879159646488E-05
18.664164408375882,1.8226838506333038,3.663490578476414,1.7501546755542138E-05
21.205519001833704,1.9426343570398004,4.329116198992359,1.3346419164156901E-05
24.092910151141346,2.0684552454351426,5.265369814103447,1.2521307297582946E-05
27.3734549718295,2.2012870783283844,6.241146298105407,6.577994925294588E-06
31.100686151825478,2.3426874646901013,7.665212436137851,1.931235778263699E-06
35.33542551021658,2.4939585714324544,9.941660953074798,0
40.14677650173894,2.653971884452961,0,0
45.613251862909266,2.817407196557113,,
51.82405480098948,2.975656661358336,,
58.88053463252163,3.121047942707179,,
66.8978406248788,3.2516709339334113,,
76.00680102860035,3.372127126044461,,
86.35605796299512,3.4868130791673906,,
98.11449299256871,3.589817483327309,,
111.47398297539121,3.659233312467798,,
126.6525311539754,3.660185942396936,,
143.89782458252938,3.556023165107817,,
163.49127594150298,3.321638697585229,,
185.7526156946912,2.9547334446995848,,
211.0451095247746,2.4849376157165466,,
239.78148618661447,1.9764110687592478,,
272.43067251038207,1.5195121282546467,,
309.5254454578579,1.2131252460195157,,
351.67112609992296,1.13913829416488,,
399.5554573855738,1.3351472098303248,,
453.9598268901783,1.7715812535468416,,
515.7720176783681,2.3413044232644324,,
586.0006953530946,2.871933647760102,,
665.7918676938581,3.1638021390743205,,
756.4475854762908,3.046865939229008,,
859.4471896373824,2.431089909109744,,
976.4714515024996,1.3215691549370376,,
1109.4299999999967,0,,
