Sample Name,NaCl_grinding_5min_10N,,
Measurement Date Time,2025/11/13 14:40:29,,
Particle Name,NaCl,,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,5,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,1.031316132275231,,
Dx (50),209.43083580357356,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,0
0.11308222859981587,0,0.003277936829256543,0.13807657699237819
0.12847975911886883,0,0.0039132482752340094,0.4850436693402268
0.14597385201576613,0,0.004657107503481888,0.7565373991245299
0.1658499799381348,0,0.00554121540491368,1
0.18843248613120703,0,0.006592693308370272,0.9962416231418308
0.21408987714579308,0,0.007840520001823451,0.966268351425279
0.24324083621327308,0,0.009319543887892858,0.8375614240758251
0.27636105541524886,0,0.011080120902706178,0.7212218709100434
0.3139909981367784,0,0.013179261471081677,0.5387995592783761
0.356744718472697,0,0.01566630332363236,0.4190521710335124
0.4053198815041342,0,0.0186254559373255,0.2824333114727932
0.4605091479584124,0,0.0221543695669397,0.20393145858568762
0.5232131090298364,0,0.02634398389147917,0.14102460276317652
0.5944549824347669,0,0.03133650455887268,0.10521065875309937
0.675397309514597,0,0.03726927281196032,0.07627281220938198
0.7673609258538154,0,0.0443105909890591,0.05775902259871368
0.8718465149800815,0,0.052699353249123664,0.04055679074051785
0.9905590968645671,0,0.06268218911264602,0.029803437221561837
1.1254358508315696,0,0.07455788912105372,0.021196764743519503
1.2786777268980591,0,0.08868904661518051,0.015384836248933356
1.4527853613842987,0,0.10550581874234258,0.010894520510461522
1.6505998828747652,0,0.12553682755785492,0.0077957410169201555
1.8753492744104643,0,0.14940901734613643,0.00585246128829349
2.130701048461599,0.0009252718483466349,0.17762146379472155,0.004304379512354972
2.420822094242961,0.0662076156109199,0.21164730494728437,0.003019490732071432
2.7504466739743543,0.08836286828054503,0.2525217576591168,0.0020937194622836397
3.124953677664736,0.11156469842805283,0.3012522236207536,0.001562757166457321
3.550454397081473,0.13510266638761514,0.3598763858367056,0.0010959395951478776
4.033892251220623,0.15843855573470944,0.4307794014302606,0.000740883802213372
4.583156090621484,0.18236953046948656,0.5171495956291441,0.0005158321473334728
5.207208929451393,0.2083809486953636,0.6240039982499064,0.0003621085700453169
5.91623420604064,0.23802528901468356,0.7564250726194758,0.00024309677690173448
6.721801958580707,0.27304403714949,0.924615881604425,0.0001596369190371389
7.637057627679228,0.3153165116333352,1.103327507116431,0.00010585699272147085
8.676936566695368,0.36542215834877734,1.3122986003347201,7.860706695725662E-05
9.858407760284809,0.4212750001392891,1.5607405038510644,5.8581510913881996E-05
11.200750728209842,0.4782905526966781,1.8564931514763163,4.336723622352552E-05
12.72587013299487,0.5308034006743316,2.2078558930646555,3.061909874743671E-05
14.45865322526771,0.5749320462527576,2.5989430095798616,2.9371999288761287E-05
16.427375959662296,0.6110421453443209,3.0881404469425093,2.2725340613436487E-05
18.664164408375882,0.6451850139088142,3.663490578476414,1.8001030692687876E-05
21.205519001833704,0.688881617256861,4.329116198992359,1.426573713828706E-05
24.092910151141346,0.7569830681848648,5.265369814103447,1.2317704067623699E-05
27.3734549718295,0.8642980211958387,6.241146298105407,6.422885656567434E-06
31.100686151825478,1.0212533368860663,7.665212436137851,1.9151482907636486E-06
35.33542551021658,1.2282978368043267,9.941660953074798,1.4677611055939288E-08
40.14677650173894,1.4701584865319877,0,0
45.613251862909266,1.7141111106937181,,
51.82405480098948,1.9173419010983856,,
58.88053463252163,2.0443078423606575,,
66.8978406248788,2.087403448117538,,
76.00680102860035,2.0815273932944365,,
86.35605796299512,2.106810866687084,,
98.11449299256871,2.2775531628579344,,
111.47398297539121,2.716781161352351,,
126.6525311539754,3.51811266614261,,
143.89782458252938,4.699992621628855,,
163.49127594150298,6.1669062328258875,,
185.7526156946912,7.6975912522675,,
211.0451095247746,8.975237792643703,,
239.78148618661447,9.661866642150258,,
272.43067251038207,9.500826513962167,,
309.5254454578579,8.41586851469333,,
351.67112609992296,6.563425224410295,,
399.5554573855738,4.328613404434293,,
453.9598268901783,2.080068107040148,,
515.7720176783681,0.011093463861385544,,
586.0006953530946,0,,
665.7918676938581,0,,
756.4475854762908,0,,
859.4471896373824,0,,
976.4714515024996,0,,
1109.4299999999967,0,,
