Sample Name,NaCl_grinding_25min_20N,,
Measurement Date Time,2025/11/13 16:31:11,,
Particle Name,NaCl,,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,5,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.6555248421819538,,
Dx (50),76.48405825903315,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.5207669605393046
0.12847975911886883,0,0.0039132482752340094,0.5925062007083565
0.14597385201576613,0,0.004657107503481888,0.40258413471709575
0.1658499799381348,0.000572853449762727,0.00554121540491368,0.3726133582657921
0.18843248613120703,0.06774525494346897,0.006592693308370272,0.2651972923854229
0.21408987714579308,0.08151660355401279,0.007840520001823451,0.2829691155617915
0.24324083621327308,0.09426857207611966,0.009319543887892858,0.23709088157385333
0.27636105541524886,0.10646814226109927,0.011080120902706178,0.22146166845375384
0.3139909981367784,0.11802136543416569,0.013179261471081677,0.18944476885280714
0.356744718472697,0.12872022021014984,0.01566630332363236,0.1731949016190947
0.4053198815041342,0.13841074119846952,0.0186254559373255,0.14566806795760232
0.4605091479584124,0.14693511347846566,0.0221543695669397,0.1244249272252104
0.5232131090298364,0.15417369780126589,0.02634398389147917,0.10247109441655665
0.5944549824347669,0.16007105421559586,0.03133650455887268,0.083993121345947
0.675397309514597,0.16468105252785326,0.03726927281196032,0.06727516254171446
0.7673609258538154,0.1682235684966622,0.0443105909890591,0.05375842273251391
0.8718465149800815,0.1711547046241697,0.052699353249123664,0.04197248866017199
0.9905590968645671,0.1742448103488543,0.06268218911264602,0.033030286181341045
1.1254358508315696,0.17865169725451313,0.07455788912105372,0.025553719699489424
1.2786777268980591,0.1859649501011833,0.08868904661518051,0.019883790892551413
1.4527853613842987,0.19818482932272552,0.10550581874234258,0.014914534856387348
1.6505998828747652,0.21759288091760975,0.12553682755785492,0.011589921891611097
1.8753492744104643,0.24648518080248927,0.14940901734613643,0.008907295083343952
2.130701048461599,0.28678856327869173,0.17762146379472155,0.0067715402945280135
2.420822094242961,0.3396608389281286,0.21164730494728437,0.005006487945698595
2.7504466739743543,0.40522900646953186,0.2525217576591168,0.0037599132097451624
3.124953677664736,0.48253868697753255,0.3012522236207536,0.0027933268071429324
3.550454397081473,0.5695785739061003,0.3598763858367056,0.0020622366152448653
4.033892251220623,0.6632517355268561,0.4307794014302606,0.0014899748769972574
4.583156090621484,0.7596985057457948,0.5171495956291441,0.0010693121211664714
5.207208929451393,0.8555209102277814,0.6240039982499064,0.0007601688373552633
5.91623420604064,0.9492190060106447,0.7564250726194758,0.0005238959925600001
6.721801958580707,1.0418061315338605,0.924615881604425,0.00035931420757695824
7.637057627679228,1.1364299536253384,1.103327507116431,0.000245545393871593
8.676936566695368,1.2367518591623394,1.3122986003347201,0.00017911408133100854
9.858407760284809,1.345120957027616,1.5607405038510644,0.00013104297449194457
11.200750728209842,1.4616951985354962,1.8564931514763163,9.661476133747418E-05
12.72587013299487,1.5851104050417675,2.2078558930646555,7.226173851236062E-05
14.45865322526771,1.7135477137640152,2.5989430095798616,5.52657661296349E-05
16.427375959662296,1.845082080091931,3.0881404469425093,4.262472085086276E-05
18.664164408375882,1.9779549940698757,3.663490578476414,3.354799672770692E-05
21.205519001833704,2.1114099011397585,4.329116198992359,2.5630302883128836E-05
24.092910151141346,2.246040103517032,5.265369814103447,2.388589061804024E-05
27.3734549718295,2.3842895225946954,6.241146298105407,1.2531788665119455E-05
31.100686151825478,2.530997252316485,7.665212436137851,3.6919089178427226E-06
35.33542551021658,2.6920145225321725,9.941660953074798,0
40.14677650173894,2.870700211901429,0,0
45.613251862909266,3.0643576718010124,,
51.82405480098948,3.2634170632818993,,
58.88053463252163,3.4548477271449443,,
66.8978406248788,3.627754876819459,,
76.00680102860035,3.7762458344820047,,
86.35605796299512,3.895392493140548,,
98.11449299256871,3.97421708338986,,
111.47398297539121,3.9933535361027666,,
126.6525311539754,3.9298676241198365,,
143.89782458252938,3.7663880410842125,,
163.49127594150298,3.4974407882972116,,
185.7526156946912,3.131647958076101,,
211.0451095247746,2.694381786320534,,
239.78148618661447,2.2282872693130287,,
272.43067251038207,1.7885821673070126,,
309.5254454578579,1.435076834117453,,
351.67112609992296,1.2174890041089839,,
399.5554573855738,1.1600762609248108,,
453.9598268901783,1.250585502620865,,
515.7720176783681,1.435603462616399,,
586.0006953530946,1.628063518153425,,
665.7918676938581,1.7254095040591721,,
756.4475854762908,1.6353536152087003,,
859.4471896373824,1.3006882463144223,,
976.4714515024996,0.7090805559935518,,
1109.4299999999967,0,,
