Sample Name,NaCl_grinding_7min_20N,,
Measurement Date Time,2025/11/13 17:57:23,,
Particle Name,NaCl,,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,5,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.558773448287498,,
Dx (50),210.79125934784525,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,0.9081501702995954
0.11308222859981587,0,0.003277936829256543,1
0.12847975911886883,0,0.0039132482752340094,0.9488371607712756
0.14597385201576613,0,0.004657107503481888,0.9287809985324018
0.1658499799381348,0,0.00554121540491368,0.8602803245296622
0.18843248613120703,0,0.006592693308370272,0.7707861977057808
0.21408987714579308,0,0.007840520001823451,0.7152915784966208
0.24324083621327308,0,0.009319543887892858,0.5786667051914716
0.27636105541524886,0,0.011080120902706178,0.489306758554701
0.3139909981367784,0,0.013179261471081677,0.3696321658783224
0.356744718472697,0,0.01566630332363236,0.28126163983381325
0.4053198815041342,0,0.0186254559373255,0.20305696717072266
0.4605091479584124,0,0.0221543695669397,0.15515885337109084
0.5232131090298364,0,0.02634398389147917,0.11160689129587473
0.5944549824347669,0,0.03133650455887268,0.08406499617211413
0.675397309514597,0,0.03726927281196032,0.06095476425687368
0.7673609258538154,0,0.0443105909890591,0.04675784770893401
0.8718465149800815,0,0.052699353249123664,0.034606837549193095
0.9905590968645671,0,0.06268218911264602,0.02559436398856995
1.1254358508315696,0,0.07455788912105372,0.018928863030158945
1.2786777268980591,0,0.08868904661518051,0.01393292992054415
1.4527853613842987,0,0.10550581874234258,0.010234591783825884
1.6505998828747652,0,0.12553682755785492,0.007452219656113706
1.8753492744104643,0.0009862102137289832,0.14940901734613643,0.005418616208737796
2.130701048461599,0.07142665624053739,0.17762146379472155,0.003974514192977097
2.420822094242961,0.09358140052833946,0.21164730494728437,0.0028778284404811783
2.7504466739743543,0.119374850425844,0.2525217576591168,0.002053099684509797
3.124953677664736,0.147560089151678,0.3012522236207536,0.0014759560362992026
3.550454397081473,0.17590975328897535,0.3598763858367056,0.0010356639720536418
4.033892251220623,0.20340346496562556,0.4307794014302606,0.0007162545329567334
4.583156090621484,0.23061699374596645,0.5171495956291441,0.0005120139282744312
5.207208929451393,0.2593639954747635,0.6240039982499064,0.000345464202983725
5.91623420604064,0.29199713077438494,0.7564250726194758,0.00023970032388973846
6.721801958580707,0.33079108348288533,0.924615881604425,0.00016091577656980252
7.637057627679228,0.37752380344431824,1.103327507116431,0.00010770212493579036
8.676936566695368,0.4326471285791169,1.3122986003347201,7.812857991700126E-05
9.858407760284809,0.4947094747681611,1.5607405038510644,5.664756691459703E-05
11.200750728209842,0.5608026606971119,1.8564931514763163,4.104878695013376E-05
12.72587013299487,0.6278817246837605,2.2078558930646555,3.1044746381187476E-05
14.45865322526771,0.6944230598987211,2.5989430095798616,2.6349268821976555E-05
16.427375959662296,0.7613453654581326,3.0881404469425093,2.0352549061740095E-05
18.664164408375882,0.8322096592074546,3.663490578476414,1.6097567683639854E-05
21.205519001833704,0.9128142618144857,4.329116198992359,1.2357874307519568E-05
24.092910151141346,1.0096420495970735,5.265369814103447,1.1822213964214683E-05
27.3734549718295,1.1274122709814947,6.241146298105407,6.2019304649996E-06
31.100686151825478,1.2668381571379985,7.665212436137851,1.7949601782638477E-06
35.33542551021658,1.4238722730944033,9.941660953074798,0
40.14677650173894,1.590181427683806,0,0
45.613251862909266,1.7544740262975456,,
51.82405480098948,1.9057078591647514,,
58.88053463252163,2.0376802725892276,,
66.8978406248788,2.153511819197174,,
76.00680102860035,2.268710981315447,,
86.35605796299512,2.412100437846007,,
98.11449299256871,2.6235459112829,,
111.47398297539121,2.946780097579758,,
126.6525311539754,3.417124294711037,,
143.89782458252938,4.04643723025324,,
163.49127594150298,4.809962526814573,,
185.7526156946912,5.639823198141805,,
211.0451095247746,6.428651663285663,,
239.78148618661447,7.043967686986768,,
272.43067251038207,7.3514222706034715,,
309.5254454578579,7.244250906302099,,
351.67112609992296,6.676160376083359,,
399.5554573855738,5.688687142683719,,
453.9598268901783,4.416127713894568,,
515.7720176783681,3.0573047796637383,,
586.0006953530946,1.6960758200191464,,
665.7918676938581,0.3437884656569423,,
756.4475854762908,0.0003895742882775721,,
859.4471896373824,0,,
976.4714515024996,2.1475745626275966E-06,,
1109.4299999999967,0,,
