Sample Name,Ajinomoto_grind20min,,
Measurement Date Time,2025/12/19 12:21:06,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.48446555035272276,,
Dx (50),55.250120356186976,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0.0007429392580228597,0.003277936829256543,0.48388313646976044
0.12847975911886883,0.09629571710484153,0.0039132482752340094,0.5502317889238002
0.14597385201576613,0.14482685219843827,0.004657107503481888,0.334693398098585
0.1658499799381348,0.1920693793373904,0.00554121540491368,0.33754202826835494
0.18843248613120703,0.23824309480012607,0.006592693308370272,0.230663549367633
0.21408987714579308,0.28311175730334426,0.007840520001823451,0.20960085005602866
0.24324083621327308,0.32631016004702884,0.009319543887892858,0.15467027182287535
0.27636105541524886,0.3674758320751774,0.011080120902706178,0.13219715854595776
0.3139909981367784,0.40621640633801603,0.013179261471081677,0.10084085589480865
0.356744718472697,0.4421271738116741,0.01566630332363236,0.08494758582751905
0.4053198815041342,0.474801014409973,0.0186254559373255,0.0681207283711875
0.4605091479584124,0.503849537971854,0.0221543695669397,0.057478084613812444
0.5232131090298364,0.5289337900061093,0.02634398389147917,0.047612361007478815
0.5944549824347669,0.5498093829092641,0.03133650455887268,0.04005988704877353
0.675397309514597,0.5663896420769694,0.03726927281196032,0.033227583772500624
0.7673609258538154,0.5788303883335848,0.0443105909890591,0.028503957678851735
0.8718465149800815,0.587637800107581,0.052699353249123664,0.02356389562821065
0.9905590968645671,0.593795836472232,0.06268218911264602,0.019598639213118156
1.1254358508315696,0.5989001036330244,0.07455788912105372,0.01622559000594014
1.2786777268980591,0.6052695517020146,0.08868904661518051,0.013375657236524828
1.4527853613842987,0.6159867379146533,0.10550581874234258,0.010924387625510982
1.6505998828747652,0.6347976060952494,0.12553682755785492,0.008927381281668352
1.8753492744104643,0.66579769090011,0.14940901734613643,0.00724604115570187
2.130701048461599,0.7128658563174444,0.17762146379472155,0.00593607488794805
2.420822094242961,0.7788933367669149,0.21164730494728437,0.004779867893002334
2.7504466739743543,0.8649647301389543,0.2525217576591168,0.0038249712118581815
3.124953677664736,0.9696851642284035,0.3012522236207536,0.0030555453131379546
3.550454397081473,1.0887600284973846,0.3598763858367056,0.002403377776606925
4.033892251220623,1.214934985345419,0.4307794014302606,0.0018572836431827858
4.583156090621484,1.3388074706983346,0.5171495956291441,0.0014302838536207278
5.207208929451393,1.451154941315373,0.6240039982499064,0.0010819100549084926
5.91623420604064,1.5458939885245968,0.7564250726194758,0.0008029382404366219
6.721801958580707,1.6212662095388986,0.924615881604425,0.0005923696066456056
7.637057627679228,1.6787423214878316,1.103327507116431,0.0004382028948621117
8.676936566695368,1.7215112433414106,1.3122986003347201,0.00034326155008029596
9.858407760284809,1.7524235011845768,1.5607405038510644,0.00026617030897663105
11.200750728209842,1.7725699489143274,1.8564931514763163,0.00020902386324664384
12.72587013299487,1.782834158425576,2.2078558930646555,0.00016623396116903654
14.45865322526771,1.785937855872671,2.5989430095798616,0.00013026904449912305
16.427375959662296,1.7866495243717608,3.0881404469425093,0.00010480774211253878
18.664164408375882,1.790529575719269,3.663490578476414,8.259734333850802E-05
21.205519001833704,1.803192452303783,4.329116198992359,6.52446910324777E-05
24.092910151141346,1.827987228636502,5.265369814103447,5.6976936147810975E-05
27.3734549718295,1.8641272193634748,6.241146298105407,2.973265497443675E-05
31.100686151825478,1.9068887420830336,7.665212436137851,8.66387844735156E-06
35.33542551021658,1.9489344889617186,9.941660953074798,5.7526058338763E-09
40.14677650173894,1.9816826245800314,0,0
45.613251862909266,1.9966249189593697,,
51.82405480098948,1.987501236735568,,
58.88053463252163,1.9528373552380174,,
66.8978406248788,1.8968789186541954,,
76.00680102860035,1.8282893645411562,,
86.35605796299512,1.757883022814255,,
98.11449299256871,1.6973535767714694,,
111.47398297539121,1.658485759822149,,
126.6525311539754,1.6516687636365717,,
143.89782458252938,1.6842289603802953,,
163.49127594150298,1.7592344583073896,,
185.7526156946912,1.8748946056679898,,
211.0451095247746,2.026143848578883,,
239.78148618661447,2.206502623939869,,
272.43067251038207,2.4075553302140094,,
309.5254454578579,2.6157524774513234,,
351.67112609992296,2.810000890985904,,
399.5554573855738,2.964225549514822,,
453.9598268901783,3.0513886112348416,,
515.7720176783681,3.0435284660703843,,
586.0006953530946,2.912302081575035,,
665.7918676938581,2.631947522288698,,
756.4475854762908,2.185911122076334,,
859.4471896373824,1.5739228775053533,,
976.4714515024996,0.8049997198416321,,
1109.4299999999967,0,,
