Sample Name,NaCl_grind_for250um_2nd,,
Measurement Date Time,2025/12/17 18:41:33,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,No,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.6361274986345834,,
Dx (50),252.07423035335492,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.9262015555397272
0.12847975911886883,0,0.0039132482752340094,0.8879753843967451
0.14597385201576613,0,0.004657107503481888,0.8158146409190706
0.1658499799381348,0,0.00554121540491368,0.8003755141734578
0.18843248613120703,0,0.006592693308370272,0.6989669602926744
0.21408987714579308,0,0.007840520001823451,0.6301289843308865
0.24324083621327308,0,0.009319543887892858,0.5203110552793767
0.27636105541524886,0,0.011080120902706178,0.4290698788158891
0.3139909981367784,0,0.013179261471081677,0.31056361706104263
0.356744718472697,0,0.01566630332363236,0.2301594580452024
0.4053198815041342,0,0.0186254559373255,0.1555913411856574
0.4605091479584124,0,0.0221543695669397,0.112739071665908
0.5232131090298364,0,0.02634398389147917,0.08004128937656829
0.5944549824347669,0,0.03133650455887268,0.058793951501172254
0.675397309514597,0,0.03726927281196032,0.04205621512186076
0.7673609258538154,0,0.0443105909890591,0.031339783340786104
0.8718465149800815,0,0.052699353249123664,0.02263673121684031
0.9905590968645671,0,0.06268218911264602,0.01649567671260738
1.1254358508315696,0,0.07455788912105372,0.012016687118692002
1.2786777268980591,0,0.08868904661518051,0.008730141972697378
1.4527853613842987,0,0.10550581874234258,0.006314611412825103
1.6505998828747652,0,0.12553682755785492,0.004573187947542477
1.8753492744104643,0,0.14940901734613643,0.0032586695702707925
2.130701048461599,0,0.17762146379472155,0.0023672910281098336
2.420822094242961,0.0011427395440932154,0.21164730494728437,0.0016874944964420874
2.7504466739743543,0.0791608186554348,0.2525217576591168,0.0012006074233712554
3.124953677664736,0.10126280697951558,0.3012522236207536,0.000857106855020604
3.550454397081473,0.11762890011900348,0.3598763858367056,0.0006018745174818708
4.033892251220623,0.13161999903704685,0.4307794014302606,0.00041863385157519395
4.583156090621484,0.14474967922764664,0.5171495956291441,0.00029540525642125765
5.207208929451393,0.16004730347697127,0.6240039982499064,0.00020359422157066094
5.91623420604064,0.17911121445796863,0.7564250726194758,0.0001387074648274966
6.721801958580707,0.2028513974749231,0.924615881604425,9.4434997644788E-05
7.637057627679228,0.23117109377937717,1.103327507116431,6.45994664007703E-05
8.676936566695368,0.2634359955518071,1.3122986003347201,4.837414303866111E-05
9.858407760284809,0.2986730784245957,1.5607405038510644,3.527190415912123E-05
11.200750728209842,0.33599418082904564,1.8564931514763163,2.7120626348928494E-05
12.72587013299487,0.3753337153477987,2.2078558930646555,2.0203813867948786E-05
14.45865322526771,0.41796255551600314,2.5989430095798616,1.6005802119514327E-05
16.427375959662296,0.46670818809880776,3.0881404469425093,1.2433034261912527E-05
18.664164408375882,0.5256889289275817,3.663490578476414,9.97019994007358E-06
21.205519001833704,0.5994713189458327,4.329116198992359,7.856146720058709E-06
24.092910151141346,0.6916356015915301,5.265369814103447,7.107136059677634E-06
27.3734549718295,0.8031417229357878,6.241146298105407,3.6776546352536083E-06
31.100686151825478,0.9310056739428312,7.665212436137851,1.0761091625216638E-06
35.33542551021658,1.0678064974151775,9.941660953074798,1.5758567911465966E-09
40.14677650173894,1.2023885505886316,0,0
45.613251862909266,1.3220923084620058,,
51.82405480098948,1.4166505507487503,,
58.88053463252163,1.4833702064423253,,
66.8978406248788,1.5324854144170974,,
76.00680102860035,1.5909430639259554,,
86.35605796299512,1.7029044800214344,,
98.11449299256871,1.9251782538842832,,
111.47398297539121,2.316327003991457,,
126.6525311539754,2.9213191885513083,,
143.89782458252938,3.752989158189269,,
163.49127594150298,4.775498667863033,,
185.7526156946912,5.895976057931954,,
211.0451095247746,6.9701334024011885,,
239.78148618661447,7.824262187588452,,
272.43067251038207,8.291450999486656,,
309.5254454578579,8.253736159400525,,
351.67112609992296,7.678828836706643,,
399.5554573855738,6.638030690782884,,
453.9598268901783,5.294415284267032,,
515.7720176783681,3.860916342562618,,
586.0006953530946,2.543301509366273,,
665.7918676938581,1.4886144740372345,,
756.4475854762908,0.7574403174001247,,
859.4471896373824,0.3251637976313191,,
976.4714515024996,0.10632718062048241,,
1109.4299999999967,0,,
