Sample Name,Citricacid_grind_for100um_3rd,,
Measurement Date Time,2025/12/18 18:20:02,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.5353470175564888,,
Dx (50),111.58273301475734,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0.00044424933222239236,0.003277936829256543,0.624993953193663
0.12847975911886883,0.06486794602614522,0.0039132482752340094,0.6607330821065066
0.14597385201576613,0.09821843971316789,0.004657107503481888,0.45530939356504463
0.1658499799381348,0.13131605672399263,0.00554121540491368,0.42212431806724515
0.18843248613120703,0.16469570138894557,0.006592693308370272,0.2863577009918007
0.21408987714579308,0.19825561831939648,0.007840520001823451,0.23743825158119528
0.24324083621327308,0.23192052240494232,0.009319543887892858,0.16366268111643328
0.27636105541524886,0.26554316459621097,0.011080120902706178,0.1317338802164425
0.3139909981367784,0.29893041657914754,0.013179261471081677,0.09708453002382139
0.356744718472697,0.3318369944430677,0.01566630332363236,0.08140769322145058
0.4053198815041342,0.36397252264695656,0.0186254559373255,0.06414912808137774
0.4605091479584124,0.39501140233239784,0.0221543695669397,0.05336217710631305
0.5232131090298364,0.42461130577528916,0.02634398389147917,0.04322141191535424
0.5944549824347669,0.4524423556588233,0.03133650455887268,0.036028286934559194
0.675397309514597,0.4782307379709949,0.03726927281196032,0.029599758887230296
0.7673609258538154,0.5018201559970361,0.0443105909890591,0.02530908417241391
0.8718465149800815,0.5232535063313888,0.052699353249123664,0.020832734114565103
0.9905590968645671,0.5428738860099847,0.06268218911264602,0.01724294633929162
1.1254358508315696,0.5614372770912253,0.07455788912105372,0.014218777852606616
1.2786777268980591,0.5802175388277275,0.08868904661518051,0.011674377545768506
1.4527853613842987,0.6010673393459944,0.10550581874234258,0.009504957481067949
1.6505998828747652,0.626379425407225,0.12553682755785492,0.007734946856499621
1.8753492744104643,0.6588809131286686,0.14940901734613643,0.006265900662719497
2.130701048461599,0.7012070210179111,0.17762146379472155,0.005118319025307568
2.420822094242961,0.7552591671922642,0.21164730494728437,0.0041168178443459396
2.7504466739743543,0.8214535596497488,0.2525217576591168,0.003303856937593269
3.124953677664736,0.8980618401182987,0.3012522236207536,0.002653642942197993
3.550454397081473,0.9808717428908089,0.3598763858367056,0.0021086900730192763
4.033892251220623,1.0634035189484177,0.4307794014302606,0.001651549663999739
4.583156090621484,1.1380565065583248,0.5171495956291441,0.0012931329230342207
5.207208929451393,1.198501538487271,0.6240039982499064,0.0009974189392225267
5.91623420604064,1.2424342804332227,0.7564250726194758,0.0007542851877974309
6.721801958580707,1.2723513634844679,0.924615881604425,0.000565953574263787
7.637057627679228,1.2936888205370494,1.103327507116431,0.0004204035343639722
8.676936566695368,1.3124754768224172,1.3122986003347201,0.0003306383102031026
9.858407760284809,1.3327004126815893,1.5607405038510644,0.00025579105261310236
11.200750728209842,1.354854792598637,1.8564931514763163,0.00019925013965080472
12.72587013299487,1.3777760458050317,2.2078558930646555,0.00015639363842531544
14.45865322526771,1.4010743632406424,2.5989430095798616,0.00012035328658956766
16.427375959662296,1.4256707483966018,3.0881404469425093,9.514974579116203E-05
18.664164408375882,1.4529686299202709,3.663490578476414,7.330580720003089E-05
21.205519001833704,1.4847028981338646,4.329116198992359,5.693136407182264E-05
24.092910151141346,1.5213008323259842,5.265369814103447,4.908818658876161E-05
27.3734549718295,1.5605873131083712,6.241146298105407,2.5241522379212248E-05
31.100686151825478,1.5982704780615933,7.665212436137851,7.313018768227495E-06
35.33542551021658,1.6291638101108887,9.941660953074798,4.603878915171891E-09
40.14677650173894,1.6482640658555994,0,0
45.613251862909266,1.651648539309285,,
51.82405480098948,1.637882882542101,,
58.88053463252163,1.6094997409158651,,
66.8978406248788,1.572929678813182,,
76.00680102860035,1.536392987580541,,
86.35605796299512,1.5068145675868934,,
98.11449299256871,1.4879523223053894,,
111.47398297539121,1.4802591820552706,,
126.6525311539754,1.4820485793827132,,
143.89782458252938,1.49234699447819,,
163.49127594150298,1.51530241602525,,
185.7526156946912,1.5646635075430382,,
211.0451095247746,1.6668371625152503,,
239.78148618661447,1.8584453608065132,,
272.43067251038207,2.1750638128207953,,
309.5254454578579,2.632608457898314,,
351.67112609992296,3.209355830971049,,
399.5554573855738,3.8388068048604254,,
453.9598268901783,4.416130045345511,,
515.7720176783681,4.815380949048688,,
586.0006953530946,4.916882919917924,,
665.7918676938581,4.635743747099767,,
756.4475854762908,3.943455114598848,,
859.4471896373824,2.8706115713998486,,
976.4714515024996,1.4731185914131402,,
1109.4299999999967,0,,
