Sample Name,Citricacid_grind20min_2nd,,
Measurement Date Time,2025/12/18 15:18:10,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.34408251492463826,,
Dx (50),20.95238237727873,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0.0005903409522921459,0.0026667704722456043,1
0.11308222859981587,0.08461210441654538,0.003277936829256543,0.4534035540902367
0.12847975911886883,0.16916401738906917,0.0039132482752340094,0.5513287720869972
0.14597385201576613,0.2519758696504691,0.004657107503481888,0.3045398350083019
0.1658499799381348,0.3323857096264019,0.00554121540491368,0.31294024683955846
0.18843248613120703,0.4099632646545063,0.006592693308370272,0.18917924711042355
0.21408987714579308,0.48408301485794003,0.007840520001823451,0.1769934530149925
0.24324083621327308,0.5542712677341415,0.009319543887892858,0.1177066009342384
0.27636105541524886,0.6201227326933991,0.011080120902706178,0.1008499222283087
0.3139909981367784,0.6813394185743218,0.013179261471081677,0.0721547551133861
0.356744718472697,0.7377377610794764,0.01566630332363236,0.06192238534021272
0.4053198815041342,0.7892672461068715,0.0186254559373255,0.04934148227467308
0.4605091479584124,0.8360288432622056,0.0221543695669397,0.042030114029622596
0.5232131090298364,0.8782967878384458,0.02634398389147917,0.03480795018861892
0.5944549824347669,0.9165428478233366,0.03133650455887268,0.029901219450887584
0.675397309514597,0.9514630184246586,0.03726927281196032,0.025195910968353042
0.7673609258538154,0.9840055164850998,0.0443105909890591,0.02241394295849994
0.8718465149800815,1.015397657487668,0.052699353249123664,0.01889209789325211
0.9905590968645671,1.047166795254185,0.06268218911264602,0.016251369782926645
1.1254358508315696,1.0811467208957382,0.07455788912105372,0.013776923188501773
1.2786777268980591,1.1194554312693334,0.08868904661518051,0.011748187013681228
1.4527853613842987,1.1644232856848085,0.10550581874234258,0.009862941236861036
1.6505998828747652,1.2184437829805308,0.12553682755785492,0.008324777486273824
1.8753492744104643,1.283715772945225,0.14940901734613643,0.006943372993733964
2.130701048461599,1.3618499323119941,0.17762146379472155,0.005868954652213618
2.420822094242961,1.4533252179543261,0.21164730494728437,0.004879984358634544
2.7504466739743543,1.5567991668847192,0.2525217576591168,0.004048909988280498
3.124953677664736,1.6683086326806986,0.3012522236207536,0.0033592393456182983
3.550454397081473,1.7805278088378955,0.3598763858367056,0.0027538679614436162
4.033892251220623,1.8826565519829863,0.4307794014302606,0.0022239011091414003
4.583156090621484,1.9621090277788582,0.5171495956291441,0.0017929814338230904
5.207208929451393,2.008817642249298,0.6240039982499064,0.0014216802851889595
5.91623420604064,2.0202391744870205,0.7564250726194758,0.001103305594163879
6.721801958580707,2.002614014712087,0.924615881604425,0.0008473592733841553
7.637057627679228,1.967493169647085,1.103327507116431,0.0006414991214787066
8.676936566695368,1.927401766066403,1.3122986003347201,0.0005118842457334728
9.858407760284809,1.8909481402512824,1.5607405038510644,0.00040081165717300926
11.200750728209842,1.8599616829209396,1.8564931514763163,0.00031530749998829244
12.72587013299487,1.8327776409674499,2.2078558930646555,0.0002497045489298267
14.45865322526771,1.8085880829179146,2.5989430095798616,0.00019398671786729674
16.427375959662296,1.7884109352607638,3.0881404469425093,0.0001548160636786657
18.664164408375882,1.7736805008282062,3.663490578476414,0.000121160844806603
21.205519001833704,1.766311738308353,4.329116198992359,9.533166811326404E-05
24.092910151141346,1.7661914078578533,5.265369814103447,8.26101287615305E-05
27.3734549718295,1.7692734188686359,6.241146298105407,4.317323279907714E-05
31.100686151825478,1.7687325396138291,7.665212436137851,1.2560828232761073E-05
35.33542551021658,1.7573006708391006,9.941660953074798,6.611734141496599E-09
40.14677650173894,1.7291609920840187,0,0
45.613251862909266,1.6810871613154035,,
51.82405480098948,1.6138793327908232,,
58.88053463252163,1.533722523196161,,
66.8978406248788,1.4514778284529228,,
76.00680102860035,1.3796217185380044,,
86.35605796299512,1.3283748969008684,,
98.11449299256871,1.3034567356629623,,
111.47398297539121,1.3050802268260497,,
126.6525311539754,1.3274467276985433,,
143.89782458252938,1.3604113185062374,,
163.49127594150298,1.393737078934663,,
185.7526156946912,1.422396306720401,,
211.0451095247746,1.4526202946057936,,
239.78148618661447,1.5029968017289548,,
272.43067251038207,1.5966261910790962,,
309.5254454578579,1.7460418037077687,,
351.67112609992296,1.9380292594009916,,
399.5554573855738,2.1311952124264906,,
453.9598268901783,2.2682313299735313,,
515.7720176783681,2.2940996781997427,,
586.0006953530946,2.1765098533795566,,
665.7918676938581,1.9158176182138362,,
756.4475854762908,1.5369263332019898,,
859.4471896373824,1.0714739781090117,,
976.4714515024996,0.5361629453745849,,
1109.4299999999967,0,,
