Material,Trial,Target_D50,Common_Measured_D50,Common_AE_Last_mV2,AE2P_Predicted_D50,AE2P_Predicted_Sigma,AE2P_Estimation_Error,AE2P_Estimation_Error_Percent,AE2P_Estimation_Error_PM,AE2P_Estimation_Error_MP,AE2P_z_pred_PM,AE2P_z_pred_MP,AE2P_Estimation_Error_Percent_PM,AE2P_Estimation_Error_Percent_MP,AE2P_Est_Error_In_GPR_Range
Citricacid,1st,20,21.272009219441358,29.12474450995076,20.693561799758367,1.9090964323271182,0.5784474196829912,2.7192890606418336,-0.5784474196829912,0.5784474196829912,-0.30299539084984045,0.30299539084984045,-2.7192890606418336,2.7192890606418336,True
Citricacid,2nd,20,14.075905155711363,23.687833196648775,20.07527610661811,0.8367875048452649,-5.999370950906746,-42.621564187454574,5.999370950906746,-5.999370950906746,7.169527408294802,-7.169527408294802,42.621564187454574,-42.621564187454574,False
Citricacid,3rd,20,16.87195439981289,14.641998937744976,19.111130311617003,1.7600765029360705,-2.2391759118041143,-13.271585844429184,2.2391759118041143,-2.2391759118041143,1.2722037411833147,-1.2722037411833147,13.271585844429184,-13.271585844429184,False
Citricacid,1st,50,46.069932009211314,127.34451766555364,44.51162709503288,5.815443527051732,1.5583049141784358,3.382477130347979,-1.5583049141784358,1.5583049141784358,-0.2679597707259403,0.2679597707259403,-3.382477130347979,3.382477130347979,True
Citricacid,2nd,50,31.445636319257012,79.4270416457337,39.88598214032958,10.738678612842033,-8.440345821072569,-26.841071795719333,8.440345821072569,-8.440345821072569,0.785976201110911,-0.785976201110911,26.841071795719333,-26.841071795719333,True
Citricacid,3rd,50,37.32884736783548,119.27304976565908,46.99911910100017,9.178097323457632,-9.67027173316469,-25.905626385606297,9.67027173316469,-9.67027173316469,1.053624884587914,-1.053624884587914,25.905626385606297,-25.905626385606297,False
Citricacid,1st,100,83.2364100795578,256.0187411882164,90.17745554266983,10.752595015935077,-6.941045463112033,-8.33895341771437,6.941045463112033,-6.941045463112033,0.6455228205680189,-0.6455228205680189,8.33895341771437,-8.33895341771437,True
Citricacid,2nd,100,100.21029022100892,269.377395329171,97.63472854349456,10.749413318398549,2.575561677514358,2.570156888912388,-2.575561677514358,2.575561677514358,-0.23960020898127174,0.23960020898127174,-2.570156888912388,2.570156888912388,True
Citricacid,3rd,100,111.58273301475734,339.6523691602516,97.23582349467985,10.766036188862248,14.346909520077489,12.857643053231222,-14.346909520077489,14.346909520077489,-1.3326083312742112,1.3326083312742112,-12.857643053231222,12.857643053231222,False
MSG,1st,50,43.63241767470192,401.0419676670302,53.19931514353496,14.420273678845266,-9.56689746883304,-21.926122774489137,9.56689746883304,-9.56689746883304,0.663433835022688,-0.663433835022688,21.926122774489137,-21.926122774489137,True
MSG,2nd,50,59.22383525724199,426.598558207979,52.311045607986316,24.939527904334998,6.9127896492556715,11.672310006992268,-6.9127896492556715,6.9127896492556715,-0.2771820571653278,0.2771820571653278,-11.672310006992268,11.672310006992268,True
MSG,3rd,50,54.390941050657226,426.2964094936548,52.01567026225785,29.233327339244234,2.3752707883993764,4.3670338157730315,-2.3752707883993764,2.3752707883993764,-0.0812521530934557,0.0812521530934557,-4.3670338157730315,4.3670338157730315,True
MSG,1st,100,146.6577888243003,546.3795173187598,91.87641404392386,29.23337057590536,54.78137478037644,37.35319836712246,-54.78137478037644,54.78137478037644,-1.8739328959052082,1.8739328959052082,-37.35319836712246,37.35319836712246,False
MSG,2nd,100,136.44270542061878,689.2517558575216,94.17579365738052,29.23337057590536,42.266911763238255,30.97777314876594,-42.266911763238255,42.266911763238255,-1.4458446265541258,1.4458446265541258,-30.97777314876594,30.97777314876594,False
MSG,3rd,100,93.1045625106424,680.8959686935233,91.36029902739679,29.23337057590536,1.7442634832456037,1.8734457648584346,-1.7442634832456037,1.7442634832456037,-0.05966686183916319,0.05966686183916319,-1.8734457648584346,1.8734457648584346,True
MSG,1st,200,223.93992350836493,877.1062792545425,165.22744191219158,29.23337057590536,58.71248159617335,26.217960905028274,-58.71248159617335,58.71248159617335,-2.0084061618459135,2.0084061618459135,-26.217960905028274,26.217960905028274,False
MSG,2nd,200,328.5137707652646,1299.1680252932726,203.46312531440694,29.23337057590536,125.05064545085767,38.06557185093195,-125.05064545085767,125.05064545085767,-4.277667712868065,4.277667712868065,-38.06557185093195,38.06557185093195,False
MSG,3rd,200,248.87400775190187,1183.435131962044,205.60396176719155,29.23337057590536,43.27004598471032,17.38632586647838,-43.27004598471032,43.27004598471032,-1.480159322455079,1.480159322455079,-17.38632586647838,17.38632586647838,False
NaCl,1st,150,133.36230240096396,26.603903026223186,141.96835137694643,13.932011765972174,-8.606048975982475,-6.453134672276225,8.606048975982475,-8.606048975982475,0.6177176075175347,-0.6177176075175347,6.453134672276225,-6.453134672276225,True
NaCl,2nd,150,123.80627634317088,38.585120094452925,138.30407894138295,13.932011770368039,-14.497802598212076,-11.710070786739859,14.497802598212076,-14.497802598212076,1.0406108491127903,-1.0406108491127903,11.710070786739859,-11.710070786739859,False
NaCl,3rd,150,139.81226652875748,39.77306708237987,138.2261795845673,13.932011770368039,1.5860869441901855,1.1344404776271537,-1.5860869441901855,1.5860869441901855,-0.11384478927613526,0.11384478927613526,-1.1344404776271537,1.1344404776271537,True
NaCl,1st,200,196.06905313065772,79.23163178626496,197.36125426325364,13.932011770368039,-1.2922011325959204,-0.6590540995446208,1.2922011325959204,-1.2922011325959204,0.09275050537527536,-0.09275050537527536,0.6590540995446208,-0.6590540995446208,True
