Material,Trial,Target_Size,Common_Measured_Value,AE2P_Predicted_Value,AE2P_Measured_Error,AE2P_m,AE2P_p,AE2P_p_ge_threshold,AE2P_Predicted_95PI
Citricacid,1st,20,18.72648799579734,18.853939375068315,-0.12745137927097616,-0.04139130122003713,0.4834919737383448,True,6.035198121536348
Citricacid,2nd,20,12.405346501537693,18.340051263190226,-5.934704761652533,-1.9398616046317878,0.026198255687395422,True,5.996315049004169
Citricacid,3rd,20,14.870477143365228,17.46517047017104,-2.5946933268058103,-0.8593586933757491,0.1950713257988218,True,5.91790012685162
Citricacid,1st,50,40.57337737252892,46.87692860619633,-6.303551233667413,-1.8924609381686168,0.029214796705537893,True,6.5285154207432905
Citricacid,2nd,50,27.695512622246053,40.9368525056235,-13.241339883377446,-3.6511906158509446,0.00013051370556543818,False,7.1080994946551685
Citricacid,3rd,50,32.92123467509648,47.52052658841653,-14.599291913320052,-4.423845246606648,4.847974282629064e-06,False,6.468266983809257
Citricacid,1st,100,73.3813427010298,75.2142682763277,-1.8329255752979066,-0.4058440960341793,0.34242857813337313,True,8.852005394902532
Citricacid,2nd,100,88.30288007439384,86.33957711477355,1.963302959620293,0.4413731079512113,0.6705285462886903,True,8.718414718825901
Citricacid,3rd,100,98.2165381354048,85.83196711106692,12.384571024337887,2.729454172785926,0.9968280367092781,False,8.8932649793956
MSG,1st,50,46.8042108307719,37.95574332164276,8.848467509129144,0.8001939879598482,0.7882007937291907,True,21.673489902255238
MSG,2nd,50,48.451775875223916,44.37311865390943,4.0786572213144865,0.3721313596362839,0.6451024756434343,True,21.48211363210503
MSG,3rd,50,44.14651798302253,40.61929759410741,3.5272203889151186,0.32024920705906895,0.6256102880388629,True,21.58741320785999
MSG,1st,100,113.88899117348328,91.94494021565629,21.94405095782699,2.0320263252654445,0.9789245045200032,False,21.16623162926909
MSG,2nd,100,110.03571976953762,91.62844526925947,18.40727450027815,1.7046299460959229,0.9558682686780544,True,21.164862264196653
MSG,3rd,100,109.19556337667655,85.99432711898027,23.20123625769628,2.15066308059826,0.9842485987877189,False,21.14437332156875
MSG,1st,200,158.31094078821812,150.0310203149752,8.279920473242925,0.7517443423761858,0.7738975906857656,True,21.58798305852103
MSG,2nd,200,179.22424180415769,152.47185131736265,26.752390486795036,2.426168168828912,0.9923704011847702,False,21.6121396809142
MSG,3rd,200,166.54391639510638,170.3057309678075,-3.7618145727011267,-0.33780102200144835,0.3677565698349605,True,21.82692201109621
NaCl,1st,150,117.61195009873026,125.03811621270867,-7.426166113978411,-0.612926534930518,0.269962458519741,True,23.747194408947703
NaCl,2nd,150,109.09531212573215,121.24501068323073,-12.149698557498581,-1.0098328423070915,0.15628769121028735,True,23.581535651279136
NaCl,3rd,150,123.2278104031343,121.16584638530264,2.061964017831656,0.17140539357754295,0.5680474929601149,True,23.57830982209853
NaCl,1st,200,172.9169951198777,180.72854241815259,-7.811547298274888,-0.6214311693757063,0.2671579845816607,True,24.63769675409095
NaCl,2nd,200,180.16286456662922,181.03635900849167,-0.873494441862448,-0.06951460697957691,0.47229000304549906,True,24.628623830864647
NaCl,3rd,200,166.9756932521096,178.6403094530525,-11.664616200942902,-0.9257142173565359,0.17729725865479745,True,24.697306496096097
NaCl,1st,250,197.22986397801174,205.9208775653079,-8.691013587296169,-0.6895479216248196,0.2452392635947503,True,24.70370237787307
NaCl,2nd,250,222.29949749081902,213.9149084976376,8.38458899318141,0.6720481831976031,0.7492234887699414,True,24.45329789962919
NaCl,3rd,250,209.75222302991318,211.4041184096306,-1.6518953797174163,-0.13192033388691723,0.4475236525371176,True,24.54295595568702
