Sample Name,MSG_grind7min_2nd,,
Measurement Date Time,2025/12/19 14:36:41,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.3827312595224943,,
Dx (50),181.0902761659452,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.7243996734090916
0.12847975911886883,0.0004644243437538235,0.0039132482752340094,0.7345112312888702
0.14597385201576613,0.06184663954977954,0.004657107503481888,0.5669989975809505
0.1658499799381348,0.08328214059644934,0.00554121540491368,0.5277635146926611
0.18843248613120703,0.10428891213489008,0.006592693308370272,0.40637705475917874
0.21408987714579308,0.12534089592589356,0.007840520001823451,0.34487261719595824
0.24324083621327308,0.14636169041415786,0.009319543887892858,0.2607629846765575
0.27636105541524886,0.16723125093544045,0.011080120902706178,0.20867351142551116
0.3139909981367784,0.18781276318841267,0.013179261471081677,0.15410857341169446
0.356744718472697,0.2079334785439243,0.01566630332363236,0.12174055136766158
0.4053198815041342,0.22739381573651163,0.0186254559373255,0.09253456723216556
0.4605091479584124,0.245972938286648,0.0221543695669397,0.07463470403742288
0.5232131090298364,0.2634416201716614,0.02634398389147917,0.05910135679777261
0.5944549824347669,0.2795819357415896,0.03133650455887268,0.04796712370868678
0.675397309514597,0.29421696720392765,0.03726927281196032,0.03838413811745619
0.7673609258538154,0.3072529775698296,0.0443105909890591,0.03177335004463747
0.8718465149800815,0.31873626595292004,0.052699353249123664,0.025483307514044113
0.9905590968645671,0.32892509973294093,0.06268218911264602,0.020472378089545745
1.1254358508315696,0.3383731765977416,0.07455788912105372,0.01643881271851753
1.2786777268980591,0.34801382679729365,0.08868904661518051,0.013113358873220632
1.4527853613842987,0.35922302594524513,0.10550581874234258,0.01040072594648258
1.6505998828747652,0.37382540634731676,0.12553682755785492,0.008225555542399779
1.8753492744104643,0.39399596927225833,0.14940901734613643,0.0064904901873294625
2.130701048461599,0.42201192606935045,0.17762146379472155,0.00516378575438285
2.420822094242961,0.4598381882313278,0.21164730494728437,0.004051771701332991
2.7504466739743543,0.5085920073661887,0.2525217576591168,0.0031629920186166897
3.124953677664736,0.5680062053451822,0.3012522236207536,0.002471142238748345
3.550454397081473,0.6360554580543889,0.3598763858367056,0.0019081149795843108
4.033892251220623,0.7089324371056591,0.4307794014302606,0.001452866869148507
4.583156090621484,0.7816395449478257,0.5171495956291441,0.0011051507335580468
5.207208929451393,0.849448386481825,0.6240039982499064,0.0008278126499513536
5.91623420604064,0.9097527097010847,0.7564250726194758,0.0006088825367550235
6.721801958580707,0.9627490094754947,0.924615881604425,0.0004455955522315602
7.637057627679228,1.0104118195924379,1.103327507116431,0.00032595099429025954
8.676936566695368,1.055293892341398,1.3122986003347201,0.0002530807444491529
9.858407760284809,1.099124729791951,1.5607405038510644,0.00019388874418888776
11.200750728209842,1.1419494151307976,1.8564931514763163,0.00015055516531789303
12.72587013299487,1.1832019131512368,2.2078558930646555,0.00011790684886080696
14.45865322526771,1.2232131485603084,2.5989430095798616,9.05043400996538E-05
16.427375959662296,1.2636568378951551,3.0881404469425093,7.186348113569047E-05
18.664164408375882,1.3070957874601028,3.663490578476414,5.534288274132304E-05
21.205519001833704,1.3567586088445793,4.329116198992359,4.314271494972056E-05
24.092910151141346,1.4151168063286086,5.265369814103447,3.7219519869990376E-05
27.3734549718295,1.482453378759093,6.241146298105407,1.915609232268577E-05
31.100686151825478,1.5564841972059718,7.665212436137851,5.542473925974399E-06
35.33542551021658,1.6326031520378486,9.941660953074798,5.822616417602046E-09
40.14677650173894,1.7043394118383617,0,0
45.613251862909266,1.7641322672733253,,
51.82405480098948,1.8049827940008,,
58.88053463252163,1.822658990731739,,
66.8978406248788,1.817235896800554,,
76.00680102860035,1.7935318977897339,,
86.35605796299512,1.761061170311855,,
98.11449299256871,1.73434325625702,,
111.47398297539121,1.7327619527632265,,
126.6525311539754,1.7786474129440109,,
143.89782458252938,1.8935126675314677,,
163.49127594150298,2.093342301917552,,
185.7526156946912,2.384010325811758,,
211.0451095247746,2.7585836121685148,,
239.78148618661447,3.1964303560534617,,
272.43067251038207,3.6631106913236096,,
309.5254454578579,4.111325693036164,,
351.67112609992296,4.485911241639144,,
399.5554573855738,4.7340486681554665,,
453.9598268901783,4.8149460124732855,,
515.7720176783681,4.7027646845347135,,
586.0006953530946,4.3851408134506045,,
665.7918676938581,3.8593807680980774,,
756.4475854762908,3.131396551494433,,
859.4471896373824,2.215784095572488,,
976.4714515024996,1.1219291120345645,,
1109.4299999999967,0,,
