direction,reagent,method,r_squared_total,average_variance,mpiw,nmpiw,monotone_mean_violations,constraint_direction,bernstein_degree,residual_abs_mean,residual_gp_kernel_optimized,model_path
particle2ae,Citricacid,monotone_hard_gp_bernstein,1.0,3.2510138236743625e-05,0.022350923654316773,7.016212850041228e-05,0,increasing,6,26.575365176373285,40.7**2 * RBF(length_scale=1.16) + WhiteKernel(noise_level=1.63e-05),model_comparison/monotone_hard_gp_bernstein/monotone_hard_gp_bernstein_model_particle2ae_Citricacid_exp2.joblib
ae2particle,Citricacid,monotone_hard_gp_bernstein,0.9999944870723083,0.8707222562425991,3.655344998942335,0.05289602947774417,0,increasing,6,5.41338587999863,9.23**2 * RBF(length_scale=5.72) + WhiteKernel(noise_level=0.449),model_comparison/monotone_hard_gp_bernstein/monotone_hard_gp_bernstein_model_ae2particle_Citricacid_exp2.joblib
particle2ae,MSG,monotone_hard_gp_bernstein,1.0,0.00021957698299956974,0.05808707043365665,8.164874694878951e-05,0,increasing,6,74.27019075595862,109**2 * RBF(length_scale=9.75e-05) + WhiteKernel(noise_level=0.00011),model_comparison/monotone_hard_gp_bernstein/monotone_hard_gp_bernstein_model_particle2ae_MSG_exp2.joblib
ae2particle,MSG,monotone_hard_gp_bernstein,0.9993534550438697,26.719323749864834,20.225881468680072,0.2217000625241582,0,increasing,6,8.380189119312938,11.2**2 * RBF(length_scale=37.6) + WhiteKernel(noise_level=16.1),model_comparison/monotone_hard_gp_bernstein/monotone_hard_gp_bernstein_model_ae2particle_MSG_exp2.joblib
particle2ae,NaCl,monotone_hard_gp_bernstein,0.9884641533670346,109.52866248438096,41.02512936237973,0.7086506299203287,0,increasing,6,8.53315373027586,8.24**2 * RBF(length_scale=1e-05) + WhiteKernel(noise_level=74.1),model_comparison/monotone_hard_gp_bernstein/monotone_hard_gp_bernstein_model_particle2ae_NaCl_exp2.joblib
ae2particle,NaCl,monotone_hard_gp_bernstein,0.9645346784868623,163.08495052216486,50.06024953696925,0.7448948574370899,0,increasing,6,10.36316798391218,1.21**2 * RBF(length_scale=0.0268) + WhiteKernel(noise_level=162),model_comparison/monotone_hard_gp_bernstein/monotone_hard_gp_bernstein_model_ae2particle_NaCl_exp2.joblib
