Material,Trial,Target_D50,Common_Measured_Mean,P2AE_Total_Deviation,P2AE_Total_Deviation_Percent,AE2P_GPR_Prediction,AE2P_Estimation_Error,AE2P_Estimation_Error_Percent,AE2P_Est_Error_In_GPR_Range,num_AE2P_mu_GPR,num_AE2P_sigma_GPR,num_Common_mu_trial,num_Common_sigma_trial,Common_Measured_D50,Common_AE_Last_mV2,P2AE_AE_Threshold,P2AE_Is_ExpectedCross,AE2P_Predicted_D50,AE2P_Predicted_Sigma
Citricacid,1st,20,21.272009219441358,-1.2720092194413581,-6.360046097206791,20.34 ± 8.21,0.9355372179236596,4.397972980702894,True,20.3364720015177,8.205157554494212,21.272009219441358,,21.272009219441358,29.12474450995075,38.760577496463526,False,20.3364720015177,8.205157554494212
Citricacid,2nd,20,14.075905155711363,5.924094844288637,29.62047422144319,19.72 ± 8.22,-5.644117295379976,-40.09772183702054,True,19.72002245109134,8.2159462961478,14.075905155711363,,14.075905155711363,23.687833196648782,38.760577496463526,True,19.72002245109134,8.2159462961478
Citricacid,3rd,20,16.87195439981289,3.128045600187111,15.640228000935554,18.77 ± 8.24,-1.8949871354542402,-11.231580471052338,True,18.76694153526713,8.236681510885086,16.87195439981289,,16.87195439981289,14.641998937744976,38.760577496463526,False,18.76694153526713,8.236681510885086
Citricacid,1st,50,46.069932009211314,3.930067990788686,7.860135981577372,46.09 ± 8.46,-0.02499355064367137,-0.05425132956279186,True,46.094925559854985,8.459651364561681,46.069932009211314,,46.069932009211314,127.34451766555364,151.751865336049,True,46.094925559854985,8.459651364561681
Citricacid,2nd,50,31.445636319257012,18.554363680742988,37.108727361485975,40.95 ± 8.39,-9.507801795520784,-30.235679440515234,False,40.953438114777796,8.387061424468898,31.445636319257012,,31.445636319257012,79.4270416457337,151.751865336049,False,40.953438114777796,8.387061424468898
Citricacid,3rd,50,37.32884736783548,12.671152632164521,25.342305264329042,48.83 ± 8.49,-11.505960698394055,-30.82324129918944,False,48.834808066229535,8.49218383829865,37.32884736783548,,37.32884736783548,119.27304976565908,151.751865336049,True,48.834808066229535,8.49218383829865
Citricacid,1st,100,83.2364100795578,16.7635899204422,16.7635899204422,88.73 ± 8.48,-5.492735284330578,-6.598957450328038,True,88.72914536388838,8.481125982320776,83.2364100795578,,83.2364100795578,256.01874118821644,419.7738627732166,False,88.72914536388838,8.481125982320776
Citricacid,2nd,100,100.21029022100892,-0.21029022100891837,-0.21029022100891837,95.25 ± 8.54,4.963471018391871,4.9530552276070425,True,95.24681920261705,8.54490911771322,100.21029022100892,,100.21029022100892,269.377395329171,419.7738627732166,False,95.24681920261705,8.54490911771322
Citricacid,3rd,100,111.58273301475734,-11.582733014757338,-11.582733014757338,94.89 ± 8.54,16.696818447249797,14.963622055252548,False,94.88591456750754,8.536384138899223,111.58273301475734,,111.58273301475734,339.6523691602516,419.7738627732166,False,94.88591456750754,8.536384138899223
MSG,1st,50,53.10830157465986,-3.108301574659862,-6.216603149319724,43.06 ± 12.52,10.052596819415214,18.928484853320406,True,43.05570475524465,12.51952684905378,53.10830157465986,,53.10830157465986,294.2277249380024,377.5492604393504,True,43.05570475524465,12.51952684905378
