Material,Target_D50,Common_Measured_Mean,P2AE_Total_Deviation,P2AE_Total_Deviation_Percent,AE2P_GPR_Prediction,AE2P_Estimation_Error,AE2P_Estimation_Error_Percent,AE2P_Est_Error_In_GPR_Range,num_AE2P_mu_GPR,num_AE2P_sigma_GPR,num_Common_mu_trial,num_Common_sigma_trial
Citricacid,20,17.41 ± 3.63,2.5933770750114635,12.966885375057316,23.50 ± N/A,-6.088642595417994,-38.67818640526725,,23.49526552040653,,17.406622924988536,3.6277239762512203
Citricacid,50,38.28 ± 7.36,11.718528101232065,23.43705620246413,43.80 ± N/A,-5.517437546686274,-16.45474035032588,,43.79890944545421,,38.28147189876794,7.358541039465956
Citricacid,100,98.34 ± 14.27,1.656855561558648,1.656855561558648,95.02 ± N/A,3.327141911493271,2.3629488414764133,,95.01600252694807,,98.34314443844134,14.26510361044303
MSG,50,52.71 ± 2.45,-2.708295915423084,-5.416591830846168,N/A,,,,,,52.708295915423086,2.4538340010032864
MSG,100,126.03 ± 2.83,-26.033338522353784,-26.033338522353784,N/A,,,,,,126.03333852235379,2.831206876206915
MSG,200,190.64 ± 11.93,9.362960596291364,4.681480298145682,N/A,,,,,,190.63703940370863,11.93240241992646
NaCl,150,132.33 ± 8.05,17.673051575702562,11.78203438380171,N/A,,,,,,132.32694842429746,8.053067666921905
NaCl,200,196.65 ± 7.46,3.347306657941582,1.673653328970791,N/A,,,,,,196.65269334205843,7.460159937319247
NaCl,250,237.98 ± 14.22,12.024109208801425,4.809643683520569,N/A,,,,,,237.97589079119857,14.222939027578484
