Sample Name,NaCl_grind_for200um,,
Measurement Date Time,2025/12/17 16:52:26,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,No,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.3337116388072665,,
Dx (50),196.06905313065772,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.8881511142279525
0.12847975911886883,0,0.0039132482752340094,0.8773519135274727
0.14597385201576613,0,0.004657107503481888,0.8091282450275061
0.1658499799381348,0,0.00554121540491368,0.7599859906490033
0.18843248613120703,0,0.006592693308370272,0.7000100144061795
0.21408987714579308,0,0.007840520001823451,0.6369768222271879
0.24324083621327308,0,0.009319543887892858,0.5565730527681367
0.27636105541524886,0,0.011080120902706178,0.46965266409121076
0.3139909981367784,0,0.013179261471081677,0.37097633913546485
0.356744718472697,0,0.01566630332363236,0.28834007068511924
0.4053198815041342,0,0.0186254559373255,0.2069148760807702
0.4605091479584124,0,0.0221543695669397,0.15225710633579262
0.5232131090298364,0,0.02634398389147917,0.10951893963349732
0.5944549824347669,0,0.03133650455887268,0.08081583983760575
0.675397309514597,0,0.03726927281196032,0.05870176318980157
0.7673609258538154,0,0.0443105909890591,0.04452734597131785
0.8718465149800815,0,0.052699353249123664,0.032903759812392
0.9905590968645671,0,0.06268218911264602,0.024383768103123076
1.1254358508315696,0,0.07455788912105372,0.018144446505845655
1.2786777268980591,0,0.08868904661518051,0.013373898311253154
1.4527853613842987,0.0008260756245487337,0.10550581874234258,0.009849209909941214
1.6505998828747652,0.06114922170047648,0.12553682755785492,0.007220475540589647
1.8753492744104643,0.07554997036187358,0.14940901734613643,0.005270736019229027
2.130701048461599,0.08703807018457774,0.17762146379472155,0.003874670607186969
2.420822094242961,0.09936037287024418,0.21164730494728437,0.0028068197024103004
2.7504466739743543,0.11461039885252222,0.2525217576591168,0.002019602468717952
3.124953677664736,0.13281098569017707,0.3012522236207536,0.0014565578019700874
3.550454397081473,0.15474918284873085,0.3598763858367056,0.0010344843602290953
4.033892251220623,0.1814184242376422,0.4307794014302606,0.0007279462577104161
4.583156090621484,0.21308310557251964,0.5171495956291441,0.0005117054222018995
5.207208929451393,0.2495021980080372,0.6240039982499064,0.0003560270615805087
5.91623420604064,0.29023319202542175,0.7564250726194758,0.00024342462088841767
6.721801958580707,0.3343976716774033,0.924615881604425,0.00016653862883753636
7.637057627679228,0.3810944329354575,1.103327507116431,0.00011529852714721391
8.676936566695368,0.4295835183261314,1.3122986003347201,8.547744781001675E-05
9.858407760284809,0.47965380969916094,1.5607405038510644,6.32555568871164E-05
11.200750728209842,0.5319576290370724,1.8564931514763163,4.773682527996378E-05
12.72587013299487,0.5883201960618387,2.2078558930646555,3.6866625677232114E-05
14.45865322526771,0.651833578135582,2.5989430095798616,2.8920248530297715E-05
16.427375959662296,0.7264700440885967,3.0881404469425093,2.2537155434939213E-05
18.664164408375882,0.8162586132902856,3.663490578476414,1.8225674095126556E-05
21.205519001833704,0.9240024168142194,4.329116198992359,1.4146828969268683E-05
24.092910151141346,1.0497802217281595,5.265369814103447,1.3096792506023642E-05
27.3734549718295,1.1897732202748212,6.241146298105407,6.812429426881857E-06
31.100686151825478,1.3360024363853533,7.665212436137851,2.0597118732706572E-06
35.33542551021658,1.4773935101632105,9.941660953074798,3.360862201465919E-09
40.14677650173894,1.6024366990840342,0,0
45.613251862909266,1.7032338705451338,,
51.82405480098948,1.780317703800872,,
58.88053463252163,1.8471048704434203,,
66.8978406248788,1.9322421549389865,,
76.00680102860035,2.0780462013189727,,
86.35605796299512,2.3342228212935012,,
98.11449299256871,2.7469112800087956,,
111.47398297539121,3.344286427049312,,
126.6525311539754,4.122745558550175,,
143.89782458252938,5.035867809884458,,
163.49127594150298,5.991340821738227,,
185.7526156946912,6.859491561594361,,
211.0451095247746,7.494465801374055,,
239.78148618661447,7.764659351889705,,
272.43067251038207,7.585162160418761,,
309.5254454578579,6.942718724399398,,
351.67112609992296,5.906202787952694,,
399.5554573855738,4.618116319357327,,
453.9598268901783,3.2640315562370006,,
515.7720176783681,1.9088661083126937,,
586.0006953530946,0.5587623387817899,,
665.7918676938581,0.001914574432248628,,
756.4475854762908,0,,
859.4471896373824,0,,
976.4714515024996,0,,
1109.4299999999967,0,,
