Sample Name,NaCl_grind25min,,
Measurement Date Time,2025/12/10 11:46:05,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,No,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.2207628248179128,,
Dx (50),96.31365359238573,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,0.7959880401155747
0.11308222859981587,0,0.003277936829256543,0.8622460357570977
0.12847975911886883,0,0.0039132482752340094,1
0.14597385201576613,0,0.004657107503481888,0.9327103118059858
0.1658499799381348,0,0.00554121540491368,0.9614543725839327
0.18843248613120703,0,0.006592693308370272,0.8752173259644036
0.21408987714579308,0,0.007840520001823451,0.8356100295836802
0.24324083621327308,0,0.009319543887892858,0.7444119977444883
0.27636105541524886,0,0.011080120902706178,0.6685122174543214
0.3139909981367784,0,0.013179261471081677,0.5609464636492413
0.356744718472697,0,0.01566630332363236,0.4767549562787255
0.4053198815041342,0,0.0186254559373255,0.3786829243584751
0.4605091479584124,0,0.0221543695669397,0.3075138798304772
0.5232131090298364,0,0.02634398389147917,0.24421176937804312
0.5944549824347669,0,0.03133650455887268,0.1958204608912539
0.675397309514597,0,0.03726927281196032,0.15408007363204582
0.7673609258538154,0.0007356432302697964,0.0443105909890591,0.12473055855100518
0.8718465149800815,0.06428459668660043,0.052699353249123664,0.09797892977331239
0.9905590968645671,0.09238839735347598,0.06268218911264602,0.07696514060852461
1.1254358508315696,0.12176975660299633,0.07455788912105372,0.060327600786883706
1.2786777268980591,0.15269114734526767,0.08868904661518051,0.046747605624911176
1.4527853613842987,0.18510612109654923,0.10550581874234258,0.035865389714046465
1.6505998828747652,0.21925841380248934,0.12553682755785492,0.0274287920965128
1.8753492744104643,0.25553109138636065,0.14940901734613643,0.02076124439772635
2.130701048461599,0.2949929653069061,0.17762146379472155,0.015828358675390324
2.420822094242961,0.3393371229938742,0.21164730494728437,0.01186651679695652
2.7504466739743543,0.389767537924949,0.2525217576591168,0.008904229986390852
3.124953677664736,0.44677393522144815,0.3012522236207536,0.006672912577595632
3.550454397081473,0.5103457603402473,0.3598763858367056,0.004952219224633717
4.033892251220623,0.5797942452291309,0.4307794014302606,0.0036262215658615137
4.583156090621484,0.6542008786498026,0.5171495956291441,0.0026558252211921025
5.207208929451393,0.7323081955430899,0.6240039982499064,0.0019189173439667587
5.91623420604064,0.8132931149698166,0.7564250726194758,0.001358686817418595
6.721801958580707,0.8967523805762134,0.924615881604425,0.0009558888654396154
7.637057627679228,0.9829630278102917,1.103327507116431,0.0006750213617591992
8.676936566695368,1.0728623324254372,1.3122986003347201,0.0005057926682341676
9.858407760284809,1.167998712125062,1.5607405038510644,0.0003742532352527013
11.200750728209842,1.27048386134215,1.8564931514763163,0.00028168140322548115
12.72587013299487,1.3829308376949712,2.2078558930646555,0.0002148071694835489
14.45865322526771,1.5081818079742284,2.5989430095798616,0.0001619434397721487
16.427375959662296,1.6486094875845634,3.0881404469425093,0.0001260088659582547
18.664164408375882,1.8051660198216908,3.663490578476414,9.699468447943331E-05
21.205519001833704,1.9763982202874004,4.329116198992359,7.50180685580839E-05
24.092910151141346,2.1575949781889,5.265369814103447,6.605989500778732E-05
27.3734549718295,2.3407490769664854,6.241146298105407,3.4015207722150494E-05
31.100686151825478,2.515632796770099,7.665212436137851,9.905540207775776E-06
35.33542551021658,2.671762315952247,9.941660953074798,1.0879872725993391E-08
40.14677650173894,2.800865949543642,0,0
45.613251862909266,2.8993265540272404,,
51.82405480098948,2.97028137424914,,
58.88053463252163,3.024782267361367,,
66.8978406248788,3.08113989708756,,
76.00680102860035,3.1618258925222733,,
86.35605796299512,3.2882995660988286,,
98.11449299256871,3.4749116755662257,,
111.47398297539121,3.7229385138874918,,
126.6525311539754,4.016270975687014,,
143.89782458252938,4.3198605028384875,,
163.49127594150298,4.582463100049438,,
185.7526156946912,4.744109551191457,,
211.0451095247746,4.748488315175379,,
239.78148618661447,4.557272567275959,,
272.43067251038207,4.161573508902791,,
309.5254454578579,3.5864862849852415,,
351.67112609992296,2.888428418339501,,
399.5554573855738,2.1460849683549554,,
453.9598268901783,1.4454069607528766,,
515.7720176783681,0.8567339264905769,,
586.0006953530946,0.2707639245202529,,
665.7918676938581,0.0010205258892881375,,
756.4475854762908,0,,
859.4471896373824,0,,
976.4714515024996,0,,
1109.4299999999967,0,,
