Sample Name,NaCl_grind50min_spr1,,
Measurement Date Time,2025/12/10 13:04:07,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,No,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,1.5424,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,2,,
Feed Rate Demand,0,,
Weighted Residual,0.2301273893532277,,
Dx (50),75.36603449859585,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.728843900345417
0.12847975911886883,0,0.0039132482752340094,0.8593472911336352
0.14597385201576613,0,0.004657107503481888,0.7490045547361357
0.1658499799381348,0,0.00554121540491368,0.7224647603626453
0.18843248613120703,0,0.006592693308370272,0.6540181897153607
0.21408987714579308,0,0.007840520001823451,0.6561925383766274
0.24324083621327308,0,0.009319543887892858,0.5952816768394477
0.27636105541524886,0,0.011080120902706178,0.5496193368488407
0.3139909981367784,0,0.013179261471081677,0.4849241395599713
0.356744718472697,0,0.01566630332363236,0.4314467330871936
0.4053198815041342,0,0.0186254559373255,0.36159102655860437
0.4605091479584124,0,0.0221543695669397,0.3067478400909179
0.5232131090298364,0,0.02634398389147917,0.24982547547742534
0.5944549824347669,0,0.03133650455887268,0.20519954922713482
0.675397309514597,0,0.03726927281196032,0.16193932809101264
0.7673609258538154,0,0.0443105909890591,0.13157906598823374
0.8718465149800815,0.0008935268717547965,0.052699353249123664,0.1025934502886094
0.9905590968645671,0.0750836144921787,0.06268218911264602,0.07971895674576328
1.1254358508315696,0.10371325447518678,0.07455788912105372,0.06170898327051223
1.2786777268980591,0.13301401439557015,0.08868904661518051,0.04727408035199808
1.4527853613842987,0.16400401287031008,0.10550581874234258,0.03599900707183877
1.6505998828747652,0.1969163922651962,0.12553682755785492,0.02734920386241452
1.8753492744104643,0.23221800916726487,0.14940901734613643,0.020727090454859855
2.130701048461599,0.27122678162411373,0.17762146379472155,0.01570294850507952
2.420822094242961,0.31611581026462776,0.21164730494728437,0.011749476409064341
2.7504466739743543,0.3686840599062027,0.2525217576591168,0.008727622317856731
3.124953677664736,0.43004255603300545,0.3012522236207536,0.006482790481299064
3.550454397081473,0.500883944473792,0.3598763858367056,0.004740672270723921
4.033892251220623,0.5812339590038627,0.4307794014302606,0.003421399420954457
4.583156090621484,0.6706963436549498,0.5171495956291441,0.002455201152300836
5.207208929451393,0.7682404119566915,0.6240039982499064,0.0017404197354826782
5.91623420604064,0.8727950474818398,0.7564250726194758,0.0012079596730693596
6.721801958580707,0.983094446759897,0.924615881604425,0.0008339676084559805
7.637057627679228,1.0979593489271577,1.103327507116431,0.0005794681194124316
8.676936566695368,1.2163491192496636,1.3122986003347201,0.00042931560112549096
9.858407760284809,1.3374933989542352,1.5607405038510644,0.0003151954410696959
11.200750728209842,1.461178297817007,1.8564931514763163,0.00023545875478195137
12.72587013299487,1.5881733403495115,2.2078558930646555,0.0001789192342063532
14.45865322526771,1.7205232604547493,2.5989430095798616,0.00013783792743425936
16.427375959662296,1.861432849984297,3.0881404469425093,0.00010616435443923856
18.664164408375882,2.0147460435725684,3.663490578476414,8.334839966761715E-05
21.205519001833704,2.184051485367391,4.329116198992359,6.409000766892928E-05
24.092910151141346,2.371480711549072,5.265369814103447,5.792035880428198E-05
27.3734549718295,2.5767576793698126,6.241146298105407,2.9762228241582112E-05
31.100686151825478,2.796821912031543,7.665212436137851,8.780322868773613E-06
35.33542551021658,3.0260123764566735,9.941660953074798,6.1484986678231945E-09
40.14677650173894,3.2566968191204673,0,0
45.613251862909266,3.480339414830297,,
51.82405480098948,3.689058710222106,,
58.88053463252163,3.877337439475312,,
66.8978406248788,4.042852717191309,,
76.00680102860035,4.1856024158456435,,
86.35605796299512,4.305594500663339,,
98.11449299256871,4.399979667275524,,
111.47398297539121,4.46062704472245,,
126.6525311539754,4.473210543855558,,
143.89782458252938,4.418296699332544,,
163.49127594150298,4.274835188575395,,
185.7526156946912,4.025798060566316,,
211.0451095247746,3.6651334012410786,,
239.78148618661447,3.2033715222103325,,
272.43067251038207,2.668352221235253,,
309.5254454578579,2.100013724511115,,
351.67112609992296,1.5430000587475377,,
399.5554573855738,1.040092729949933,,
453.9598268901783,0.6273604881981498,,
515.7720176783681,0.32113892383000575,,
586.0006953530946,0.019400334028986777,,
665.7918676938581,7.136459122136785E-05,,
756.4475854762908,0,,
859.4471896373824,0,,
976.4714515024996,3.918007251968447E-07,,
1109.4299999999967,0,,
