Material,Target_Size,AE2P_GPR_Prediction,Common_Measured_Mean,AE2P_Estimation_Error,AE2P_Estimation_Error_Percent,AE2P_Est_Error_In_GPR_Range,P2AE_Total_Deviation,P2AE_Total_Deviation_Percent,num_AE2P_mu_GPR,num_AE2P_sigma_GPR,num_Common_mu_trial,num_Common_sigma_trial
Citricacid,20,18.22 ± 3.05,15.33 ± 3.19,-2.8856164892431067,-21.98970372461406,True,4.66589611976658,23.3294805988329,18.219720369476526,3.0526213090802954,15.33410388023342,3.1859723415257473
Citricacid,50,45.11 ± 3.42,33.73 ± 6.48,-11.381394343454971,-35.89757240015433,False,16.269958443376183,32.539916886752366,45.11143590007879,3.4191976019060744,33.73004155662381,6.476918755114114
Citricacid,100,82.46 ± 4.50,86.63 ± 12.50,4.171649469553425,4.11167359460926,True,13.366413029723853,13.366413029723853,82.46193750072273,4.500626716517693,86.63358697027614,12.50146542076134
MSG,50,40.98 ± 11.01,46.47 ± 2.17,5.4847817064529165,11.771019251675042,True,3.5324984369938854,7.064996873987771,40.982719856553196,11.010717133030655,46.46750156300612,2.1722893978105486
MSG,100,89.86 ± 10.80,111.04 ± 2.50,21.184187238600472,19.0812667451635,False,-11.040091439899149,-11.040091439899149,89.85590420129869,10.795147485550084,111.04009143989914,2.502726105695172
MSG,200,157.60 ± 11.06,168.03 ± 10.54,10.423498795778945,5.9660602980875845,True,31.973633670839273,15.986816835419637,157.60286753338178,11.059021216076777,168.02636632916074,10.535168873874687
NaCl,150,122.48 ± 12.06,116.65 ± 7.12,-5.837966884548446,-5.259201765277819,True,33.3549757908011,22.236650527200727,122.48299109374734,12.059020388150573,116.6450242091989,7.115692949184794
NaCl,200,180.14 ± 12.58,173.35 ± 6.60,-6.7832193136934125,-3.996055219546637,True,26.648149020461158,13.324074510230579,180.13507029323227,12.578848143036003,173.35185097953885,6.604331649276366
NaCl,250,210.41 ± 12.53,209.76 ± 12.53,-0.6527733246107251,-0.4741109926639668,True,40.23947183375202,16.095788733500807,210.41330149085874,12.534006162107021,209.760528166248,12.534818819914578
