Material,Trial,Target_D50,Common_Measured_D50,Common_AE_Last_mV2,AE2P_Predicted_D50,AE2P_Predicted_Sigma,AE2P_Estimation_Error,AE2P_Estimation_Error_Percent,AE2P_Est_Error_In_GPR_Range
Citricacid,1st,20,21.272009219441358,29.12474450995076,20.336471703037915,8.205157054387286,0.9355375164034427,4.397974383860349,True
Citricacid,2nd,20,14.075905155711363,23.687833196648775,19.72002213552402,8.215945794544664,-5.644116979812656,-40.09771959512337,True
Citricacid,3rd,20,16.87195439981289,14.641998937744976,18.766941194632565,8.236681008008224,-1.8949867948196761,-11.231578452112766,True
Citricacid,1st,50,46.069932009211314,127.34451766555364,46.094926268654206,8.459650922505991,-0.024994259442891575,-0.05425286809169628,True
Citricacid,2nd,50,31.445636319257012,79.4270416457337,40.95343861620587,8.387060996824049,-9.50780229694886,-30.235681035102385,False
Citricacid,3rd,50,37.32884736783548,119.27304976565908,48.83480887472295,8.492183384954046,-11.505961506887473,-30.82324346505706,False
Citricacid,1st,100,83.2364100795578,256.0187411882164,88.72914513252809,8.481125539818516,-5.492735052970289,-6.598957172372407,True
Citricacid,2nd,100,100.21029022100892,269.377395329171,95.24681860834434,8.544908611015394,4.963471612664577,4.953055820632674,True
Citricacid,3rd,100,111.58273301475734,339.6523691602516,94.88591398918683,8.536383634331175,16.696819025570505,14.96362257354126,False
MSG,1st,50,43.63241767470192,401.0419676670302,52.73804270447424,32.79973406506894,-9.10562502977232,-20.868944502820348,True
MSG,2nd,50,59.22383525724199,426.598558207979,52.00798172927226,32.81640432343266,7.215853527969728,12.184036202024524,True
MSG,3rd,50,54.390941050657226,426.2964094936548,51.766408994497255,32.822673829366,2.624532056159971,4.82531099014375,True
MSG,1st,100,146.6577888243003,546.3795173187598,88.4265529808034,32.980856667552544,58.231235843496904,39.70551875240624,False
MSG,2nd,100,136.44270542061878,689.2517558575216,90.73181900768978,32.99412280961317,45.710886412929,33.50189097468696,False
MSG,3rd,100,93.1045625106424,680.8959686935233,87.91135756851003,32.97769378054914,5.193204942132368,5.577820035982398,True
MSG,1st,200,223.93992350836493,877.1062792545425,167.25499485712584,33.22862756061841,56.68492865123909,25.312560513186792,False
MSG,2nd,200,328.5137707652646,1299.1680252932726,209.78670689525603,33.80813371594997,118.72706387000858,36.140665760658024,False
MSG,3rd,200,248.87400775190187,1183.435131962044,212.13833518322667,33.85400062751456,36.7356725686752,14.76075099224357,False
NaCl,1st,150,133.36230240096396,26.603903026223186,141.87716946282697,13.733007827638705,-8.514867061863015,-6.384763091643706,True
NaCl,2nd,150,123.80627634317088,38.585120094452925,137.5633872890552,13.636898630786956,-13.757110945884335,-11.111804144526454,False
NaCl,3rd,150,139.81226652875748,39.77306708237987,137.47335706339712,13.635026267276771,2.3389094653603593,1.672892889465659,True
NaCl,1st,200,196.06905313065772,79.23163178626496,205.10746244687815,14.249430226742005,-9.038409316220424,-4.609809233993369,True
NaCl,2nd,200,204.38753093854234,72.45760694419909,205.45524667145543,14.244133653811046,-1.0677157329130864,-0.5223976864000279,True
NaCl,3rd,200,189.5014959569752,63.84149383174835,202.74690305729624,14.284205881951792,-13.245407100321046,-6.9896055613873935,True
NaCl,1st,250,223.63154378301905,104.9352261362208,233.5220858847588,14.289126227516382,-9.890542101739754,-4.422695445565658,True
NaCl,2nd,250,252.07423035335492,116.95963071432588,242.6196458393512,14.143280532274321,9.454584514003727,3.750714422791411,True
NaCl,3rd,250,238.22189823722175,108.10282882562086,239.75972431041956,14.195583343858457,-1.537826073197806,-0.6455435392704479,True
