Sample Name,Ajinomoto_grind5min_2nd,,
Measurement Date Time,2025/10/03 15:51:37,,
Particle Name,[BROWSE],,
Is Particle Fraunhofer?,Yes,,
Are particles non-spherical?,Yes,,
Particle Refractive Index,0,,
Particle Absorption Index,0,,
Particle Density,2.105,,
Background Measurement Time,5,,
Sample Measurement Time,1,,
Number Of Measurements,1,,
Pre-measurement Delay,0,,
Delay Between Measurements,0,,
Enable Obscuration Filtering?,No,,
Obscuration Time-out,30,,
Auto Start Measurement?,Yes,,
Obscuration Low Limit,0.1,,
Obscuration High Limit,50,,
Stabilisation Time,0.1,,
Analysis Model,General Purpose,,
Result Units,Volume,,
Result Range Is Limited?,No,,
Low Size,0.005,,
High Size,5000,,
Air Pressure Demand,4,,
Feed Rate Demand,0,,
Weighted Residual,0.2587864258310765,,
Dx (50),247.22052667312877,,
SizeClasses(μm),VolumeDensity(%),Scatter Angle q,Scatter Intensity
0.09953,0,0.0026667704722456043,1
0.11308222859981587,0,0.003277936829256543,0.8551578138364986
0.12847975911886883,0,0.0039132482752340094,0.88344435514893
0.14597385201576613,0,0.004657107503481888,0.7198356388697031
0.1658499799381348,0,0.00554121540491368,0.6051897217490741
0.18843248613120703,0.0005767839200977686,0.006592693308370272,0.4910212786642542
0.21408987714579308,0.0657679543815807,0.007840520001823451,0.4088244506256393
0.24324083621327308,0.07949073338411122,0.009319543887892858,0.3085935491623253
0.27636105541524886,0.09318189501980248,0.011080120902706178,0.23952497936271308
0.3139909981367784,0.10734725955590882,0.013179261471081677,0.17693821574989177
0.356744718472697,0.12187392262626057,0.01566630332363236,0.13259484931763904
0.4053198815041342,0.13650460396283542,0.0186254559373255,0.09933372895043993
0.4605091479584124,0.15099094772170352,0.0221543695669397,0.07849224703058592
0.5232131090298364,0.16504037048652997,0.02634398389147917,0.060456247199021554
0.5944549824347669,0.17835854015224017,0.03133650455887268,0.04869833491027514
0.675397309514597,0.1906800361206018,0.03726927281196032,0.03788263808199223
0.7673609258538154,0.20182045930833747,0.0443105909890591,0.03105467872654581
0.8718465149800815,0.2117430022837843,0.052699353249123664,0.024579086967544954
0.9905590968645671,0.22064001345901207,0.06268218911264602,0.0194401452040465
1.1254358508315696,0.22902068108462315,0.07455788912105372,0.015329096380830855
1.2786777268980591,0.2377861309724949,0.08868904661518051,0.011971033707212702
1.4527853613842987,0.2482585002779878,0.10550581874234258,0.009404099931204902
1.6505998828747652,0.2621164089269863,0.12553682755785492,0.00726674181729882
1.8753492744104643,0.28118652885607487,0.14940901734613643,0.005718492538141768
2.130701048461599,0.3070687286053091,0.17762146379472155,0.00442398906134216
2.420822094242961,0.3406479054649796,0.21164730494728437,0.0033960608593001963
2.7504466739743543,0.3816561174100661,0.2525217576591168,0.0025967127288241696
3.124953677664736,0.42851583140922056,0.3012522236207536,0.0020222217709913097
3.550454397081473,0.47860450216615913,0.3598763858367056,0.00151892560998941
4.033892251220623,0.528852023089021,0.4307794014302606,0.0011440607370743268
4.583156090621484,0.5764958554551471,0.5171495956291441,0.0008656608317055736
5.207208929451393,0.6199822933834973,0.6240039982499064,0.0006430670091589535
5.91623420604064,0.6598262753446749,0.7564250726194758,0.0004712483154817104
6.721801958580707,0.698634532877696,0.924615881604425,0.0003417253276967672
7.637057627679228,0.7399144045023611,1.103327507116431,0.0002467504355019854
8.676936566695368,0.7865465351388874,1.3122986003347201,0.00018846921753262196
9.858407760284809,0.8393735141772147,1.5607405038510644,0.00014244947677010701
11.200750728209842,0.8967791896968436,1.8564931514763163,0.00010859511402941495
12.72587013299487,0.9559260012382857,2.2078558930646555,8.341843611949694E-05
14.45865322526771,1.0144958199018212,2.5989430095798616,6.380202756569874E-05
16.427375959662296,1.0715990388224181,3.0881404469425093,4.966815192191969E-05
18.664164408375882,1.1279203851565196,3.663490578476414,3.75687046242887E-05
21.205519001833704,1.1857088781559106,4.329116198992359,2.882354925017304E-05
24.092910151141346,1.2476488585042667,5.265369814103447,2.5042141063023213E-05
27.3734549718295,1.3155397071914194,6.241146298105407,1.2908245105389677E-05
31.100686151825478,1.389815276487937,7.665212436137851,3.4633554212965794E-06
35.33542551021658,1.469587431757727,9.941660953074798,0
40.14677650173894,1.5521437927844275,0,0
45.613251862909266,1.631546955094361,,
51.82405480098948,1.698310229844516,,
58.88053463252163,1.7421862033982798,,
66.8978406248788,1.756916022038176,,
76.00680102860035,1.743835924295201,,
86.35605796299512,1.7136289192962906,,
98.11449299256871,1.6863713835482415,,
111.47398297539121,1.6899929391047976,,
126.6525311539754,1.7571516607422524,,
143.89782458252938,1.9194468553756607,,
163.49127594150298,2.200534546776403,,
185.7526156946912,2.610140364441577,,
211.0451095247746,3.1383478031513263,,
239.78148618661447,3.7516482856649844,,
272.43067251038207,4.392147997604816,,
309.5254454578579,4.981682936966067,,
351.67112609992296,5.434553440963938,,
399.5554573855738,5.677213595763803,,
453.9598268901783,5.665082581140666,,
515.7720176783681,5.387949241760467,,
586.0006953530946,4.866063964937595,,
665.7918676938581,4.1378234688795175,,
756.4475854762908,3.2465722867230227,,
859.4471896373824,2.231684235730455,,
976.4714515024996,1.1074653612305099,,
1109.4299999999967,0,,
